Airman Kenny Rivera Rojas represents the best of Arkansas by selflessly serving those affected by Hurricane Maria.https://www.defense.gov/News/Article/Article/1336707/little-rock-airman-supports-family-in-puerto-rico/source/GovDelivery/ …	
My statement on the Obama administration’s failure to crack down on Russian espionage: http://ow.ly/YVqa30cejL3 	
We must act to protect the future of Arlington National Cemetery:http://ow.ly/tbT730c6CFJ 	
I joined @hughhewitt this morning to discuss Arlington National Cemetery. LISTEN to my interview:pic.twitter.com/LqIuI8g09n	
Great to be with you today!https://twitter.com/arboysstate/status/869270937019056130 …	
I enjoyed meeting with the best city at @ARGirlsState, Cotton City, today!pic.twitter.com/0C3ezIiA4A	
Great to speak to @ARGirlsState this morning in Searcy! Thanks for having me.pic.twitter.com/DJE7hU3N54	
On this #MemorialDay we pray for the fallen and their families that they may find peace in God's embrace. http://ow.ly/lCEl30c7Jgf 	#MemorialDay
Today is a solemn day of commemoration. http://ow.ly/lCEl30c7Jgf  #MemorialDay	#MemorialDay
We must act to protect the future of Arlington National Cemetery:http://ow.ly/tbT730c6CFJ 	
READ my op-ed in the @washingtonpost about Arlington National Cemetery: http://ow.ly/PDtK30c6CBs 	
Yesterday, the @USArmyOldGuard placed American Flags at every grave in Arlington National Cemetery. http://ow.ly/7uwO30c4Dmv 	
My statement on the attack on Coptic Christians in Egypt: http://ow.ly/JQ6730c4qCg 	
I enjoyed meeting with Dr. Lobsang Sangay, Prime Minister of the Central Tibetan Administration today.pic.twitter.com/p1wZBlTSu9	
I joined my colleagues in introducing a bill to increase pensions for Medal of Honor recipients: http://ow.ly/tcr630c30Yb 	
WATCH my Q&A with the Army Chief of Staff about ineffective equipment:pic.twitter.com/OpyrenF6WR	
Congratulations to Tyson Maintenance Center in Russellville on receiving an 11-year safety award.pic.twitter.com/HhEyreFUDX	
I paid tribute to the Little Rock Nine on the Senate floor. WATCH:pic.twitter.com/h7H4di6hmH	
I introduced legislation today to expand the border of Little Rock Central High School National Historic Site: http://ow.ly/n6W030bYPLZ 	
The atrocity in Manchester tonight was horrific. I extend my deepest condolences to the victims and their families. http://ow.ly/YETV30bXdZ0 	
My statement on the Attorney General’s Memo on Sanctuary Cities: http://ow.ly/MGyW30bX33a 	
My statement on Vice President Pence’s Commencement Address at Notre Dame: http://ow.ly/3iCz30bX06l 	
WATCH my Q&A on raising wages for American workers during last week’s Joint Economic Committee hearingpic.twitter.com/T83wz60NAR	
Read more about my legislation to improve veterans’ access to timely care. http://ow.ly/CCA830bOSyU 	
Thanks to all who came out for the opening of the Washington County Veterans Services office last week in Fayetteville.pic.twitter.com/cWkOncbtca	
My statement on President Trump’s speech to the Arab Islamic American Summit: http://ow.ly/oGQB30bUFNl 	
My statement on President Trump’s arms deal with Saudi Arabia: http://ow.ly/e8br30bTYDq 	
WATCH my Q&A on raising wages for American workers during this week’s Joint Economic Committee hearingpic.twitter.com/pD9rSSDuyT	
Thanks to Arkansas employees of Oldcastle Materials for discussing infrastructure with me today.pic.twitter.com/HwOjEBBbpC	
Thanks to all who took part in the Veterans Healthcare System of the Ozarks VA2K this week!pic.twitter.com/h7IjNTv5FO	
I introduced a resolution today to annually designate October 28th as Honoring the Nation’s First Responders Day. http://ow.ly/Pwzx30bQyGj 	
I joined my colleagues in introducing bipartisan legislation to improve veterans’ access to timely care. http://ow.ly/CCA830bOSyU 	
I strongly condemn the violence that took place yesterday outside the Turkish Embassy in Washington. Statement: http://ow.ly/mlV030bOSou 	
Earlier today I spoke on the Senate floor to honor Lt. Kevin Mainhart during National Police Week. WATCH:pic.twitter.com/znAzYLLDX9	
Congratulations to Dr. Kelly Damphousse on being named chancellor of @ArkansasState.	
I joined @hughhewitt earlier today. LISTEN:pic.twitter.com/whPyZClsVR	
Today, on Peace Officers Memorial Day, we pause to remember and honor all law enforcement officers who gave their lives in the line of duty.	
My statement applauding the DOJ's decision to return to previous drug prosecution policies: http://ow.ly/8pY830bJmIV 	
It was an honor to be a part of the commissioning of nine Air Force officers at @UArkansas. More via @5NEWS -http://ow.ly/BbTu30bJmrK 	
Happy Mothers Day to all moms out there, and especially to my mom @abcdard and my wife Anna.	
Congratulations to Brittany Boccher on Being Named @ArmedForcesIns Military Spouse of the Year. http://ow.ly/dnHR30bGtTk 	
I was honored to be at @UArkansas today as nine graduating ROTC cadets accepted their commissions as second lieutenants in the Air Force.pic.twitter.com/AXqG8F15ow	
Great ribbon cutting ceremony for the Bella Vista Bypass this week. Looking forward to it being open to drivers!pic.twitter.com/OnW5JYhQYI	
Thanks to all who took part in the Golden Triangle Economic Development Council meeting in El Dorado this week.pic.twitter.com/wxzpzlvSxj	
WATCH my Senate Intelligence Committee Q&A on Worldwide Threats:pic.twitter.com/GpCJXMXrrg	
Earlier today I spoke about famed Air Force pilot Leo Thorsness on the Senate floor. WATCH:pic.twitter.com/tro6KM55Bp	
My thoughts and prayers are with friends and family of Lt. Mainhart and the other victims of the tragedy in Yell County today.	
My statement on the WHO’s Failure to Invite Taiwan to 2017 World Health Assembly: http://ow.ly/1oIS30bBBRI 	
WATCH my Q&A on Russian hacking from today's @SASCmajority hearing with Admiral Rogers, Commander of U.S. Cyber Command:pic.twitter.com/SIdWaEq5eS	
LISTEN to my interview with @HughHewitt from this morning:pic.twitter.com/zC8mRi7SLG	
Mary Mae Jones Elementary School in Bentonville held Leadership Day last week. We have many future leaders in Arkansas!pic.twitter.com/Iaos5N4eMH	
An aerial view of AR flood damage from yesterday. Thanks to @AsaHutchinson for his leadership and efforts to help AR recover.pic.twitter.com/lWgL1BTCs6	
Thanks to all who participated in the Benton County Veteran Service Office dedication to Lt. Jesse Coker.pic.twitter.com/VXEQspHcM5	
From one Dardanelle Sand Lizard to another: Congratulations to @PGA_JohnDaly on winning the Insperity Invitational last weekend.	
I joined my colleagues in introducing legislation to help seniors served by community pharmacies. More: http://ow.ly/wMl430brjIt 	
I spoke in support of American workers on the Senate floor last week. WATCH:pic.twitter.com/AkNvF8HEgI	
Thank you to @SecretarySonny for coming to Arkansas to view flood damage today. We appreciate your support.	
Sounds like Admiral Harris is agitating all the right people. We appreciate his leadership.http://www.japantimes.co.jp/news/2017/05/06/asia-pacific/china-urged-u-s-fire-pacific-command-chief-harris-return-heaping-pressure-north-korea/?utm_source=Daily+News+Updates&utm_campaign=e4da84015c-Sunday_email_updates07_05_2017&utm_medium=email&utm_term=0_c5a6080d40-e4da84015c-333344105#.WQ4kLIFMGaO …	#
WATCH my speech on the Senate floor about rolling back some of the Obama administration’s most unnecessary regulations.pic.twitter.com/mZkMzl0r7z	
WATCH my Q&A from the @SASCMajority hearing on US Special Operations Command:pic.twitter.com/wL1LUVBweS	
I joined my colleagues in introducing legislation to help seniors served by community pharmacies. More: http://ow.ly/wMl430brjIt 	
Thanks to Arkansas representatives with the American Association for Cancer Research for talking with me today.pic.twitter.com/Q08Z9E68iZ	
Be sure to continue to check for road closures and flooding conditions across Arkansas: http://idrivearkansas.com 	
I pray for our country, our state, and the men and women who serve our country in uniform #NationalDayofPrayer	#NationalDayofPrayer
I joined @IngrahamAngle this week to discuss North Korea, the national budget, foreign policy, and more. LISTEN:http://ow.ly/W3y130bmQWK 	
I appreciate Kim and Karen Eskew of Harps Food Stores for stopping by my office during the supermarket industry fly-in this week.pic.twitter.com/kwn05oThNd	
Congratulations to Cadet Col. Zane Phillips from Prairie Grove who was awarded the Civil Air Patrol’s General Carl A. Spaatz Award yesterdaypic.twitter.com/fnNUdQzlqS	
Thanks to the Kellog family for stopping by to talk about early childhood development.pic.twitter.com/hnFcPJ8Ub4	
Thanks to librarians from across Arkansas for stopping by to talk with me with me today.pic.twitter.com/bRVbxuJxCh	
I joined @hughhewitt this morning to discuss defense spending. LISTEN:pic.twitter.com/HuqMLYHGSo	
We should honor the life and legacy of Taylor Force by passing the Taylor Force Act immediately. More via @FoxNewshttp://ow.ly/1JVo30bkIca 	
My thoughts and prayers are with all Arkansans impacted by this weekend's storms.	
Thanks to all personnel who have worked tirelessly to respond to inclement weather across Arkansas this weekend.	
. @ArkRedCross has 4 shelters open in #AR to aid in weather relief. More: http://bit.ly/2puVrA8 	#AR
I joined @seanhannity to discuss the Taylor Force Act. LISTEN:http://ow.ly/D9Gk30bgvGf 	
The end of a long day at the office for Gabriel.pic.twitter.com/5OeM2rfiXg	
Gabriel had a great meeting with the Monticello Economic Development Comission this morning on take your child to work day!pic.twitter.com/XB7JkLbFnp	
We should honor the life and legacy of Taylor Force by passing the Taylor Force Act immediately. More via @FoxNewshttp://www.foxnews.com/politics/2017/04/26/bill-in-congress-would-pressure-palestinian-govt-to-cut-off-terror-tied-payments.html …	
WATCH my Q&A with Admiral Harris from the @SASCmajority hearing earlier today:pic.twitter.com/r2qpm2rSEO	
I look forward to voting to confirm Courtney Elwood to be the next @CIA GCpic.twitter.com/Hy9J2OQ90M	
LISTEN to my interview with @hughhewitt on North Korea and defense spending:pic.twitter.com/27GKzMS8pU	
Thanks to Arkansas representatives from the Fraternal Government Relations Coalition (FGRC) for your time today.pic.twitter.com/TAod6kvtCF	
Congratulations to Beebe Junior High School students who are finalists in the 2017 Samsung Solve for Tomorrow STEAM competition.pic.twitter.com/EbOOZ0Yovx	
Thanks to members of the Arkansas Bar Association for stopping by my office today.pic.twitter.com/XKBZAXuwyj	
Earlier today I spoke on the Senate floor in memory of former Arkansas Congressman Jay Dickey. WATCH:pic.twitter.com/F6mrenMsfB	
Confirming Judge Gorsuch to the Supreme Court in his first 100 days was a 30 year victory for President Trumphttp://www.arkansasnews.com/news/20170419/cotton-gives-trump-mixed-report-card-on-first-100-days …	
Thanks to Arkansas members of Families Against Distractive Driving stopping to meet with me today.pic.twitter.com/CAQaEpyk5c	
I enjoyed seeing students from Valley View High School today. Enjoy your time in DC!pic.twitter.com/RQUqRyshnd	
It was great to speak to the Electric Cooperatives of Arkansas today. Thanks for your time!pic.twitter.com/PfKdlfeQFu	
I joined @newsradio1029 to discuss North Korea and Congressman Jay Dickey this morning. LISTEN:pic.twitter.com/89K61jqfES	
LISTEN to my interview with @HughHewitt on North Korea and defense spending:pic.twitter.com/aZ8ElmYTen	
POTUS's foreign policy in 1st 100 days alone has already started to restore American power, prestige, & credibility.http://www.arkansasnews.com/news/20170419/cotton-gives-trump-mixed-report-card-on-first-100-days …	
Thanks to the Modern Medicaid Alliance for hosting a roundtable on healthcare with me in Little Rock this afternoon.pic.twitter.com/9KhZSYB1BB	
The Arkansas and Oklahoma Honor Flight Sendoff in Siloam Springs was a great success. Thank you for your service.pic.twitter.com/8INaDq6P0P	
Thanks to @realDonaldTrump Aya Hijazi and her husband, Mohamed, are safely back on American soil.https://twitter.com/washingtonpost/status/855384952053137411 …	
I hear there might be some extra credit for Mrs. Moll's AP Gov students at Haas Hall for tweeting their Senator. Good luck on your exams!	
Great visit to the Arkansas School for the Deaf this afternoon. Thanks for having me!pic.twitter.com/g3gEouijxs	
Thanks to all who came out for my interview with @JLRIII this afternoon in Little Rock.pic.twitter.com/vGaj7lDgBj	
I enjoyed visiting Head Start in Dardanelle this morning and learning about their work.pic.twitter.com/0issMZwpZy	
Thanks to Mrs. Scott at Dardanelle Primary School for inviting me to read to her students this morning.pic.twitter.com/GiKSOa6oUk	
LISTEN to my interview with @HughHewitt from this morning:pic.twitter.com/ndx2RpXrKG	
Honored to visit the Ball Corporation today in Springdale and receive the @ShopFloorNAM Award for Manufacturing Legislative Excellence.pic.twitter.com/abgyqIWR0K	
Thanks to the Arkansas State Veterans Home in Fayetteville and Arkansas Veterans Commission for allowing me to visit with you today.pic.twitter.com/YY4oFzIK2h	
Thanks to all who came out for my town hall today with @RepFrenchHill.pic.twitter.com/mwUHQwhbt6	
I joined @CapitolViewAR today. WATCH my interview here:pic.twitter.com/F4Gw4uPN2m	
Wishing you a very happy and blessed Easter.	
Congratulations to the WWII Japanese American Internment Museum in McGehee on a successful 4-Year Reunion event.pic.twitter.com/9l74R7JWjh	
Thanks to the Ouachita Livestock Market for inviting me to speak at today's auction.pic.twitter.com/LhFDN0DtrH	
I had a productive discussion with business leaders in El Dorado today. Thanks for meeting with me.pic.twitter.com/W9XSKxE8NB	
Great to join @MyArkLaMiss in El Dorado today. Tune in tonight for the interview!pic.twitter.com/J7m1lbCQiF	
Thanks to @SPPorg for hosting me for a tour and briefing on your operations today in Little Rock.pic.twitter.com/QIiENKhPBQ	
Great morning in Conway meeting with area mayors and community leaders.pic.twitter.com/6BeE2SxY3i	
Thanks to the @RsvlAreaChamber for inviting me to speak with business and community leaders today.pic.twitter.com/JLUDTKuCVd	
I am holding a town hall with @RepFrenchHill next Monday, 4/17, from 2-3 PM CT at the Embassy Suites in Little Rock. Doors open at 1:30 PM.	
READ my op-ed in @washingtonpost “Russia has subverted our treaty on cruise missiles for years. It’s time to act"http://ow.ly/Eo8n30aGUla 	
READ my op-ed in the @nytimes “A Strike in Syria Restores Our Credibility in the World"-http://ow.ly/ryWj30aGUfx 	
Thanks to all who took part in remembering WWI Veterans at the Fort Smith National Cemetery commemorative ceremony last week.pic.twitter.com/spRmn58fBP	
Congratulations to all who were recognized at the Mena Chamber Banquet last week.pic.twitter.com/wEyUNaPgQs	
The Smith Creek Dedication Ceremony in Newton County was a success! Thanks for your work.pic.twitter.com/CtXr1ka13H	
Judge Gorsuch is now Justice Gorsuch, and he will be a fine addition to the Supreme Court. http://ow.ly/Zy2o30aFoNR 	
I commend President Trump for taking swift, decisive action against Bashar al-Assad's outlaw regime. MORE: https://www.cotton.senate.gov/?p=press_release&id=654 …	
I joined @wolfblitzer on @CNNsitroom today to discuss Syria and confirming Neil Gorsuch. WATCH:http://ow.ly/q9NJ30aDXpi 	
ICYMI - I joined @teamcavuto today to discuss Syria. WATCH:pic.twitter.com/GwI84aTinQ	
Joining @TeamCavuto shortly. Tune in!	
I spoke on the Senate floor this week on using the nuclear option to confirm Neil Gorsuch. WATCH:http://ow.ly/wAM630aACMR 	
I joined @TheLeadCNN with @jaketapper this week to discuss the chemical attack in Syria and Neil Gorsuch. WATCH:pic.twitter.com/KDzCosBJjy	
PACE loans are a scam – I introduced legislation yesterday to protect Americans from credit exploitation http://ow.ly/N08b30aDdqm 	
I joined @marthamaccallum on #First100 Days last night. WATCH:pic.twitter.com/AJgNiHgWMe	#First100
Thanks to Arkansas representatives from the National Down Syndrome Society for meeting with me yesterday.pic.twitter.com/WfHGMnKyE4	
I joined @marthamaccallum on #First100 Days tonight. WATCH:pic.twitter.com/qS6j033778	#First100
Joining @marthamaccallum on #First100 Days shortly. Tune in!pic.twitter.com/zomXolcFqe	#First100
Thinking of troops from the LR Air Force Base as they depart on a mission to provide disaster relief in Peru.http://ow.ly/efaL30aAEiP 	
I spoke on the Senate floor yesterday on using the nuclear option to confirm Neil Gorsuch. WATCH:http://ow.ly/wAM630aACMR 	
PACE loans are a scam – I introduced legislation today to protect Americans from credit exploitation. http://ow.ly/8mZE30aABMA 	
Thanks to representatives from the Arkansas Association of Area Agencies on Aging for meeting with me yesterday.pic.twitter.com/sy4If9Qt9P	
ICYMI – I joined @Morning_Joe this morning to discuss the chemical attack in Syria. WATCH:pic.twitter.com/a18UEQ0P1x	
I am introducing legislation today to protect Americans from credit exploitation. MORE: http://ow.ly/BPvw30aAsaw 	
I joined @TheLeadCNN with @jaketapper today to discuss the chemical attack in Syria and Neil Gorsuch. WATCH:pic.twitter.com/EB3heF1jN4	
Joining @TheLeadCNN with @jaketapper shortly. Tune in!	
It’s time for a stronger policy in Syria. One that begins with demanding Assad’s departure. MORE: http://goo.gl/u8648w 	
I joined @HughHewitt this morning to discuss reports of Susan Rice’s role in unmasking the identities of US officials. LISTEN:pic.twitter.com/FvZQhavbpU	
It was great to see members of the Hot Springs Chamber of Commerce in DC today.pic.twitter.com/nwcWnPUOKg	
My statement on President Trump's executive order promoting energy independence and economic growth - http://ow.ly/N7Kt30aoVVj 	
ICYMI – WATCH my Q&A from yesterday at the SSCI Hearing on Russia:pic.twitter.com/YKpoWYkZV9	
ICYMI - I spoke on the Senate Floor in support of Neil Gorsuch today. WATCH:pic.twitter.com/AafMWgc6ZE	
It was great to talk to students from the University of Arkansas at Little Rock today. Thanks for coming by!pic.twitter.com/ho3eQFK8yA	
Thanks to Arkansas members of the American Academy of Orthopaedic Surgeons (AAOS) for meeting with me today.pic.twitter.com/S6yQnyhlT4	
WATCH my first Q&A from earlier today at the SSCI Hearing on Russia:pic.twitter.com/onYEu6bqNN	
I joined my colleagues in sending a letter to Treasury Secretary Mnuchin urging an end to 'Too Big To Fail' policies http://ow.ly/YCyo30akrUs 	
Thanks to all who took part in the Memphis National Cemetery Vietnam Veterans Commemoration yesterday.pic.twitter.com/HLqELNSBqS	
Thanks to all who worked to organize the 2017 Vietnam War Commemoration event in North Little Rock.pic.twitter.com/vHJ8AzuGAs	
My statement on the Senate Intelligence Committee press conference today: http://ow.ly/19yS30anPlE 	
On this National Vietnam War Veterans Day, I remember the service of my dad, Len, and all those who served our country during Vietnam.pic.twitter.com/BmJonyzxsL	
Earlier today, I spoke on the Senate Floor about what I learned from my recent trip to the Middle East. WATCH:pic.twitter.com/IsUljg5Idu	
Thanks to Arkansas Rural Broadband Providers for meeting with me today.pic.twitter.com/3qVR19PzVm	
I enjoyed meeting with Arkansans in town for AIPAC this week. Thanks for coming by!pic.twitter.com/TQagVwONWO	
My statement on President Trump's executive order promoting energy independence and economic growth: http://ow.ly/yGNH30alw9l 	
Earlier today I joined @HughHewitt to discuss healthcare, defense spending, and Judge Neil Gorsuch. LISTEN:pic.twitter.com/90CeEa54CP	
My statement on the protest in Russia: http://ow.ly/xdZ130ah567 	
ICYMI - I joined @FacetheNation this morning to discuss healthcare and Iraq. WATCH:pic.twitter.com/lQrOh3dKIB	
On Thursday, my colleagues and I introduced comprehensive legislation to hold Iran accountable. More: http://ow.ly/CNKz30afIaI 	
Rusty Fisher discussed how the Keystone pipeline can be made with American steel and create jobs in Arkansas with President Trump yesterday.pic.twitter.com/IxotecLSQG	
On National Medal of Honor Day, we remember and honor those men and women who went above and beyond in their service to our country.	
Yesterday my colleagues and I introduced comprehensive legislation to hold Iran accountable More: http://ow.ly/KSQc30aetU1 	
Thanks to all who particiapted in the “Wall that Heals” event in Mena honoring Vietnam veterans this week.pic.twitter.com/ju2A6zL9xP	
I applaud the president's decision to approve the Keystone Pipeline. Statement: http://ow.ly/Ii6P30ae5XH 	
London needs our prayers today. Thinking of the victims and their families.	
WATCH my Q&A from the @SASCmajority hearing earlier today on U.S. Policy and Strategy in Europepic.twitter.com/6dhGtL536k	
Arkansas has over 14 million acres of farmland. Agriculture is a cornerstone of our state economy. #AgDay	#AgDay
Thanks to all farmers and ranchers who work to provide valuable agricultural products and contribute to our economy. #AgDay	#AgDay
Despite the proposed amendments, I still cannot support the House health-care bill, nor would it pass the Senate. http://ow.ly/e5cG30a7D2o 	
I joined @newsradio1029 this morning to discuss Judge Neil Gorsuch and healthcare. LISTEN:pic.twitter.com/yoqtCisFaW	
In nominating Neil Gorsuch to the Supreme Court, President Trump has chosen a well-respected judge with a distinguished body of work.	
Neil Gorsuch is well-versed in the law and extraordinarily humble. The Supreme Court would benefit from his clear and incisive thinking.	
Cheering on @RazorbackMBB this afternoon as they take on the Tar Heels! #MarchMadness	#MarchMadness
Joining @CNNSotu with @jaketapper shortly from Jerusalem. Tune in!pic.twitter.com/kkXIwv4tVV	
It was an honor to visit the Marine Memorial in Beirut with my colleagues yesterday.pic.twitter.com/8fMTlbF7eY	
Congratulations @RazorbackMBB on your victory over Seton Hall! #MarchMadness #GoHogs	#MarchMadness #GoHogs
Dina Powell is an outstanding choice for Deputy National Security Adviser. Statement: http://ow.ly/Jj5U30a0lb9 	
I joined @SenMikeLee @SenRubioPress and @RepFrenchHill in introducing legislation to save SSDI from bankruptcy: http://ow.ly/P5mP309WbsI 	
Cheering on @RazorbackMBB today! #MarchMadness	#MarchMadness
Dina Powell is an outstanding choice for deputy national security adviser. Statement: http://ow.ly/Y3T3309YQoP 	
Today, Dan Coats joins the impressive team of national-security officials that President Trump has assembled http://ow.ly/nAcz309WKi8 	
I appreciate Pastor Mike Stanley and members of Friendship Baptist Church in Highland for talking with me today.pic.twitter.com/EfbiB9H7Zn	
Happy 98th Birthday to the @AmericanLegion! Thank you for your work on behalf of veterans across the country.	
I appreciate members of the @ARMuniLeague for stopping by my office today.pic.twitter.com/AgMDKnkdC8	
I joined @SenMikeLee @SenRubioPress and @RepFrenchHill in introducing legislation to save SSDI from bankruptcy: http://ow.ly/P5mP309WbsI 	
Jim Donovan is a true conservative and exceptionally well-qualified to be Deputy Treasury Secretary. Statement: http://ow.ly/qyco309UPMs 	
I appreciate Arkansas educators with NAFSA: Association of International Educators for talking with me todaypic.twitter.com/1oZ7feYdiW	
My statement on reports that the Obama administration blocked a last-minute arms sale to Taiwan in December: http://ow.ly/pbb7309Ui04 	
ICYMI – I discussed healthcare with @HughHewitt this morning. LISTEN:http://ow.ly/vc8M309U0YZ 	
Earlier today I joined @newsradio1029 in Little Rock to discuss healthcare with Kevin Miller. LISTEN:pic.twitter.com/rDYoLPzxHi	
ICYMI – I joined @ThisWeekABC with @GStephanopoulos yesterday to discuss healthcare. WATCH:pic.twitter.com/s7D8Cr7jcN	
LISTEN to my interview with @IngrahamAngle on healthcare from this morning:http://ow.ly/jZsx309RdKu 	
A Monday reminder that @kasie is not nearly as tall as she seems on TV #transparencypic.twitter.com/bpQXAvZvbc	#transparencypic
Thanks to the Bentonville Rotary Club for hosting a great International Women’s Day event last week in Northwest Arkansas.pic.twitter.com/o0hOFHvC5A	
Congratulations to Big River Steel in Osceola on a successful grand opening event.pic.twitter.com/Z6FW7897Gk	
Cheering on @RazorbackMBB! #BeatKentucky	#BeatKentucky
I discussed healthcare and the Senate Intelligence Committee's Russia investigation with @GStephanopoulos on @ThisWeekABC. WATCH:pic.twitter.com/ohhhAHBvTR	
Joining @ThisWeekABC with @GStephanopoulos later this morning. Tune in!	
Congratulations to the @ArkRazorbacks on their victory over Vanderbilt this afternoon in Nashville! #GoHogs	#GoHogs
It was honor to meet with Arkansan Truman Suttle with the Paralyzed Veterans of America today.pic.twitter.com/UnuOlyHhyS	
Thanks to Arkansans with the National Hemophilia Foundation for talking with me today.pic.twitter.com/M2y22FtOXn	
Earlier today I joined @JakeTapper on @TheLeadCNN to discuss the House GOP healthcare plan. WATCH:pic.twitter.com/Z5SP0DvYtU	
Russia has violated the spirit and, in fact, the very letter of the INF Treaty. Statement: http://ow.ly/y0nK309Klj3 	
Attending the @SASCMajority Hearing on @CENTCOM and @USAfricaCommand. WATCH live: http://bit.ly/2m4c3yu 	
I enjoyed talking with Jefferson Regional Medical Center Financial Officers today. Thanks for coming by!pic.twitter.com/XARaHs1oOq	
Beijing does not dictate to the United States what we can and cannot do to protect ourselves and our allies http://ow.ly/XO9B309GobT 	
WATCH my interview with @Morning_Joe on immigration and the Senate Intelligence Committee’s Russia investigation:http://ow.ly/RSEF309IsQz 	
I joined @oreillyfactor last night to discuss immigration and my meeting with President Trump yesterday. WATCH:pic.twitter.com/9F4ioDqVro	
Joining @Morning_Joe now. Tune in!pic.twitter.com/XDJfBzjd8p	
I enjoyed meeting with Arthritis Foundation advocates from Arkansas today.pic.twitter.com/5dm1IieexT	
My statement on recent ballistic missile tests conducted by Iran and North Korea http://ow.ly/GLMz309DNJL 	
I discussed North Korea and defense spending with @HughHewitt this morning. LISTEN:pic.twitter.com/D9M4SvzPfp	
I joined the AR delegation in introducing a bill giving states power on federal electric transmission projects http://ow.ly/tieo309EeQP 	
I joined my colleagues in introducing a resolution to rescind an Obama Administration education regulation: http://ow.ly/8Uay309wVMb 	
I reintroduced legislation to protect farmers from federal penalties levied under the Migratory Bird Treaty Act: http://ow.ly/QLKb309xb8w 	
With this new executive order in place, I'm confident this policy will help keep America safe. Statement: http://ow.ly/ywqM309DMr0 	
Joining @FoxNewsSunday later this morning. Tune in!	
Thanks to everyone who came out to Heber Springs for my town hall with @RepRickCrawford today!pic.twitter.com/kRA835F3lm	
Thanks to the Jonesboro Human Development Center for showing me around today and for your positive work.pic.twitter.com/UEcyKwu7Pj	
I enjoyed talking with students at Westside High School in Jonesboro about being good citizens today.pic.twitter.com/mOOgFfJwmN	
Thanks to Northeast Arkansas Political Animals for hosting me today. It's always great to be in Jonesboro.pic.twitter.com/wJHyJ9XKO6	
Yesterday, I joined @SenDonnelly in reintroducing the Hunter and Farmer Protection Act. More: http://ow.ly/QLKb309xb8w 	
I joined my colleagues in introducing a resolution to rescind an Obama Administration education regulation: http://ow.ly/8Uay309wVMb 	
It was an honor to receive the "Friend of Farm Bureau" award yesterday. Thanks, @ArFB.pic.twitter.com/ZnH4m9pJ0V	
Anyone who knows Jeff Sessions as I do can vouch for his integrity and honesty. Statement: http://ow.ly/ngVg309wulD 	
I will be holding a town hall this Saturday with @RepRickCrawford from 8-9 AM at the Heber Springs Community Center. Hope to see you there!	
White Hall High School students took time to talk with me today during their "Close Up" week in Washington.pic.twitter.com/aUjfCdeIhJ	
I enjoyed meeting with representatives from the Arkansas School for the Deaf earlier this morning.pic.twitter.com/n6s5xAvm8c	
Alex Acosta understands the need to change course on unnecessary labor regulations of the past few years. Statement: http://ow.ly/GMzO309unLc 	
Taylor Force was what every parent hoped their son could be. More on the reintroduction of the Taylor Force Act - http://ow.ly/BFAk309tTmc 	
Democrats say Trump’s speech contradict his actions. Translation: Democrats know speech was good.	
WATCH my remarks at the Taylor Force Act Press Conference from yesterday:pic.twitter.com/LRqnu1JEqs	
Thanks to Arkansans with the American Academy of Neurology for stopping by yesterday to talk with me.pic.twitter.com/LJO9ip0eO2	
I enjoyed meeting with Arkansans today who are in town from Fort Smith for the Parkinson's Policy Forum in Washington.pic.twitter.com/8CuqxKafHV	
The president's decision today to roll back WOTUS marks a new era at the EPA for rural America. Statement: http://ow.ly/3PHc309sbZP 	
I appreciate Emma Murray of Forrest City with the American Association of Nurse Practitioners for talking with me today.pic.twitter.com/jpTXONNJCp	
LISTEN to my interview with @HughHewitt from this morning:pic.twitter.com/u6WWddEyyZ	
I hope you will join my tele-town hall tonight at 5:40 PM CT. You can participate here: http://vekeo.buzz/cotton 	
Glad my dad, Len, could be a part of the ADVA District 4 Veterans Service Office ribbon cutting in Russellville.pic.twitter.com/u7eqkxYhNT	
I joined @MeetthePress yesterday. WATCH my interview:pic.twitter.com/bXjsLVu62V	
9/9 Think instead of smaller working-class enclaves where wages have stagnated or dropped over a generation. We don't think of them enough.	
8/9 But to extent Houston is relevant, I encourage you to look outside 4th largest city w/ robust oil & tech industry & high median income.	
7/9 Your Houston vignette seems more of an argument for local housing deregulation, not higher levels low-skill immigration.	
6/9 The powerful & elite reap the benefits of constant influx of low-skill labor while working Americans & recent immigrants bear the costs.	
5/9 It's these 'forgotten' groups that my immigration bill seeks to help.	
4/9 NAS report also shows low-skill immigration harms the employment of native teens, low-skill disadvantaged minorities & prior immigrants.	
3/9 It says while negative wage effects are 'very small' for all 'natives OVERALL' the effect is more severe for natives w/o a HS diploma.	
2/9 You misquote the Nat'l Acad. of Sciences report. It DOESN'T say that negative wage effect on natives w/o HS diploma is 'very small.'	
1/9 Hey @nytdavidbrooks, read your column w/ interest & appreciate your taking a close look at my immigration bill. Some points in response.	
WATCH my interview from @foxandfriends this morning:pic.twitter.com/VzO5KpBQPO	
MUST READ: "Mattis's Pyrrhic Personnel War" via @WSJhttps://www.wsj.com/articles/mattiss-pyrrhic-personnel-war-1487894275 …	
Thanks also to @SpringdalePD for providing top-notch security and ensuring Arkansans safety at last night's town hall in Springdale.	
Thanks to @sdaleschools for hosting my town hall last night.	
Thanks to NWA area mayors for meeting with me today.pic.twitter.com/oRbqPOchLv	
