Looking forward to joining @smerconish on @CNN - tune in!	
Calls for regime change or war in Iran are reckless. A collision course w Iran is not inevitable: we can avoid unnecessary military conflict	
And finally, it brings us back to two, core questions: what did the President know and when did he know it?	
This is a moment for members of the House and Senate to put aside partisanship and think about what's in the best interests of our country.	
This is exactly why it is so important that we continue to have an independent investigation led by someone like Bob Mueller	
In particular, I was floored that his response to the emails wasn't to be shocked or concerned. It wasn't to hand this over to the FBI.	
First, when I was shown these tweets by Donald Trump Jr. earlier today, I was floored.	
I just spoke with @KatyTurNBC to discuss Donald Trump Jr’s emails that we saw today - will tweet some reactions herehttps://www.youtube.com/watch?v=b1rbJdKJ89Q&feature=share …	
My prayers are with families of the 15 Marines & one Navy corpsman killed in plane crash in MS. Semper fi. Eternal father, Strong to save.	
Proud to meet w/Matthew Burrows, superintendent of Appoquinimink School District & discuss the great work being done at DE public schoolspic.twitter.com/iSpRptQY0G	
We must continue to help state & local officials strengthen their election infrastructure. Watch LIVE:https://www.youtube.com/watch?v=DnXJPFlR5kg …	
Today at 2:45PM, I'm joining @SenateDems to call on the administration to help states secure the vote, not suppress voters.	
We must keep making the case to the American people why R&D investments are so important. Read my op-ed in @thehill:http://bit.ly/2uf64MN 	
Instead of the US being the innovation engine for the world, w/ Trump’s budget approach, we could quickly become the international caboose.	
Inspired by great bipartisan meeting w/ leaders in research & science.pic.twitter.com/Wum6Yg729v	
Giving DHS full control over the visa process is a bad idea.http://wapo.st/2sY022D 	
This is like tweeting out that we should fight drug abuse in America by starting a new drug interdiction conference with ‘El Chapo’https://twitter.com/realDonaldTrump/status/884016887692234753 …	
It’s not time to ‘move on.’ Putin and his Russian intelligence agencies fully intend to interfere in our next election in 2018 and 2020.pic.twitter.com/n8CVZeV3rk	
Donald Trump’s policy of America first is increasingly turning out to mean America alone.pic.twitter.com/3R7fg1rIII	
For a group of folks that have nothing to hide about their interactions with Russia, they certainly seem to have been hiding a lothttps://twitter.com/nytimes/status/884160818090319875 …	
Pleased that @StateDept announced dates to train new Foreign Service Officers, including Pickering & Rangel fellows.http://nyti.ms/2tzVO1b 	
We must stay active & engaged – the fight against #Trumpcare isn't over. Read my oped in @delawareonline:http://delonline.us/2tRxhER 	#Trumpcare
Voter suppression has a corrosive impact on our democracy. My op-ed w/ @BrennanCenter in @TIME abt how we confront ithttp://ti.me/2uyUpo0 	
As we celebrate #IndependenceDay, let's remember, thank, and pray for the men and women who serve this country and make it all possible.	#IndependenceDay
Join me on THURSDAY at 6:15PM for a Facebook Live Town Hall – tweet me your questions & tune inpic.twitter.com/iwLHwsJqgf	
We know that LGBT rights are human rights. The remarkable progress we’ve made so far should give us heart to face the obstacles ahead.	
How do we take the feelings of the last 6 mos & move to defending equality, democracy, & civil rights? @LambdaLegalhttps://www.youtube.com/watch?v=CFKiRQQrXA8 …	
As #LGBTPrideMonth ends, we recommit ourselves to standing w our LGBT brothers & sisters, & defending civil rights & equality for all.	#LGBTPrideMonth
...we’re more than willing to work together to improve the law. That offer still stands.	
We should not be repealing the Affordable Care Act, we should be working across the aisle to fix it and improve it	
Great to speak w/ the U.S. Army Corps of Engineers Leadership. Thank you for all that you do for our country & for my home state of DE.pic.twitter.com/92IGU3OKD2	
We must work together in a bipartisan way to fix the #ACA & give Americans better, more affordable health care.	#ACA
According to the @urbaninstitute, the uninsured rate in DE would be 81% higher under #Trumpcare in 2022.http://urbn.is/2uj8xSd 	#Trumpcare
But this fight isn't over yet- not even close. We all have to stay engaged & continue to resist this tax cut disguised as a health care bill	
Thousands of Delawareans contacted my office to express your opposition to the Senate #Trumpcare bill, & your efforts WORKED. Thank you!	#Trumpcare
We must make clear that we fight for things like civil rights, social justice, the environment not in spite of our faith but because of it.	
To everyone who's worried about this bill's disastrous impacts: keep calling, keep tweeting, keep working. We're not done yet:https://twitter.com/ap/status/879758301734604800 …	
I want to share Kerry's story. A massage therapist & yoga instructor from Wilmington, she considers the #ACA "nothing short of miraculous"pic.twitter.com/j9YimVTLV4	#ACA
#Trumpcare also hurts those with insurance through employers—4 mil will lose employer-based coverage next yearpic.twitter.com/ielg3cRLqa	#Trumpcare
#Trumpcare would leave many with HIGHER out-of-pocket costs & worse insurancepic.twitter.com/VJknAlyDTL	#Trumpcare
#Trumpcare gives a massive tax cut for the wealthy, pays for it by gutting insurance for working- & middle-classpic.twitter.com/fIklBfJRHM	#Trumpcare
#Trumpcare would throw off 22m of their insurance & would leave 49m uninsured by 2026.pic.twitter.com/kD3O8DNF7Q	#Trumpcare
Looking through the #CBO report on #Trumpcare shocks the conscience:	#CBO #Trumpcare
#Trumpcare is a bill that would cut hundreds of billions of dollars out of #Medicaid. This is an impt moment for the values of this country.	#Trumpcare #Medicaid
Who do we value? What do we value? That's what's on the floor this week with #Trumpcare.pic.twitter.com/guHnAPnX0r	#Trumpcare
So proud to serve with @maziehirono, especially this week.https://twitter.com/maziehirono/status/879469515414929408 …	
RT if you agree we shouldn't be passing legislation that will cause millions of Americans to lose their health insurancehttps://twitter.com/usatoday/status/879440157652336640 …	
Don’t be fooled by those who tell you #Trumpcare wouldn’t devastate #Medicaid.https://twitter.com/sangerkatz/status/879438730360217600 …	#Trumpcare #Medicaid
If you’re wondering whether #Trumpcare puts patients first, ask the @AmerMedicalAssn.https://twitter.com/AmerMedicalAssn/status/879409814392254465 …	#Trumpcare
Delawareans: it is YOUR voices that matter most in this health care debate! Tweet @ me about how #Trumpcare will impact you and I'll RT	#Trumpcare
Let's be clear: @POTUS promised on the campaign trail, time and again, to institute a ban on Muslims entering the UShttps://www.nytimes.com/2017/06/26/us/politics/supreme-court-trump-travel-ban-case.html?smprod=nytcore-iphone&smid=nytcore-iphone-share …	
Every Senate Democrat signed a letter to Rs saying: we want to work w/ you to address flaws of #ACA. Let's work together & get this right.	#ACA
Plain & simple: GOP bill would make health care less accessible, less affordable, & less effective.	
GOP health care bill would be catastrophic for millions. And, yet, GOP wants to ram it through Congress without anyone knowing what's in it.	
We know #Trumpcare is disastrous for millions of Americans, but it also represents @POTUS breaking his promiseshttps://www.washingtonpost.com/politics/trump-likely-to-break-many-of-his-health-care-promises--no-matter-what-happens/2017/06/25/f39d192a-581c-11e7-b38e-35fd8e0c288f_story.html?utm_term=.48f627f3c51c …	#Trumpcare
Great to chat w @RonBrownstein at @aspenideas. Even with gridlock in Congress, I'll keep fighting for bipartisan efforts to grow our economypic.twitter.com/FLpRQuwgUG	
Eid Mubarak to Delaware's Muslims & those around world celebrating end of Ramadan, whether today or tomorrow, I wish you happy Eid al-Fitr.	
Great to join @sangerkatz at @aspenideas to discuss Republican bill drafted in secret that makes health care harder to access & to affordpic.twitter.com/sr2viIDDrM	
Even @ time of tight budgets, US investments in global health deserve bipartisan support. My op-ed: https://www.aspeninstitute.org/blog-posts/investments-global-health-still-command-bipartisan-support/ … #SpotlightHealth	#SpotlightHealth
Important read from @MichelleNunn on what U.S. assistance can do. Great traveling with @CARE and @SenJeffMerkley in April!https://twitter.com/MichelleNunn/status/877664353117499392 …	
That means Delawareans & American citizens will have almost no opportunity to hear about what this bill is going to do to YOUR HEALTH CARE	
We need time to fully read & analyze this bill, and it’s ridiculous to think that Senate Rs want a final vote on this NEXT WEEK…	
This isn’t so much a ‘health care bill’ as much as it’s an attempt to gut Medicaid & bring back health ins plans that don’t cover the basics	
Just scanning the headlines, it now makes sense why my Republican colleagues didn’t want anyone to see this ‘health care bill’	
OK, some initial thoughts on the Republicans’ ‘health care bill’ that was just released this morning	
We must invest in teachers, which is why I’m proud to introduce the Teachers Are Leaders Act w/ @SenJoniErnst @ChuckGrassley @SenJackReed	
The right to vote is central to our democracy. Congress must protect it. #VRAA	#VRAA
The U.S. enjoys greater freedoms and quality of life because of- not in spite of- strong & independent democratic institutions. #NatSecForum	#NatSecForum
Speaking now with @madeleine about why strong U.S. engagement in the world is critical for America's own safety & security. #NatSecForumpic.twitter.com/Vc0PsvXGMP	#NatSecForumpic
The Act seeks to strengthen US #patent system by giving inventors the strong patents they need to get investments & protect against theft.	#patent
Proud to introduce the #STRONGERPatents Act to protect US innovators w/ @TomCottonAR, @maziehirono & @SenatorDurbin http://bit.ly/2sQ9rrV 	#STRONGERPatents
GOP health bill rollout is more like a reality TV show than rollout of bill that would remake our healthcare systemhttps://www.youtube.com/watch?v=PCA74tYC1nM&t=6s …	
#Trumpcare would shift an estimated $2.2B in costs to DE over 10 years just to maintain the same level of health care.	#Trumpcare
When the President sends American troops into harm's way, they deserve clear authorization from Congress & a clear strategy.pic.twitter.com/okZgkf5PGM	
For generations, human rights have been inextricable from American foreign policy. #WithRefugees	#WithRefugees
Things to keep secret: passwords, old yearbook photos, diary entries Things not to keep secret: Massive overhaul of US healthcare system	
Every single American deserves to know what's in the GOP healthcare bill before it's up for a vote. RT if you agree	
Key phrase in this story: "without holding public hearings." Unbelievable. #Trumpcarehttps://twitter.com/burgessev/status/876908659040714752 …	#Trumpcarehttps
Even most of our GOP colleagues haven't seen the health care bill! This process is unacceptable.http://abcnews.go.com/Politics/health-care-bill-deadline-looms-senators-sides-wait/story?id=48136174 …	
I am deeply saddened by this news. Everyone should feel safe at their place of worship. My prayers are w/ Nabra’s family & the ADAMS Center.https://twitter.com/washingtonpost/status/876629210659422209 …	
Senate Republicans MUST work with Democrats & show us their bill before jeopardizing the health care of millions of Americans.	
No discussions, no public hearings on the GOP health care bill – that is unacceptable. American lives are at stake.	
My thoughts and prayers go out to the family and friends of the seven sailors who died on the USS Fitzgerald. Eternal father strong to save.	
Obamacare isn’t perfect – we need to work TOGETHER to improve it – but this is exactly the wrong way to do it:http://bit.ly/2sts194 	
During Pride Month, we reflect on the victories & challenges in the fight for LGBT equality that continues today.	
How do we defend our democratic values of equality, openness & inclusion? We can stand with @LambdaLegal & fight for civil rights.	
Who, exactly, is writing this mysterious GOP healthcare bill?	
If we want to address climate change & U.S. competitiveness, we need to work with the rest of the world, not turn them away!	
Not only is this a dangerous decision for our planet, this is another signal that the US doesn’t want to leadhttp://nyti.ms/2t69kpY 	
Millions of Americans who would be impacted by it (and might lose their insurance) haven't seen it, either.https://twitter.com/melmcintire/status/875366155304800258 …	
In 5 years of #DACA, over 780,000 #DREAMers have been given a chance to work & study without the fear of deportation #SaveDACA	#DACA #DREAMers #SaveDACA
The men and women of the Capitol Police risk their lives every day to protect members of Congress, staff, and visitors to the Capitol.	
Praying this morning for Rep. Scalise, colleagues, staff, and Capitol Police in Alexandria.	
The Attorney General needs to publicly answer questions before our subcommittee & he needs to do it soon.	
AG Sessions recused himself, but it's not clear he's honoring that recusal.	
Unacceptable that AG Sessions cancelled his Subcommittee testimony today to avoid questions about the scope of his recusal.pic.twitter.com/14qLmNFroo	
Cutting Medicaid isn't about politics, it's about people. Real people.http://nyti.ms/2sxNM8i 	
This is not OK.https://www.bloomberg.com/politics/articles/2017-06-13/senate-republicans-writing-obamacare-repeal-behind-closed-doors …	
As the Ninth Circuit held, the President’s power is limited by Congress. No one is above the law.	
The ban is discriminatory & would make our nation less safe.	
I'm encouraged that yet another attempt by @POTUS to implement a travel ban has been rejected.http://nyti.ms/2rTfhaU 	
If Republicans want to dismantle Obamacare – they ought to tell us what their plan is – but they’re keeping the public in the dark	
Health care is too important for secrecy – we’re talking about the lives and health care of millions of Americans here!	
I wasn’t in the Senate in 2009, but I remember well the 100+ hearings, meetings, roundtables, & amendments to the #ACA	#ACA
Let’s be clear: the GOP ‘health care plan’ would mean 14 million+ Americans lose Medicaid coverage	
The news may be focused elsewhere, but the biggest story in the Senate is the closed-door, secretive process to dismantle our h/care system	
Senate Ds & Rs should work TOGETHER on moving forward to get a better health care system for all Americans.	
There have been no public hearings or debates about the GOP health care bill. That’s ridiculoushttps://www.youtube.com/watch?v=cVzqzZ3_BkA …	
To my Senate GOP colleagues: we have to do better than this. The American people deserve to know what’s in this billhttp://bit.ly/2stXh88 	
Comey's testimony will reinforce that we have a significant problem w/ a president who is engaged in unwise, unethical conduct in the WH.	
. @POTUS either doesn't understand or doesn't care about the longstanding importance of the independence of the FBI director.	
It is completely unacceptable for the president to ask the FBI director to be personally loyal to him & to drop an ongoing investigation.pic.twitter.com/UyuiZQUp0e	
Getting ready to join @Morning_Joe live from Wilmington in just a minute, tune in!	
I'm encouraged by @POTUS' nomination of Christopher Wray to serve as the next FBI Director. He is a respected & serious attorney.	
. @POTUS claims Dems are blocking his nominees, but we're asking him to send us nominees to confirm! And let's start with a few scientists!	
I have to think @POTUS wouldn't have abandoned the #ParisAgreement if he had consulted with, ya know, some scientists	#ParisAgreement
I'm a chemist, and it makes no sense that @POTUS has only announced people for 15% of America's top science postshttps://www.washingtonpost.com/news/energy-environment/wp/2017/06/06/trump-has-filled-just-15-percent-of-the-governments-top-science-jobs/?tid=ss_tw&utm_term=.74e324ce1765 …	
Leaving the #ParisAgreement doesn't just hurt our planet, it also gives China the chance to lead the global energy economy instead of the US	#ParisAgreement
Clean energy isn't just about the environment, it's also about jobs!https://www.nytimes.com/2017/06/05/business/energy-environment/china-clean-energy-coal-pollution.html?smprod=nytcore-iphone&smid=nytcore-iphone-share …	
. @BetsyDeVosED’s budget cuts $2.1 billion from a program providing support & professional development for teachers & school leaders.	
. @BetsyDeVosED's budget takes hundreds of millions from low-income schools.	
This AM, @BetsyDeVosEd will be asked about her devastating education budget & plans that would harm public schools http://bit.ly/2qUxkPq 	
Thank you, @JohnCarneyDE, proud to have you as our Governor. The First State is ready to fight #ClimateChange.https://twitter.com/WDEL/status/871812616313864192 …	#ClimateChange
We need to fight against the #opioid epidemic to save American lives. This isn't a partisan issue.http://nyti.ms/2s9B8fe 	#opioid
The courts that you insult are a pillar of American democracy, and no man or woman is above the law.	
The United States already vets people entering our country – your proposal would ban women & children fleeing violence.	
Mr. President, your travel ban will only make us less safe. It is discriminatory and unconstitutional.https://twitter.com/realDonaldTrump/status/871143765473406976 …	
#Paris withdrawal is a step back from global engagement. Every other G7 country is committed & engaged in the fight against #ClimateChange.	#Paris #ClimateChange
We must continue to support emissions reductions & clean energy research. It is necessary for Americans to remain competitive & safe.	
It is time to get serious about #ClimateChange. We cannot retreat from this threat to humankind.	#ClimateChange
Delawareans are concerned about the impacts of #ClimateChange. They are looking for leadership in our response to its evolving challenges.	#ClimateChange
The #Paris agreement was the result of 25 yrs of hard work over 4 previous presidential admins. A withdrawal is a mistake.	#Paris
Our failure to lead on #ClimateChange rejects scientific consensus & harms our credibility	#ClimateChange
Withdrawing from #Paris puts US govt at odds with US businesses, our closest allies, & millions of Americans	#Paris
. @POTUS' decision to pull US from #Paris agreement is a mistake for US int'l relations.	#Paris
Mr. President, this is an opportunity for American leadership. Leaving the Paris Agreement tells the world we’re not interested in leading.https://twitter.com/realDonaldTrump/status/870083798981111808 …	
#ClimateChange is one of the greatest threats of our time & this decision puts us at risk.	#ClimateChange
Deeply disappointed by reports that the U.S. may withdraw from #Paris climate agreement.http://nyti.ms/2rjZqQO 	#Paris
This #MemorialDay we pause to reflect on the lives of brave women & men who made the ultimate sacrifice protecting our nation's freedom.	#MemorialDay
Last month, I traveled w/ @SenJeffMerkley & @MichelleNunn to S Asia. Our visit was an important reminder of the impact of US foreign aid.pic.twitter.com/amIEI4wOor	
. @SenBlumenthal & I called on Trump admin to enforce sanctions against Russian individuals & entities for interference in the 2016 election.	
A more than $800B cut to Medicaid would be devastating, CBO confirms. By 2026, 14M fewer enrollees due to these cuts. #Trumpcare	#Trumpcare
Happy #AfricaDay! Thanks to our partners across the continent who work to ensure a brighter future for all Africans @mccgov @usadf @usip	#AfricaDay
Plain & simple: #Trumpcare would be a disaster for Delaware & for America.http://nyti.ms/2qhR0IE 	#Trumpcare
. @USCBO: 14 million more uninsured next yr under #Trumpcare. 23 million uninsured by 2026. We need more coverage, not less.	#Trumpcare
Watch my speech about why the courts & Congress must protect our democracy against voter suppression: https://youtu.be/T-S7MpEjQSc  @BrennanCenter	
Proud to stand w/ @BrennanCenter in confronting voter suppression head on. Democracy requires a citizenry that is active, attentive, engagedpic.twitter.com/uijRg3HtbD	
Too many Americans don't realize that voter suppression works & that it has a destructive effect on our democracy. https://www.facebook.com/senatorchriscoons …	
The right to vote is a core element of our democracy, yet we still struggle to secure that right for everyone. Speaking now w @BrennanCenter	
President Trump's recent actions undermine not only his credibility, but the credibility of the presidencyhttps://www.youtube.com/watch?v=5ILw5jk55LQ&feature=share …	
. @POTUS pressuring officials shows he either doesn't understand how these relationships work or he just doesn't care https://www.youtube.com/watch?v=5ILw5jk55LQ&feature=share …	
Withdrawing from the #ParisAgreement would allow China to take the moral high ground & economic upper hand in combating #ClimateChange.	#ParisAgreement #ClimateChange
If @POTUS withdraws from the #ParisAgreement, generations to come will be affected. We must fight against #ClimateChange for our children.	#ParisAgreement #ClimateChange
The #ParisAgreement is a commitment to fight against #ClimateChange on a global scale. We cannot give up our role as a leader in that fight.	#ParisAgreement #ClimateChange
I oppose these severe cuts to federally sponsored research.	
I am very concerned about cuts to R&D and innovation in the Trump budget which are critical to American competitiveness.	
Our president should make our country stronger & safer. But his #budget & proposed cuts to diplomacy & development would do the opposite.	#budget
Trump's #budget would threaten our security, our economy, our environment & our global leadership. I'll fight against this shortsightedness.	#budget
This isn't what @POTUS promised. Jeopardizing the health care of millions is a terrible move for our country.	
Trump's #budget calls for $6B in cuts to #NIH & $1.3B in cuts to #CDC. This is a huge step backwards in health care & research.	#budget #NIH #CDC
Republican health bill would strip $839B from Medicaid. Trump's #budget would strip another $610B. We need more coverage, not less.	#budget
Trump's #budget would strip over $1 trillion from programs that help the poor like SNAP, EITC, TANF & Children's Health Insurance.	#budget
I will fight to ensure these proposed cuts are never implemented. Remember, it is Congress that passes the budget, not the president.	
Trump's #budget would be devastating for millions of Americans, & most of all, for the most vulnerable of our neighbors, family, & friends.	#budget
Today, I am proud to reintroduce the American Dream Accounts Act w/ @marcorubio. http://bit.ly/2qd6cqn 	
I'm heartbroken for the families impacted by the explosions in Manchester. Praying for all those hurt and lost tonight	
Welcome to Delaware high school juniors participating in today's Congressional Youth Conference. Looking forward to our conversations today!pic.twitter.com/JRnAx4fliK – at Delaware State University	
I hope he’ll see why cuts to our global health contributions are a bad idea. Investments like these keep Americans at home & abroad safe.	
Mueller has exercised independent judgment in standing up to administration pressures before & that’s exactly what this position requires	
Mueller is respected & has long, significant experience at the most sr levels of federal law enforcement, including as a seasoned prosecutor	
Director Mueller helps restore confidence in the independence and integrity of the ongoing investigation into Russian interference	
Naming a special counsel to investigate Russian interference in our election was absolutely necessary & Mueller is a very strong choice	
Impt read from my friend @JoeBiden. We must stand together to advance the rights of all people. #IDAHOT2017http://wapo.st/2qrWGSW 	#IDAHOT2017http
This alarming story further underscores the importance of our acting promptly in Congress to ensure the integrity of the FBI investigation	
If true, this is a further gravely concerning report of repeated efforts to interfere with an ongoing investigation.https://twitter.com/nytimes/status/864592260964511745 …	
Today, I met w/ DE members of @alsassociation. I'll keep working to ensure that patients & their families have the resources they need.pic.twitter.com/8xDG9YkA3y	
Thrilled to kick off the Human Rights Caucus w/ @SenThomTillis today.pic.twitter.com/J323HxfsfI	
Just spoke on the Senate floor to recognize the men & women of law enforcement as part of #NationalPoliceWeek	#NationalPoliceWeek
Let's also remember that if @POTUS shares classified info with the Russians, nothing stops them from sharing that info with Iran, Assad, etc	
This latest mess from the White House damages the Admin's credibility. We've seen too many Trump officials say things that just aren't true	
. @POTUS apparently didn't realize the damage he might be doing in the Oval Office, or if he knew, he didn't carehttps://youtu.be/h7R5EWxvGAk 	
Impt that SCOTUS let 4th Cir decision stand, but NC law just one of many discriminatory voter suppression effortshttp://nyti.ms/2pChWGI 	
This Mother's Day, let's also remember the mothers all around the world that deserve America's help.https://www.usatoday.com/story/opinion/2017/05/12/trump-foreign-aid-cuts-hurt-mothers-column/101525840/ …	
When America invests in women, we make our world safer: https://usat.ly/2pGTXlE 	
As we approach #MothersDay, I urge you to reflect on the contributions mothers make to societies, economies, & future generations.	#MothersDay
The Defend Trade Secrets Act which I co-sponsored with @OrrinHatch became law 1 year ago today.	
The stories coming from the Trump Administration don't add up, & they don't match! So we're asking the Inspector General to look into itpic.twitter.com/a56gnyQvor	
The White House isn't being clear, so we're asking the Inspector General to investigate the circumstances of Director Comey's firingpic.twitter.com/PgLxgVeFAc	
It’s more important than ever that we combat abuse of opioids & illicit drugs – I’m urging the Trump Admin not to cut anti-drug programs.	
Teachers change lives. On #TeacherAppreciationWeek, I am thankful for all the great teachers that make Delaware's future bright!pic.twitter.com/bHSDByXP8F	#TeacherAppreciationWeek
With engagement and parternship from U.S. and international partners, we can achieve peace in South Sudan. Speaking now at @USIPpic.twitter.com/eWiwFrM50G	
About to kick off important discussion w Amb. Princeton Lyman at @USIP on crisis in South Sudan. Join us live:https://www.usip.org/events/senator-chris-coons-war-famine-south-sudan …	
This prob won't make the evening news tonight, but it's a big deal for clean air & your wallets-and it's bipartisan! http://thehill.com/policy/energy-environment/332721-senate-rejects-repeal-of-obama-drilling-rule …	
3 GOP Senators joined Dems to maintain the Obama Admin rule on reducing methane waste from oil/gas drilling http://thehill.com/policy/energy-environment/332721-senate-rejects-repeal-of-obama-drilling-rule …	
I know there are juuust a few other things in the news, but the Senate just took a big step to protect our environment AND taxpayers	
. @SenBobCorker & I believe we can get more food aid to more people in need at a lower cost to American taxpayers.https://www.nytimes.com/2017/05/10/opinion/a-better-way-to-help-the-world.html?smprod=nytcore-iphone&smid=nytcore-iphone-share …	
Getting ready to join @MSNBC in just a minute. Tune in!	
Delawareans up & down the state shared concerns about the Republican health bill w/me & my office. I hear you & will fight against this.pic.twitter.com/isO8BA92a9	
Joined @cabcallowayarts "abolitionists" at last night's Best of India party to raise money to combat human trafficking for Zoe Ministries.pic.twitter.com/IXryIptjCx	
Listen to these doctors, hospitals, & insurers who all agree that the House GOP health bill is wrong for Americans.http://nyti.ms/2pI84JK 	
The GOP health care bill that just passed the House is a mess. I'm going to fight it with everything I've got:http://nyti.ms/2qJhq5J 	
It would be a serious mistake to remove the U.S. from the #ParisAgreement & refuse to make reduction of emissions a top priority.	#ParisAgreement
House voting soon on GOP health bill & they don’t even know how many people they will be robbing of health carehttp://wapo.st/2pDqYSg 	
Little attn paid to impact GOP health bill will have on gutting services for special ed in our public schools: http://nyti.ms/2pAJN8w  #AHCA	#AHCA
Don’t be fooled—the Republicans' health care bill would still be a disaster for Delawareans. #AHCAhttp://bit.ly/2pIsbrV 	#AHCAhttp
House Republicans' health bill funds insufficient to bring premiums down & will price many out of the market. #AHCA	#AHCA
Underfunded high-risk pools like the @HouseGOP bill will leave people with sky-high deductibles & premiums double those of standard rates.	
We need to understand why the current FBI director chose to insert himself in the last days of the election.pic.twitter.com/uwB4gLVw2U	
Re-introducing #EqualityAct is an important step toward ending discrimination in the workplace. Proud to sign on http://bit.ly/2qEn9JZ 	#EqualityAct
The @HouseGOP gets it wrong again. We're trying to get more coverage for Americans, not less.	
Impt read about how the #AHCA would not protect people w/ pre-existing conditions as @POTUS promised:http://ti.me/2p2LwA8 	#AHCA
How many failed attempts by @HouseGOP to repeal the #ACA until they finally do this correctly in a bipartisan way:http://cnn.it/2ptImbN 	#ACA
I wish the Israeli people a happy Independence Day. I deeply cherish the strong relationship & unbreakable bonds between the US & Israel.	
Powerful story from @jimmykimmel about the importance of protecting health care for all. We must #SaveOurCarehttp://wapo.st/2qotLA0 	#SaveOurCarehttp
Read my op-ed w/ @marcorubio in the @WSJ about how the U.N. needs to combat its anti-Israel bias:http://on.wsj.com/2pBBis1 	
By welcoming Duterte to the WH, @POTUS risks giving Duterte's atrocities an American stamp of approval:http://nyti.ms/2qiJ78W 	
Looking forward to joining @smerconish on @CNN in just a few moments. Tune in!	
I am committed to putting good policy before partisanship & doing what is best for Delawareans, period.	
Very proud to be named one of the most bipartisan members of the Senate by the @TheLugarCenter	
As families prepare for summer vacations in our Natl Parks- Trump budget cuts $1.5 BILLION from @Interior. Terrible! https://www.whitehouse.gov/sites/whitehouse.gov/files/omb/budget/fy2018/2018_blueprint.pdf …https://twitter.com/realDonaldTrump/status/857605104417026049 …	
My thoughts and prayers are with the family of the fallen Delaware State Trooper and the entire law enforcement community.pic.twitter.com/3fMflTdi0a	
Intellectual property is estimated to add $6.6 trillion to the U.S. GDP. That’s worth celebrating this #WorldIPDay!	#WorldIPDay
The visit reinforces my continued support for U.S. foreign assistance programs, as well as my support for the Reach Act.	
Last week, I went to India & Nepal with @CARE, a nonprofit working around the globe to save lives, fight poverty, & empower women.pic.twitter.com/vGATeNlKKs	
Trump’s impact on #climatechange so far: billions more tons of GHGs emitted due to lack of investment.http://politi.co/2q7176l 	#climatechange
On #WorldMalariaDay, spoke w/ leaders in the fight to end malaria. Your efforts make a real difference for millions!https://youtu.be/eJxhA7UBpAs 	#WorldMalariaDay
. @SenBobCorker & I are committed to reforming our food assistance programs to make them more efficient:http://usat.ly/2qbRTlk 	
. @POTUS' budget would jeopardize our role as a global leader. Diplomacy & development—not just defense—make America safe & strong.	
. @POTUS' budget would eliminate all regional EPA programs. This budget is wrong for Delaware & for our environment.	
The cuts in @POTUS' budget would fall on the shoulders of working families across our country, including many in DE.	
About to speak on the Senate floor about @POTUS' budget, which would have devastating consequences for Americans across the U.S.	
Honored to join Holocaust survivors Ania & Marcel Drimer in lighting candles for #HolocaustRemembrance.pic.twitter.com/dvhGPvEKrJ	#HolocaustRemembrance
I visited Juba, South Sudan, last week & witnessed how violence & famine across the country have created a major humanitarian crisis.pic.twitter.com/dn8NuLd88A	
Today we remember those who lost their lives during the Holocaust. We must recommit ourselves to never letting such an atrocity occur again.pic.twitter.com/FaHu7bMjGU	
I traveled to Uganda & S Sudan to see the humanitarian crisis & world's largest refugee settlement. The US must help & lead int’l response.pic.twitter.com/3DqUUbEAXc	
Happy #EarthDay! Today & every day we must work together to save our planet. #MarchForSciencepic.twitter.com/6u7jd2OmAd	#EarthDay #MarchForSciencepic
To those speaking out to defend science today & every day: I stand with you. #MarchforSciencehttp://bit.ly/2mSOrPx 	#MarchforSciencehttp
I am fighting for open data, open minds, & open arms. #DefendScience #MarchforScience http://bit.ly/2mSOrPx 	#DefendScience #MarchforScience
. @POTUS’ budget makes draconian & damaging cuts to science & innovation. I will fight against them w/ everything I've got. #MarchforScience	#MarchforScience
We are better off as a country because of many innovations that came from science. We must invest more, not less. #MarchforScience	#MarchforScience
Let's bond together & proudly march for science, not just today but every day. #MarchforScience	#MarchforScience
Defending science is more important today than ever before. Proud of all those marching tomorrow in DC & around the world #MarchforSciencepic.twitter.com/nMmCrPSrJ2	#MarchforSciencepic
. @POTUS' budget would slash too many First State housing programs. I will fight to ensure they stay in place.http://delawarepublic.org/post/proposed-federal-housing-cuts-would-leave-financial-burden-state …	
As a world leader, U.S. must continue humanitarian aid while ensuring that assistance is reaching those in need in the most effective ways.pic.twitter.com/1vex3u3BfW	
. @SenBobCorker & I saw firsthand the impact of the current famine in South Sudan while in Uganda. http://bit.ly/2pu9N3t 	
I'll fight for humanitarian assistance & more effective ways to reach 20M people in Africa facing possible famine http://apne.ws/2pIVFCt 	
I traveled to the world's largest refugee settlement in Uganda & South Sudan's capital to call attention to this humanitarian crisis.pic.twitter.com/agLdrQK5T5	
Every day, 1000s of refugees arrive in Uganda, fleeing famine in South Sudan. The US can & must continue to provide humanitarian assistance.pic.twitter.com/147MjJBPgv	
I agree w/ President Bush: slashing foreign aid would be a dangerous mistake.http://n.pr/2oZZmrf 	
I agree w/ @HaleyBarbour. http://wapo.st/2nIEzsa pic.twitter.com/bze5xQH7bK	
20 million people are at risk of starvation in South Sudan, Somalia, Nigeria, & Yemen. Let’s stand together & act now to #FightFamine	#FightFamine
The images we saw of Syrian children & adults brutally murdered & poisoned by their own gov't is a call to action for the global community.	
