Hope I’m not too late, @TommyMcFly. Go @Nationals! #OnePursuitpic.twitter.com/0KhVIBxNRt	#OnePursuitpic
AMEN! Time for @POTUS to speak up & help retired coal miners keep their hard-earned health benefits.https://twitter.com/nytimes/status/855086435795435522 …	
Gig workers & freelancers have a tough time on #TaxDay. We need reforms that value their contributions to US economyhttp://bit.ly/2pxCJrd 	#TaxDay
Agree, this is unacceptable! @timkaine & I are working together to get to the bottom of this.https://twitter.com/timkaine/status/852557259896958976 …	
Crazy that the President's budget would cut funding for @NIH. Costs us more in the long run: http://www.vox.com/science-and-health/2017/4/10/15177116/trump-nih-cuts-bad-idea-explained …https://twitter.com/vtcri/status/852510129249550336 …	
There's nobody I'd rather have as a partner in the Senate than @timkaine.https://www.washingtonpost.com/lifestyle/style/tim-kaine-is-back-at-his-old-senate-job-its-never-seemed-more-important/2017/04/12/d387a3aa-1a26-11e7-855e-4824bbb5d748_story.html?utm_term=.9186ce8e3995 …	
Demanding answers from @united on what happened in that horrible video. They must take steps to ensure this never happens again.pic.twitter.com/lVDt1HgfLy	
. @POTUS needs to articulate a coherent strategy for dealing w/ complex conflict in Syria, because the consequences of a misstep are grave.pic.twitter.com/5TQRivOqRS	
Intro’d bill to expand Pell Grants so that more high school students can earn college credit & jump-start their college careers.pic.twitter.com/HP77klMSdS	
This is why I intro’d a bill to remove Bannon from the NSC – this process should be above politics.https://twitter.com/business/status/849645786128408576 …	
Working families deserve financial security. Closing the #paygap means + women can save up for retirement & add to our economy. #EqualPayDaypic.twitter.com/SHCgXClPa8	#paygap #EqualPayDaypic
I am NO on cloture and NO on confirmation. Read my statement here:pic.twitter.com/kiPFXVVhfj	
Student loan debt now $1.4 trillion! Intro’d bipartisan bills to help those struggling to pay off loans. Learn more: http://bit.ly/2oIfwBd pic.twitter.com/YbVTzf0sRr	
LIVE: Senate Intel hearing on Russian election interference. Watch here: https://www.facebook.com/MarkRWarner/videos/10155232204952853/ …	
Happening Now! Direct link --> https://www.facebook.com/MarkRWarner/videos/10155230095822853/ …https://twitter.com/MarkWarner/status/847125039111639040 …	
TODAY: Senate Intel Cmmte press conference w/ @SenatorBurr on #Russia. Follow livestream at 2:30 PM on Facebook: http://www.facebook.com/markrwarner 	#Russia
Providers shouldn’t be able to sell your sensitive data without your consent. That’s why I voted against overturning #BroadbandPrivacypic.twitter.com/mSHVKZYKw2	#BroadbandPrivacypic
. @realdonaldtrump: if you really want to keep promises to miners, how about supporting our bipartisan Miners Protection Act?	
Applaud @GovernorVA for taking the steps to provide health coverage to more Virginians. It's the right thing to do.https://twitter.com/GovernorVA/status/846415395728883713 …	
#Trumpcare rejected. It’s time for House Republicans to work with us to fix #ACA for all Americans.	#Trumpcare #ACA
More Virginians die from opioid ODs than car crashes each yr. Yet #Trumpcare takes coverage away from those at risk. Shame!pic.twitter.com/xAp9RRZtQb	#Trumpcare
w/ @timkaine on call w/ Va. hospitals on #Trumpcare: 232k in Va. lose coverage/$209m unpaid hospital charges. This is NOT a solution.pic.twitter.com/t1Ll5DLSdr	#Trumpcare
Let’s do right by Virginia’s native tribes. We must pass this bill & grant them the recognition they deserve.http://wapo.st/2o09Mm3 	
Hate has no place on our college campuses. These anti-Semitic acts are unacceptable & must be strongly condemned.http://bit.ly/2n7qClC 	
#Trumpcare is bad for Virginia.pic.twitter.com/TVe2NwH0dI	#Trumpcare
Today's budget proposal from President Trump is incredibly short-sighted. Would actually harm our country's strength & long-term growth.	
Significant progress has been made in the Chesapeake Bay cleanup. Slashing funding would be devastating #SaveTheBayhttp://bit.ly/2njJH5q 	#SaveTheBayhttp
#Trumpcare will hit seniors hard by forcing them to pay more for their care. Medicaid is decimated while the rich get a big tax break.pic.twitter.com/cMrarjqqfZ	#Trumpcare
It's official: #Trumpcare will raise costs for consumers and leave millions of Americans without healthcare coverage, per @USCBO.	#Trumpcare
Called on @POTUS to rethink draconian cuts to the #ChesapeakeBay cleanup program that would destroy yrs of restoration efforts #SaveTheBaypic.twitter.com/mZrs7T9bgP	#ChesapeakeBay #SaveTheBaypic
Women are at the center of my life. I'm wearing red today in solidarity of a #DayWithoutWomen #InternationalWomensDaypic.twitter.com/wzFi56cdYd	#DayWithoutWomen #InternationalWomensDaypic
#Trumpcare will cover less, cost more & lead to millions of Americans to lose coverage altogether.pic.twitter.com/llrtyDu5wU	#Trumpcare
Technical changes to poor policy still results in poor policy. See my statement on the #TravelBan.pic.twitter.com/zYGLVs6era	#TravelBan
#ICYMI: Talking #Russia this AM on @FaceTheNation. This investigation is as serious as anything I've ever been involved in.pic.twitter.com/u5MCF3zavo	#ICYMI #Russia
It’s clear Title IX protects transgender students from unfair discrimination. Urged #SCOTUS to #StandWithGavin & others nationwide.pic.twitter.com/tbAkJjI9BQ	#SCOTUS #StandWithGavin
My response to @POTUS' #JointSession address:pic.twitter.com/L2tTXjxB2B	#JointSession
Nearly 700,000 Virginians will lose health coverage if the #ACA is repealed. @POTUS needs to work with us to improve the law #JointSession	#ACA #JointSession
Open to tax reform, but we can’t allow only the wealthy to benefit. Everyone needs to pay their fair share. #JointSession	#JointSession
Any attempt to single out individuals by their religion is un-American & will harm our standing abroad #TravelBan #JointSession	#TravelBan #JointSession
Meet my guest to tonight’s #JointSession: Rev. Dr. Keary Kincannon from Fairfax County. His church helps the homeless & protects immigrantspic.twitter.com/UOfvBT40VL	#JointSession
Extremely concerned by increased threats and acts of anti-Semitism in Va. & across U.S. Must be denounced in the strongest possible terms.https://twitter.com/InsideNoVA/status/836311682985132033 …	
Happy Birthday to my wife Lisa. So grateful for our many years together!pic.twitter.com/IstQZbPP9I	
So great to see VA's Katherine Johnson at the #Oscars! A @NASA hero & no longer one of those @HiddenFigures.pic.twitter.com/mj8eRziZrl	#Oscars
Happy birthday to my friend & musical partner of almost 30 years @timkaine!pic.twitter.com/Ft0lc9Bq97	
All students deserve to feel safe & accepted in school. Troubled by Admin’s decision remove trans student protections. #ProtectTransKids	#ProtectTransKids
Called on @ICEgov to start providing answers about the # of raids that are causing fear & panic in our communitiespic.twitter.com/I1xVa3hf5k	#
Scott Pruitt has spent his career dismantling environmental laws & would be a disaster to @EPA & Virginia.pic.twitter.com/wf7LkY06wH	
Proud to share #HiddenFigures & promote #STEM for hundreds of NoVa young people tonight: being smart is cool.pic.twitter.com/uhGr1Y3CMH	#HiddenFigures #STEM
My statement on Gen. Flynn's resignation:pic.twitter.com/26C5BZqhjX	
Steve Mnuchin’s record shows he’s not the right person to lead @USTreasury. Middle class families need an econ. champion. Voted NO.pic.twitter.com/qbOLPcAyiB	
Va. has too much at stake for Pruitt to lead @EPA. I can’t support a nominee that doesn't prioritize protecting our nation’s air & water.pic.twitter.com/MGHChs61hi	
Good.https://twitter.com/WPJohnWagner/status/829830921792651265 …	
Silencing our scientists raises ethical concerns & threatens our innovative edge around the world. Intro'd bill to stop these #gagorders	#gagorders
We need an independent voice for Attorney General. I will vote NO on Senator Sessions’ nomination tonight.pic.twitter.com/jZ9ZOQMbQo	
While I voted no, I will hold Betsy DeVos accountable to students, parents, teachers & Virginians who wrote me – like Laura.pic.twitter.com/Zhp4Mkp0iW	
Her priorities are not in the best interest of our students, teachers & public schools. Here is why I’m voting #NoOnDeVospic.twitter.com/ChZB3TE6i1	#NoOnDeVospic
Her single-minded focus on charter schools & vouchers is out of step w/ Va. The thousands of constituents who called my office agree (2/2).	
Ms. DeVos lacks knowledge of key federal education policy. She’s not the right person to help special needs students & others (1/2)	
Heading to the Senate Floor now to speak out against the nomination of Betsy DeVos. http://cs.pn/2kf3Rbn 	
Adm Mike Mullen, fmr. chairman of the Joint Chiefs of Staff, agrees: political advisors have no place in the NSC.http://nyti.ms/2jUrG7A 	
Proud to stand in solidarity w/ hundreds of Virginians & interfaith leaders against divisive rhetoric & policiespic.twitter.com/yLwBFBS9AQ – at Islamic Center Of Virginia	
TY Virginians for staying engaged. I’ll continue to fight against Betsy DeVos. She's not qualified to be in charge of our children’s future.pic.twitter.com/t4h4fnfa7r	
We’re making it clear to @DeptofDefense & @CIA agency heads: torture is immoral & illegal. Congress will not stand for it.pic.twitter.com/qUIQK86tMr	
Thanks to my co-sponsors @SenFeinstein @kamalaharris @MartinHeinrich @SenatorLeahy @SenJeffMerkleyhttps://twitter.com/ChadPergram/status/827294780522639360 …	
I can’t support Rep. Mulvaney for Budget Director. His approach to debt reduction is irresponsible & has hurt our fed. workforce & military.pic.twitter.com/hdhp6OPDMX	
Intro'd bill to reverse @POTUS reorg of the National Security Council. NSC should be guided by professionals, not political advisers.pic.twitter.com/yTv72asiqP	
Glad to see GOP @SenatorCollins & Sen. @lisamurkowski join opposition to DeVos. She is uniquely unqualified.	
Astonishing & unprecedented that R's on Finance Committee would change rules at last min to jam thru nominees given # of outstanding Q's	#
If @POTUS won’t listen, then we’ll take action. Introduced bill that rescinds this misguided & unconstitutional immigration ban.pic.twitter.com/nvm2EkCpga	
Rep. Tom Price is WRONG for @HHSGov & Virginia. I’m voting NO (1)pic.twitter.com/B8bjaxO3YM	
Talking to the press about why @SenateFinance Dems are boycotting Price, Mnuchin noms until all Q's are answeredpic.twitter.com/2ujThN7JAK	
I'm voting NO on Betsy DeVos for @usedgov.pic.twitter.com/WeJx4NEbKl	
Proud to be standing with refugees like Farrah & against @POTUS's un-American Executive Order. #NoBanpic.twitter.com/khAo72KxqX	#NoBanpic
Joining @SenateDems in front of the Supreme Court to rally against @POTUS's un-American immigration order. Watch:https://www.youtube.com/watch?v=edXUK3wQdN4 …	
Just spoke w/ the head of CBP. Told him @CustomsBorder disarray and disrespect at Dulles was totally unacceptable. Pressing for answers	
I'm voting NO on Steve Mnuchin for @USTreasury. He is not the right candidate to help Americans succeed in this economy.pic.twitter.com/aqdp9lzaV1	
. @POTUS has created fear & chaos. We're demanding the Administration provide answers on its misguided & un-American immigration order.pic.twitter.com/38c4EzPiT6	
working on this as we speak. Huge, troubling problem. Demanding answers	
This is shameful. How is this making American safe? @POTUS needs to end this dangerous #MuslimBanhttp://nyti.ms/2kEnMV4 	#MuslimBanhttp
. @POTUS executive order doesn't reflect our American values & harms our natl. security interests.pic.twitter.com/fkGpYcGJNZ	
Don't repeat the mistakes of the past, @POTUS. Read the torture report.pic.twitter.com/5EPHJUOvz2	
I cannot support Jeff Sessions for Attorney General.pic.twitter.com/Wm4efXvtRc	
My statement on reports of Exec. Order on interrogation policies:pic.twitter.com/PkeLeHSdTd	
Because health decisions should be made by a woman and her doctor, not by politicians. #7in10forRoe #roe44	#7in10forRoe #roe44
Well that was a shellacking! @VCU_Hoops dominates La Salle, 90-52pic.twitter.com/jlqcEO3Jjj	
Men of quality support equality. #WomensMarchpic.twitter.com/NpS3YZSbZ0	#WomensMarchpic
Last bill President Obama signed into law: legislation I sponsored in the Senate with @SenatorLankford, @CoryBookerhttps://twitter.com/jordanfabian/status/822480217096777729 …	
Despite reassurances to not “pull the rug out” on healthcare, its been 7 yrs & we still havent seen a replacement plan #MakeAmericaSickAgainpic.twitter.com/XatrAgNNbI	#MakeAmericaSickAgainpic
Did you know #MemorialBridge is in such bad shape it wont be used for inauguration? Asked @Interior & @USDOT nominees to focus on a fix.	#MemorialBridge
Dr. King stood for many things, but none more than his service to others. This #MLKDAY follow that example & visit http://mlkday.gov pic.twitter.com/hF4E4kHG1K	#MLKDAY
The President-elect's continued disparagement of the intelligence community makes our country less safe.	
Recap: We cannot allow Russia to threaten our democracy without any consequences.pic.twitter.com/x3w3D6aA9r	
I am grateful for the work of Intel professionals who speak truth to power in service of this great nation.	
The American people deserve to know the truth on Russian hacks. Our strength will be measured by our actions.pic.twitter.com/oziKPK3gzT	
We know Russians hacked Republican systems. They just haven’t released that material, but may very well do so.	
No preexisting conditions, no lifetime caps, & coverage for <26. All things ACA does right. Let’s work to fix it instead of repeal.	
ACA repeal makes no biz or fiscal sense. It’s been 7+ yrs of bickering. Time to provide the American people with an alternative.	
30 million would lose coverage, incl. nearly 700,00 Virginians. Repeal & delay would bring chaos. We can’t #MakeAmericaSickAgain	#MakeAmericaSickAgain
Way to go Dukes! @JMUFootball are the new #FSCChamps! #GoDukes #JMUNationhttps://twitter.com/jmu/status/817830204068470786 …	#FSCChamps #GoDukes #JMUNationhttps
Good luck today @JMUFootball! I'll be rooting for you with my jersey on. #GoDukes #BeatYSU @JMU @JMUSportspic.twitter.com/rRp6ILwFQw	#GoDukes #BeatYSU
I stand w/ @SenateDems. I stand w/ 2.5 million ppl who visit @PPFA each year. #IStandWithPP – don't #MakeAmericaSickAgainpic.twitter.com/ydWEaazDSL	#IStandWithPP #MakeAmericaSickAgainpic
We know improvements to #ACA are needed. We remain ready & willing to work on them. Why the GOP rush to repeal?http://bit.ly/2iTFqjv 	#ACA
ICYMI: It is flabbergasting to question & disrespect the thousands of intelligence professionals who speak "truth to power” to keep us safe.pic.twitter.com/qYMm4U7Jpm	
GOP have had 7 years to put forward a viable replacement plan for #ACA. So where is it? #MakeAmericaSickAgainpic.twitter.com/Y99dmjCCJO	#ACA #MakeAmericaSickAgainpic
Proves the need for Congress to give the American people a timely bipartisan probe. (2/2)	
Really wish we saw more PEOTUS respect for our intelligence professionals. (1/2)https://twitter.com/realdonaldtrump/status/816452807024840704 …	
Chuck Colgan was a true public servant & his loss will be felt throughout Va. I extend my sincere condolences to his loved ones.	
Congrats @virginia_tech @HokiesFB on a historic, incredible, come-from-behind victory at the #BelkBowl!pic.twitter.com/Uw1ONKk3yc	#BelkBowl
My statement on today's actions by the Obama Administration:pic.twitter.com/JcBFCnBf1v	
Happy holidays, from my family to yours.pic.twitter.com/niSXOEOHsr	
24-20!!! @ODUFootball wins their first bowl game!! Looking forward to that case of Michigan brew, @SenStabenow!	
4 yrs ago the unthinkable happened at #SandyHook. Over 400K have been killed or injured since. We must #HonorWithAction to #EndGunViolence.pic.twitter.com/ReBV4yupf4	#SandyHook #HonorWithAction #EndGunViolence
Honored to welcome Va. veterans, active duty military & their families to DC to thank them for their service & sacrifice.pic.twitter.com/KrxuqLUFLM	
There are real people, real lives at stake. We have to keep our promises to America's miners. #MPApic.twitter.com/5MA1aCFHD9	#MPApic
Sad to hear of the passing of ex-Ohio Sen. John Glenn, who trained @NASA_Langley in #HRVA prior to 1962 Earth orbit. True hero.pic.twitter.com/UaNnTS4pjH	#HRVA
Thank you @VP Biden for serving our country with great honor & humility. Your authenticity in the business of governing will be missed.	
75 years ago a single act of aggression changed American history. Let’s honor the lessons of #PearlHarbor & remember those lost.pic.twitter.com/SYHhUMuHcx	#PearlHarbor
On #MinersDay, it's outrageous retired coal miners are STILL waiting on Congress to pass the Miners Protection Act.pic.twitter.com/Z5rAgXJAHN	#MinersDay
We will use any means necessary to make sure that miners and their families are protected. 16,300 set to lose healthcare at end of monthpic.twitter.com/d3WEw1Lz5y	
Expect our measure to expand @PetersburgNPS will become law. Will encourage tourism & preserve Civil War history.http://bit.ly/2gKqiXF 	
Great news! House took final step to send our bill awarding #OSS vets with the Congressional Gold Medal to @POTUS to sign.pic.twitter.com/insAk6vKMP	#OSS
Introduced a bill to create a permanent pipeline for innovators & entrepreneurs into government by enshrining @InnovFellows program into law	
#ICYMI: my take on how to fix an economy that no longer works for everyone.http://wapo.st/2gToNqh 	#ICYMI
My heart goes out to friends & family of all of those injured in #OhioState attack. This type of violence has no place in our society.	#OhioState
Congrats @virginia_tech for clinching the ACC Coastal Division title! http://bit.ly/2gtbPiE 	
Small businesses are the lifeblood of our local economies. Hope you'll @ShopSmall this #SmallBizSatpic.twitter.com/cpJsTLgstp	#SmallBizSatpic
Happy Thanksgiving! Thankful to be able to represent all Virginians as your Senator.pic.twitter.com/Wwyf15A6lC	
Getting an early start on my holiday shopping @kramerbooks. As you do yours, hope you'll #shopsmall this Saturday.pic.twitter.com/q50GEHnPBW	#shopsmall
Important Q @virginia_tech: Will @TheHokieBird be renamed “ketchup” after their arrival? Potential gesture of good will? #TurkeyPardon2016https://twitter.com/virginia_tech/status/801138868577861632 …	#TurkeyPardon2016https
It’s not perfect, but we can't roll back the progress we've made. Tell us why #CoverageMatters & how the #ACA has helped you #GetCoveredpic.twitter.com/5nYbGNVAWr	#CoverageMatters #ACA #GetCoveredpic
3 Virginians die a day from opioid abuse. Declaring it a health emergency will help create more partnerships & provide much needed relief.	
5 yrs. after we launched, VASEM still bringing together the Commonwealth's leaders in science, engineering & medicine. @theNASEMpic.twitter.com/r5q4u2SG6R	
No, I have not been kidnapped. Skyped in to discuss the new economy & the #EvolutionOfWork w/ @freelancersu @ NY Fedpic.twitter.com/AcBE6OuZ6E	#EvolutionOfWork
This is great news. Those who served our country in the OSS deserve to be honored for their heroic, pioneering contributions to our nation.https://twitter.com/GOPLeader/status/799324456330100736 …	
DNI Clapper has served our country with honor & distinction for more than 50 years. Wish him & Sue all the best on a long, happy retirement.	
Looking ahead: We have to do more to help communities hurt by technology & globalization.pic.twitter.com/Q1Z2CoUFQC	
If you're by a TV, I'll be checking in with @mitchellreports momentarily.	
Honored to serve as new Vice Chair of the Intelligence Committee. In a dangerous world, our responsibilities are more essential than ever.	
Will be on @Morning_Joe at 8:30am & @SquawkCNBC at 8:40am. Tune in!	
Looking forward to this - tune in tomorrow at 8:30am. I'll be talking about the path forward following the election.https://twitter.com/Morning_Joe/status/798629212303294464 …	
I'm in heaven. Talking data and cyber with 1,000 wonks @Splunk #GovSummit. @SplunkGovpic.twitter.com/bNzCmohZfV	#GovSummit
. @gwenifill was a trailblazer in media & her journalistic professionalism will be greatly missed—perhaps at a time when we'll need it most.	
. @SenatorDole: “It is time to honor…all the heroes of the OSS, with a Congressional Gold Medal.”http://bit.ly/2g7qeBQ 	
Happy #VeteransDay! Today let’s renew our commitment to ensure that our veterans have the support they have earned and deserve.pic.twitter.com/Gf8gE9Uclz	#VeteransDay
Great work underway here @EVMSedu in #HRVApic.twitter.com/xWn57d0k2l	#HRVApic
Thanks to @USMC for 241 yrs. of service #HappyBirthdayMarines https://twitter.com/usmc/status/796729146579660801 …	#HappyBirthdayMarines
#ElectionDay is finally here. It's now up to the American people to decide the future of this country. Go vote!pic.twitter.com/A7XrYAu5s8	#ElectionDay
Don't forget to celebrate democracy & go out and vote today. #ElectionDaypic.twitter.com/UV1whNjx0S	#ElectionDaypic
20k veterans hired by 700 Va. employers a year ahead of goal. V3 is a great initiative. https://goo.gl/p5BpAG 	
Happy Diwali! Proud to have helped make the Diwali Forever stamp a reality.pic.twitter.com/2X7shTdLqJ	
Time for an upgrade. Still on the fence on the airpods though!pic.twitter.com/3VDeNcLim5 – at Apple Store, Georgetown	
#ICYMI: Smart devices continue to be at-risk of being used as zombie tools for cyberattacks.http://lat.ms/2eUFhuS 	#ICYMI
Kudos to Craig Dodson from @RicCyclingCorps for his great work representing #RVA as one of this year's @CNNHeroes.http://cnn.it/1svjC1h 	#RVA
Asking @FCC @FTC @DHSgov to look look into the #zombie #cyber attacks that swamped popular sites.http://bit.ly/2eNDg2e 	#zombie #cyber
Glad to see Va. is back in the space business https://twitter.com/nasa_astronauts/status/790291503977332736 …	
Spent the weekend with @osssociety vets honoring their service in defense of our nation.pic.twitter.com/upbVzlNGz5	
We must do more to protect ourselves from cyber-attacks like these that threaten our institutions & democracy.http://nyti.ms/2eeX4Rg 	
Pleased to join @ArmyCyberInst today for #CyConUS16 to discuss how #cyber is the new security frontier.pic.twitter.com/2u2OD9HHRr	#CyConUS16 #cyber
Let's take a stand against bullying and protect our #LGBT youth #SpiritDaypic.twitter.com/lRaS6KvSJp	#LGBT #SpiritDaypic
Good news: voter registration in Va. has been extended until midnight this Friday! Make sure you are registered: http://elections.virginia.gov/ 	
Will be on @Morning_Joe at about 8:40am to talk about #Virginia as a swing state and preview tonight's debate.	#Virginia
Looking forward to joining @SquawkCNBC in studio at 8am to discuss tonight's presidential debate and both candidates' plans for the economy.	
This is a common sense measure that will help startups grow & retain talent. Let’s get it through the finish line.http://tcrn.ch/2dYqH5P 	
The photos don't lie. #RVA is where it's at when it comes to vibrant food & great restaurants.http://wapo.st/2eiDiUQ 	#RVA
Woohoo! Good job @NASA_Wallops & @OrbitalATK on the successful launch into orbit of #OA5 #Antares	#OA5 #Antares
Happening NOW: #OA5 #Antares Rocket launching from Wallops Island in Va.! Watch here: http://bit.ly/1bUIIH4 pic.twitter.com/AwSK7LLlac	#OA5 #Antares
Are you registered to vote? The deadline in Virginia is TODAY! Visit http://elections.virginia.gov/  or go to your local registrar's office.	
something delicious that's what	
Pleased to announce that Pulaski, Wythe & Frederick counties will receive additional federal support to help combat the rise in heroin use.	
Happy #241NavyBday! https://twitter.com/usnavy/status/786538242426351616 …	#241NavyBday
LIVE NOW: @BrookingsEcon discussing #FinTechhttp://brook.gs/2daMev1 	#FinTechhttp
Wishing my friends in the Jewish community a meaningful #YomKippur and an easy fast. Gmar chatima tova.	#YomKippur
On #NationalComingOutDay - never be afraid to be who you are.http://bit.ly/2deW1xr 	#NationalComingOutDay
