Sen. Rand Paul: Cut Taxes For All!http://www.breitbart.com/big-government/2017/10/04/exclusive-sen-rand-paul-cut-taxes-for-all/ …	
I applaud the reinstitution of the Mexico City policy. Taxpayer money should never be used to promote the taking of innocent life.https://twitter.com/FoxNews/status/823576841902587906 …	
Nothing more than legal plunder. Due process anyone? http://bit.ly/2js6mYg https://twitter.com/fbi/status/821445863704625156 …	
Let's celebrate #MLKDAY by uniting the two Americas into one America that includes justice for all:http://on.mtv.com/17YMJ2U 	#MLKDAY
Coming this week: THE Obamacare replacement bill. Done drafting the bill & will be discussing on @CNN Sunday AM and all week next week!pic.twitter.com/ycpBNBknOl	
As we repeal Obamacare, we would be wise to vote on its replacement at the same time. Read more: http://bit.ly/2hLVaGI pic.twitter.com/GSpZhlsL8h	
As @realDonaldTrump said this AM we will repeal Obamacare and replace it together. I'll continue to work with him and Senators on the plan.	
Tonight's vote on my balanced budget shows there isn't enough serious fiscal conservatism in Senate. I will keep fighting!	
As much as I think Obamacare's a mistake, just ignoring the debt to get to Obamacare is also a mistake.pic.twitter.com/imAcw7wV6S	
I remember a time when Republicans actually said we should reduce the size and scope of government...pic.twitter.com/8H0t2IjYgT	
Why don't we vote for a budget that balances?pic.twitter.com/WTTZWxpxIu	
This week I'll unveil a replacement to Obamacare. As agreed w/ @realDonaldTrump, we must replace it w/ real market reforms. Details coming!	
Saw Rogue One today at the IMAX theater in the Space Museum! Great!pic.twitter.com/3QFMhqZwsk	
I just spoke to @realDonaldTrump and he fully supports my plan to replace Obamacare the same day we repeal it. The time to act is now.	
With a President who supports #AuditTheFed in the White House, Congress has no excuse to not quickly pass this bill.http://rare.us/story/rand-paul-and-thomas-massie-introduce-audit-the-fed-and-what-donald-trump-thinks-about-it-is-encouraging/ …	#AuditTheFed
The more things change, the more they seem to stay the same.http://rare.us/story/rand-paul-blasts-republicans-for-trying-to-add-9-7-trillion-to-the-debt-in-the-name-of-repealing-obamacare/ …	
I will put forward a conservative vision for the country, a vision of a balanced budget that balances within 5 yearspic.twitter.com/OWTISquSyN	
I will put forward a budget that freezes spending and balances the budget over a 5 year period.pic.twitter.com/nWRxeefFFz	
What will the first order of business be for the new Republican majority? To pass a budget that never balances.pic.twitter.com/DEBquJvK7P	
President-elect @realDonaldTrump has stated his support for #AuditTheFed. Let’s send him the bill this Congress. https://www.paul.senate.gov/news/press/sen-rand-paul-reintroduces-audit-the-fed …	#AuditTheFed
I took an oath to protect & defend the Constitution. I take that oath seriously & will continue to fight for liberty in the 115th Congress.pic.twitter.com/moNK6Vm6Ha	
Congress will, as its first course of action, vote to repeal Obamacare. It cannot happen soon enough.http://rare.us/story/rand-paul-repeal-all-of-obamacare-and-replace-immediately/ …	
I am taking this stand — I will not vote for any budget that doesn’t have a plan to balance...http://time.com/4596673/rand-paul-repeal-obamacare/ …	
. @BernieSanders, for the new year please reconsider your support for socialism!http://www.bostonglobe.com/opinion/editorials/2016/12/25/socialism-shattered-venezuela-useful-idiots-applauded/ZoQnAX5WksuCTauiAjCx4M/story.html …	
What's NOT a joke is wasteful spending & the fact that I wish you all a Merry Christmas & Happy Holidays. Hope you enjoyed Festivus w/ me.	
I'm gonna have to stop tweeting about Festivus soon, @FoxNews just asked me to come on & talk about my own personal #WaronChristmas. Rude.	#WaronChristmas
But I'm upset VP & cabinet wasn't picked w/ a reality show. I would have watched. You would have too, don't deny it. #AiringofGrievances	#AiringofGrievances
I decided I'd take on someone who thought he was a tough guy. Bring it, @SenatorReid #featsofstrengthpic.twitter.com/RzwWeLnXPx	#featsofstrengthpic
Also, for those who think @WWE is real, I'm very sorry Bernie Sanders lost.	
Speaking of fake drama, this administration is the first to include 2 @WWE hall of famers. My grievance is, why isn't Mean Gene press sec?	
For those of you "media" writing serious stories about my Festivus jokes, I don't even know what to say, just stop... #AiringofGrievancespic.twitter.com/Fvw6nKbGp8	#AiringofGrievancespic
We’ve got a lot of problems w/ how our tax dollars are spent & you've only heard about some. But I'm not done yet...http://bit.ly/2h9Ob71 pic.twitter.com/KZKJYiI2Xk	
Those are just a few examples. Our hard-earned money is wasted everyday while our citizens, vets & infrastructure suffer #AiringofGrievances	#AiringofGrievances
The Department of State, is advertising a $1.25 million grant opportunity to produce a superhero cartoon in Pakistan. #AiringofGrievancespic.twitter.com/Pyheyqa1mo	#AiringofGrievancespic
I bet you didn't know the federal government is using $30,000 of your taxes to study Ugandan gambling practices. #AiringofGrievancespic.twitter.com/OMbLtDxKTE	#AiringofGrievancespic
The national Park Service announced a grant 2 study “Knowledge, Experience and Beliefs of the Supernatural Environment.” #AiringofGrievancespic.twitter.com/8XVRwhdKe3	#AiringofGrievancespic
I've only just begun. I'll be back to talk waste, more gov grievances and nonbinding resolutions against my Senate colleagues #HappyFestivus	#HappyFestivus
New administration has some great people. But I wanna know who has to tell @realdonaldtrump he can't build a golf course on the South Lawn?	
My favorite Cabinet pick is what's his name, umm it's that guy who wanted to eliminate the Dept. of @ENERGY. Hang on I'll think of it...	
I know I've said a lot about @AmbJohnBolton so you're probably expecting me 2 say something nice for the holidays. Nope. #AiringofGrievances	#AiringofGrievances
. @peterthiel is advising the President Elect. That's great. But his plan 2 make the Statue of Liberty into a digital stop sign is a bit much	
New administration is lookin good. Haven't seen this many billionaires in 1 place since I staked out Bilderbergs w/ Alex Jones. Good times.	
On the media & #fakenews: Festivus is real, media, so don't try 2 fact check it. And @TheOnion is more accurate than a Brian Williams report	#fakenews
Hello again, I hope everyone is having a Happy Festivus! It's once again time for my annual #AiringofGrievances...pic.twitter.com/pZfRtAUtZN	#AiringofGrievances
Stay tuned to celebrate #festivus with me. I got a lot of problems with you and now you're gonna hear about them #HappyFestivus	#festivus #HappyFestivus
Good morning Seinfeld fans and Happy Festivus everywhere! Today I'll have my annual #AiringofGrievances. Join me here throughout the day...	#AiringofGrievances
Very pleased that my friend and great conservative leader @RepMickMulvaney named @realDonaldTrump Budget Director. Outstanding choice!	
Enjoyed meeting w/ @mike_pence today and I look forward to working with him to get our economy back on track and government out of the way!pic.twitter.com/1MMqLN7Fdg	
I am a no on John Bolton for ANY position in the State Departement and will work to defeat his nomination to any post.	
The budget that is being contemplated right now in the Senate does not balance - ever. We must do better.	
I will not vote for any budget, Republican or democrat, that doesn't balance.	
Congratulations to Dr. Ben Carson on being nominated for secretary of Department of Housing and Development.	
A great afternoon with @Nigel_Farage and @RepThomasMassie #Libertypic.twitter.com/VyC6zgkqid	#Libertypic
This seems like a bad idea:http://thehill.com/homenews/administration/308198-petraeus-would-have-to-notify-probation-officer-if-named-secretary-of …	
My friend @ElaineChao is an excellent pick for Secretary of Transportation. I look forward to working with her on our infrastructure needs	
My friend and fellow physician @RepTomPrice is a great pick for Secretary of HHS. Let's repeal Obamacare & fix our broken healthcare system	
The lesson of history is that violence is inherent to socialism. To Castro's death, I say good riddance.http://www.sltrib.com/opinion/4640553-155/george-f-will-fidel-castro-and …	
Good to see school choice/reform advocate @BetsyDeVos nominated for Secretary of Education. Looking forward to working with her	
We have to learn from history, regime change hasn't worked. John Bolton is the wrong choice for America.http://www.politico.com/story/2016/11/john-bolton-iran-regime-change-231586 …	
Farewell, James Clapperhttp://www.politico.com/story/2013/12/rand-paul-james-clapper-national-security-agency-101306 …	
"I can't support anybody to be our secretary of state who didn't learn the lesson of the Iraq War,"http://reason.com/blog/2016/11/15/interview-with-rand-paul-i-cant-support …	
I hope that the Trump administration will decide John Bolton does not represent what Donald Trump represents, which is change.pic.twitter.com/HyWjQXpmct	
War is sometimes necessary but as a country we should resist any would-be leader who wants to bomb now & think laterhttp://rare.us/story/rand-paul-will-donald-trump-betray-voters-by-hiring-john-bolton/ …	
The national debt is a threat to our national security and prosperity. Time to cut the waste and the balanced budgethttps://www.youtube.com/watch?v=rkIuKxf-lHM&sns=em …	
“I think we’re going to spend the first month passing the repeal of Obama regulations.”http://rare.us/story/rand-paul-says-republicans-top-priority-will-be-to-repeal-obamacare/ …	
Today please remember our Veterans. We honor your service and remember your sacrifice, today and always.	
Congratulations to @RepThomasMassie and @justinamash on their victories. Happy to have my fellow freedom fighters in congress.pic.twitter.com/TomN14G7DH	
Congratulations, Kentucky. We did it. Republicans control the Kentucky House for the 1st time in nearly 100 yrs. http://www.kentucky.com/news/politics-government/article113464563.html …pic.twitter.com/uG9tID8vUV	
I'll be watching my TV today to see which of the Hollywood elite will board their private planes and leave America!	
Prediction: One of the first things we will do with President Trump is repeal job killing regulations.	
Congratulations to President Elect Donald Trump. I look forward to working with all those elected for limited, constitutional government	
Thank you all for your support!pic.twitter.com/A0V3OlCqzg	
Hey Kentucky! It's #electionday so find your polling location and get out there and vote: https://goo.gl/NoIff6 pic.twitter.com/l1zQgio60z	#electionday
LIVE on #Periscope: Defend Kentucky Tour - Hopkinsville, KYhttps://www.pscp.tv/w/au-qXzEyMTc0MTF8MVBsS1FrQW12TURKRULJiIR2XpiYXUiUPV6wtVce44NGfeF15WcAOpzC6jaL …	#Periscope
Another great event in Owensboro. I'm so grateful for the support. Thank you, Kentucky!pic.twitter.com/iP0o3gVRAd	
Kentucky, let's send a message #ElectionDay : take your big government and leave us the heck alone!pic.twitter.com/vocyQq7LCu	#ElectionDay
Kelley and I are on our last campaign tour of 2016! Join us today: http://randpaulforsenate.eventbrite.com pic.twitter.com/ywbJx6yeZ2	
Sometimes when you're the only one standing up for something, it's everyone else who is wrong.http://m.washingtontimes.com/news/2013/jul/29/sen-rand-paul-is-lone-dissenter-as-james-comey-con/ …	
We're days away from the election. Join me tomorrow in Kentucky!http://randpaul.com/events 	
Last stop of day 1 on the Defend Kentucky tour was filled with friends and familiar faces in London!pic.twitter.com/oiNHZGEl1J	
Thanks @ThomasMassieKY for joining me in Ashland on my Defend Kentucky tour!pic.twitter.com/CJsQCJTFi5	
Lots of great @KYGOP house candidates joined me at our rally in Pikeville today! #NewMajoritypic.twitter.com/yLb73gPM3X	#NewMajoritypic
Great to see friends and rally voters in Hazard this morning. On to Pikeville next!pic.twitter.com/oBnDtykqVK	
So glad my wife @KelleyAshbyPaul is with me today for day 1 of our Defend Kentucky tour! First stop Somerset, KY.pic.twitter.com/gPI4GbFOQy	
A great faith based discussion this morning!pic.twitter.com/uSEMIWr2ss	
It's a beautiful day in Bowling Green, KY! Enjoyed spending some time with local pastors!pic.twitter.com/u9krgvX8Oa	
Only a few days left before the election! Join me on the road in Kentucky:http://randpaul.com/events 	
"Well no one defends the Constitution better than Rand Paul. That was the message today from veterans gathered in Louisville." - @WDRBNewspic.twitter.com/SGbj8IssgS	
Great day on the road in KY. A great event with Vets and rallies with GOP candidates. Thanks for the song suggestions for the ride home!	
Guns N' Roses - Sweet Child O' Mine!	
What do we think of the Sound of Silence by Disturbed?	
It's an honor to have the support of these veterans. I'll always fight to support our veterans and keep my oath to defend the Constitution.pic.twitter.com/XdIxyxPNTY	
ICYMI: Last night my opponent confused principle with "wild ass philosophies." You can always count on me to defend my wild philosophies.pic.twitter.com/JBIOcrWiDc	
Thanks to @NRA for the support. I will always stand up for the 2nd Amendment and the entire Bill of Rights.https://twitter.com/nra/status/793532050661867521 …	
I hope you'll join me in the fight for liberty and vote Rand Paul for US Senate on November 8th.pic.twitter.com/0KRa1r55kF	
I'll always defend Kentucky and the ENTIRE Bill of Rights.pic.twitter.com/Sv4y7WEeJI	
I refuse to stand idly by while our hard earned tax dollars are spent overseas on countries who hate us.pic.twitter.com/Xg96aKOhio	
Voters in Bowling Green are ready for a balanced budget in Washington and a return to limited government!pic.twitter.com/n9tHuz9wWN	
On the road again! Met w/ students at Murray State & the Graves Co Economic Development Board & knocked doors w/ candidate Walker Thomas.pic.twitter.com/AIgcMH4umC	
I'm standing up for Kentucky so we can protect our jobs, downsize big government, and give our children a better future.pic.twitter.com/0McK4zoRCY	
I say we try freedom. Read more here: http://www.kentucky.com/opinion/op-ed/article109788167.html#storylink=cpy …pic.twitter.com/v70Mgd6koU	#storylink
I approach my job serving Kentucky in the Senate just as I do in medicine diagnose the problem & identify the cure.http://www.kentucky.com/opinion/op-ed/article109788167.html …	
I spent the day knocking doors in Northern Kentucky. It's been great speaking to Kentuckians at home.pic.twitter.com/invGedPx6d	
Stopped by site of new country boy brewing plant in Georgetown KY - talked about how cutting red tape helped them succeed and grow.pic.twitter.com/Jvn3fGPfn9	
I'm taking the night off to celebrate 26 years of marriage to my amazing wife @KelleyAshbyPaul. Happy Anniversary, Kelley. I love you pic.twitter.com/YvItRRbUqf	
I'm proud to announce Coal Miners for Rand. The War on coal is a war on Kentucky jobs.pic.twitter.com/v7O4WZcrEM	
Stopped by Wayne and Clinton Counties to meet with Kentuckians and I'm on my way Cumberland County. Over 120 town halls and counting!pic.twitter.com/p7wJKrMPrh	
Our Founding Fathers created checks and balances for a reason: power corrupts.https://vine.co/v/5wzJdYE35pu 	
Starting the morning at Williamsburg Independent School discussing the Constitution and my role as Senator, protecting our rights.pic.twitter.com/CEEHtdEG69	
I'm honored to have the support of Judge Stephens and the many folks here today in Columbia, and I'll continue working on their behalf.pic.twitter.com/V5NDyHQYmN	
Today I met w/ the NFIB, pastors, college students & now ending the day speaking to the future of the party, Young Republicans @ St Xavier.pic.twitter.com/9YgDIWaC05	
Happy to be at @universityofky to talk about defending the ENTIRE Bill of Rights.pic.twitter.com/R98vKFLVMS	
Thank you, Lexington! It's an honor to be your senator and spend my Sunday with all of you.pic.twitter.com/HiZyKXUpMB	
Had a great time at Knob Creek with some of our brave vets. We have a duty to uphold the Constitution they fought for.pic.twitter.com/uJ3wMHD4ET	
Beautiful day on The Paducah Riverfront! Happy to be here with such great conservatives.pic.twitter.com/sR8pQ9jw4u – at The Paducah Riverfront	
I'm honored to be able to give back to the community and incredibly happy for the Huffman family.pic.twitter.com/D4E59QMNZK	
I believe we are our brother's keeper. It's a privilege to give back to the community.pic.twitter.com/099Y7HkiJD	
1st surgery finished. Carl was almost blind & couldn't afford surgery. He's excited he won't step on his "fur babies" anymore. Great day.pic.twitter.com/I9oIUtklP1	
We have to stop the war on coal and the war on family farms. There's no balance between health/safety & jobs/economy. #NationalFarmersDaypic.twitter.com/74dQ2AWlAM	#NationalFarmersDaypic
Glad to speak with Pastors in Henderson today. I'll always fight for religious liberty and protect our God-given rights.pic.twitter.com/OMk9T16m0n	
Not only will I name the enemy, I will do everything I can do defend America from these haters of mankind.pic.twitter.com/b9U4PR3ZGB	
Had to have dinner at Mister B's in Henderson tonight. My staff had fried cookie dough and fried Oreos. Highly recommend.pic.twitter.com/FdfRfiWel4	
Great stop in Ohio County. Happy to see such great support and talk about your concerns here. Thank you.pic.twitter.com/67K8LAmxws	
Great start to the day meeting with Kentuckians in Elizabethtown, Leitchfield, and then on to Ohio and Daviess Counties!pic.twitter.com/r4HaB9offZ	
Join me in the fight: http://randpaul.com/volunteer pic.twitter.com/ZiwohZB0Pe	
Join me this Sunday in Lexington!https://cards.twitter.com/cards/3l4ipl/24wjy …	
"The needs of Kentuckians is a concern for Senator Rand Paul. And he brought his concerns straight to the people..." http://www.sentinel-echo.com/news/paul-discusses-business-during-london-stop/article_ca642620-8cca-11e6-b1eb-efc878af0802.html …	
Join me in Paducah! Sign up here: http://bit.ly/2droFt3 pic.twitter.com/sjAu5MdXFB	
Pray for #AsiaBibi. Pakistan must STOP the persecution of Christians and religious minorities.http://www.telegraph.co.uk/news/2016/10/07/final-appeal-set-for-pakistani-christian-woman-facing-execution/ …	#AsiaBibi
If you missed last night's barnburner you can still make it to the next one! Join me in Lexington.https://www.eventbrite.com/e/rand-pauls-lexington-barnburner-tickets-27182478525 …	
Thank you for an amazing event tonight, Bowling Green! It's an honor that 500 ppl spent their Sunday night with me to support my reelection.pic.twitter.com/vCUGVcReBU	
"He was calling me about legislation in the state house which showed me his attention to detail." - Kentucky State Senator Mike Wilsonpic.twitter.com/5bbSpxba7e	
Kicking off our 2nd Barnburner in Bowling Green, KY! Great crowd. Thanks to my interns, volunteers, and staff for your hard work.pic.twitter.com/K37wCAy2Ci	
Join me in Bowling Green, KY tomorrow!https://www.eventbrite.com/e/rand-pauls-bowling-green-barnburner-tickets-27059421458 …	
