Happy Birthday, @CoachBillSnyder! Let's go @KStateFB, beat Texas! #EMAWpic.twitter.com/uitXDW2vhy	#EMAWpic
ICYMI: NEWS RELEASE: Chairman Roberts: @USDA Extends Emergency CRP Grazing for Fire Stricken Ranchers https://www.agriculture.senate.gov/newsroom/rep/press/release/chairman-roberts-usda-extends-emergency-crp-grazing-for-fire-stricken-ranchers …	
Judge Gorsuch is an extremely well-qualified nominee with the right judicial temperament and the right view of the role of #SCOTUS.pic.twitter.com/EaOlTa7EoY	#SCOTUS
Great to be in Manhattan for the dedication of Wefald Hall. @KState @CoachBillSnyderpic.twitter.com/AOu1KtfJq3	
Another tasty treat comes to Topeka! @twix to be made at @MarsGlobal plant creating jobs & boosting the economy. http://cjonline.com/news/business/2017-03-30/mars-expands-make-twix-topeka-adding-60-full-time-jobs …pic.twitter.com/j6h5bqiQjZ	
Beautifully written article about Kansan Michael Sharp & his work in the Congo for peace. My prayers to his family. http://www.npr.org/sections/goatsandsoda/2017/03/29/521962848/remembering-michael-sharp-he-risked-his-life-to-make-peace?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170330 …pic.twitter.com/z7sGapmXk9	
I’m pleased our Committee has made swift strides to move Gov. Perdue’s #AgSec nomination closer to the finish line. https://www.agriculture.senate.gov/newsroom/rep/press/release/senate-agriculture-committee-swiftly-advances-usda-secretary-nominee-perdue …	#AgSec
I am grateful for the KS Livestock Association's work to help producers affected by wildfires. Thx for updating me on recovery #DCBeefMeetpic.twitter.com/Ls367faLSg	#DCBeefMeetpic
Pleased to meet Grace Zongker, Gatlin Clawson & Seth Yenni of @Kansas4H participating in the @n4hconf The future of Kansas ag. is bright!pic.twitter.com/nQhjwYIUrq	
Judge Gorsuch has an outstanding record, understands the role of the judicial branch & is highly respected across the political spectrum.pic.twitter.com/p20PTUsphJ	
Great to join @KraftHeinzCo to pack thousands of meals for Rise Against Hunger.pic.twitter.com/VqmXO8dGKt	
ICYMI: from @politico, "Perdue had a long wait for a short confirmation hearing — and nailed it" on #AgSec hearing.http://www.politico.com/story/2017/03/sonny-perdue-agriculture-confirmation-hearing-236431 …	#AgSec
I deeply regret my comments on a very important topic. Mammograms are essential to women's health & I never intended to indicate otherwise.	
My prayers are with those lost & injured in the London attack. It is a reminder for us to remain vigilant and thank those who keep us safe.	
ICYMI: "Eisenhower Memorial Could Break Ground as Early as Sept" from @stephanieakin in @rollcall on @IStillLikeIke.http://www.rollcall.com/news/politics/dwight-d-eisenhower-memorial …	
Speaking this morning at @GOPHELP hearing on the nomination of Alex Acosta to be Secretary of @USDOL. Watch live: https://www.help.senate.gov/hearings/nomination-of-alex-acosta-to-serve-as-secretary-of-labor …	
Judge Gorsuch has received support from across the political spectrum & he deserves the Senate’s full support. #SCOTUS	#SCOTUS
Judge Gorsuch is a judge who follows the law, applying the text of the Constitution and statutes impartially. #ConfirmGorsuch	#ConfirmGorsuch
Happy #NationalAgDay!https://twitter.com/SenateAgGOP/status/844218633614217217 …	#NationalAgDay
I am pleased USDA has acted swiftly to aid producers recovering from the largest wildfire in Kansas state history. https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=1A837548-E648-48F5-AD11-4A08DEAB8EFC …	
NEWS RELEASE: USDA Targets $6 Million to Farmers and Ranchers Devastated by Wildfire https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=1A837548-E648-48F5-AD11-4A08DEAB8EFC …	
. @KUHoops heading to the Sweet 16. Rock Chalk! #kubball #marchmadnesshttps://twitter.com/kuhoops/status/843605122894635009 …	#kubball #marchmadnesshttps
If you need help with wildfire recovery, @KansasDeptofAg has a good list of resources & links to how you can help: http://www.agriculture.ks.gov/news-events/kansas-wildfire-recovery-resources …pic.twitter.com/epl8g9qPzA	
from @roger_dcglobe, "Roberts puts fires in spotlight" on my recent floor speech on the #kswildfires http://www.dodgeglobe.com/news/20170315/roberts-puts-fires-in-spotlight …pic.twitter.com/H80HKB6qd0	#kswildfires
Very pleased my bill with @McCaskillOffice to address the threats of agro-terrorism passed out of committee today. http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=3A5A9B0C-6202-4BAE-A79B-7938E99DC6C1 …	
Saddened to learn of the death of my friend & friend to all of #agriculture, my Chairman, Rep. Kika de la Garza (D-TX) Prayers to his familypic.twitter.com/HNpbavZH2m	#agriculture
Thank you @kylenescott & Bo Rader for your moving photos I shared on the Senate floor of the devastation from the #kswildfires.pic.twitter.com/zz3zuWu7uJ	#kswildfires
ICYMI: I spoke on the Senate floor on the unimaginable, heart-wrenching damage from #kswildfires. Watch here:https://www.youtube.com/watch?v=E-Vj85rsQRc&feature=youtu.be …	#kswildfires
We had fires in 21 of our KS counties, roughly 1/5 of our state, burning more than 700,000 acres – the largest wildfire in Kansas history.	
. @emily_dcglobe reports on our stops surveying the damage in Clark County from the #kswildfires http://www.dodgeglobe.com/news/20170311/senator-visits-affected-areas … @dcglobe	#kswildfires
Way to go @kstatesports, @KUHoops, @GoShockers!pic.twitter.com/sF5bk65U1V	
I saw firsthand unprecedented amount of destruction Kansans have suffered, especially farmers & ranchers in Clark Co http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=90196D76-4745-4353-B1FF-8DA64AB43112&ContentType_id=AE7A6475-A01F-4DA5-AA94-0A98973DE620&Group_id=d8ddb455-1e23-48dd-addd-949f9b6a4c1f …	
The Kansas spirit as embodied by our motto, To the Stars through Difficulty, Ad astra per aspera, is amazing. http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=90196D76-4745-4353-B1FF-8DA64AB43112&ContentType_id=AE7A6475-A01F-4DA5-AA94-0A98973DE620&Group_id=d8ddb455-1e23-48dd-addd-949f9b6a4c1f …	
It tears at your heartstrings to see the unprecedented amount of destruction Kansans have suffered. #kswildfires http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=90196D76-4745-4353-B1FF-8DA64AB43112&ContentType_id=AE7A6475-A01F-4DA5-AA94-0A98973DE620&Group_id=d8ddb455-1e23-48dd-addd-949f9b6a4c1f …pic.twitter.com/I4FQfbJqIs	#kswildfires
Thank you @kylenescott of the @HighPlainsJrnl for joining us today. She shared her loss in the #kswildfires this wk: http://www.hpj.com/scott/blog/worst-day-of-my-life/article_bca4d6e8-038e-11e7-9d6f-17d0fa212a00.html …pic.twitter.com/Ajdz7pOcfc	#kswildfires
. @RoyWenzl @kansasdotcom reports on our stops in southwest Kansas to visit areas damaged by the wildifres:http://www.kansas.com/news/state/article137737768.html?utm_source=dlvr.it&utm_medium=twitter …	
. @jiminhofe, on my way to Clark County Kansas to assess wildfire damage. I am sorry our Oklahoma neighbors are suffering losses too.https://twitter.com/DanSnyderKOKH/status/840234352399265797 …	
Heading to Kansas to see the wildfire damage in person & see what we can do to help. My thoughts & prayers continue to be w/ those affected.pic.twitter.com/FAXX4mWPZ9	
NEWS RELEASE: Senate Overturns Obama-era Education Regulation that Undermined Local Control of Schools http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=C5621AF8-BA08-405D-9985-456092F9A73C …	
. @KUNews, @KSIndColleges applaud Senate passage of resolution to overturn costly, unworkable Obama regulations: http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=8A2E8849-3633-4471-90F0-A68375B66059 …	
Appreciated meeting w/ @VP Pence & @SecPriceMD to talk about Kansas wildfires, #trade, #healthcare & many more issues important to Kansans.pic.twitter.com/wsZa7y2mu2	#trade #healthcare
Enjoyed meet with Tel Wittmer of Holton & John Campbell of Shawnee, student leaders representing Kansas in the @SenateYouth program. #USSYPpic.twitter.com/XXWjIYpy5c	#USSYPpic
A brave and honest account by @kylenescott of the @HighPlainsJrnl of the devastating cost of Kansas' prairie fires: http://www.hpj.com/scott/blog/worst-day-of-my-life/article_bca4d6e8-038e-11e7-9d6f-17d0fa212a00.html …pic.twitter.com/0a14HvQwXH	
My thoughts and prayers are with those affected by severe storms last night. Oak Grove was especially hard hit. Please stay alert.	
Had a great discussion w/ @kulawschool students interning in DC including Karina Kiewel, working for me on the @SenateAgGOP Jayhawk leaders!pic.twitter.com/IIXyvXTbFD	
Joined @clairecmc to introduce Senate legislation that addresses the threat of agro-terrorism & ensures food safety. http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=99B9B2F5-DDA8-4587-A308-7F3983C2B8A4 …	
Celebrating a Kansas hero, Amelia Earhart, for #womenshistorymonthpic.twitter.com/aOJ6ORUyiV	#womenshistorymonthpic
Happy Founders Day!https://twitter.com/PiKappaAlpha/status/836954203813634048 …	
NEWS RELEASE: My full statement on the President's #JointAddress before the Congress: http://bit.ly/2m5WYNn pic.twitter.com/LmUWctfQBq	#JointAddress
I gave my thoughts on @POTUS' #JointAddress tonight. Watch here:pic.twitter.com/zPgBZRGWdJ	#JointAddress
My statement on @realDonaldTrump's #JointAddress: http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=BA687459-C055-498C-8372-6395BA86B404 …	#JointAddress
. @potus is taking our country in a new direction, united, toward a better economy, stronger military and a healthcare system that works.	
. @POTUS led w/unity against 'evil in all its ugly forms.' I am proud this unity against violence & ignorance is already on display in KS	
In 1st words of his #joint address, @POTUS condemned 'hate and evil' of senseless shootings and murder in Olathe.	#joint
Glad to join @realDonaldTrump to repeal #WOTUShttps://twitter.com/nbcnews/status/836663659615006721 …	#WOTUShttps
Congratulations to SPC Susan Tanui of @FortRiley's @FightingFirst who was named 2016 @USArmy Soldier Athlete of the Year!pic.twitter.com/A75bDvs4Ry	
It was an honor to meet WWII veteran Mr. Lee Riege in Wichita. He shared stories of his service, and we discussed our Methodist faith.pic.twitter.com/TNXnObMfO1	
My stmnt on senseless violence rooted in ignorance & prejudice at Austins Bar & Grill in Olathe, Kan. My prayers to the victims & families.pic.twitter.com/RWBnHk1TmL	
I am thankful President @realDonaldTrump has approved fed. disaster assistance for KS counties hard hit by a severe winter storm Jan.13-16	
ICYMI: NEWS RELEASE: Roberts Listens to Kansas Producers at Manhattan #FarmBill18 Hearing http://www.agriculture.senate.gov/newsroom/rep/press/release/chairman-roberts-listens-to-kansas-producers-at-manhattan-hearing-on-farm-bill …pic.twitter.com/3yqmTmyoWt	#FarmBill18
WATCH LIVE: Kicking off today's Senate Ag Committee #FarmBill hearing in Manhattan. https://www.facebook.com/senateagGOP/videos/480983512025363/ …	#FarmBill
Great to be here at @KState in Manhattan to kick off today's #FarmBill hearing with @SenStabenow.pic.twitter.com/wJQMZQ9HuI	#FarmBill
I had privilege of being intrvwd by @AlanColmes @FoxNews many times. He was tough but fair -a fine journalist. Prayers to his wife & family.	
I was glad to meet w/Kansans exercising their First Amendment rights today in Wichita. I always want to hear thoughts & concerns of Kansans.pic.twitter.com/JbtSsDtIgR	
Thanks for having me! It was a great visit.https://twitter.com/GCCCBroncbuster/status/834148882670039040 …	
Happy Presidents' Day!pic.twitter.com/p92rgxseEX	
Heart-warming story about Murl Corbet who has volunteered to feed the hungry for the last 30 years in Yates Center.http://kansaspublicradio.org/kpr-news/kansas-honors-30-year-volunteer-ww-ii-vet-yates-center …	
Proud the Senate unanimously confirmed Dr. Shulkin to lead the VA & work for reforms to put veterans first & deliver the care they've earned	
Praying for a swift & full recovery for my good friend @CoachBillSnyder. You can beat this like so many other opponents. #SnyderStrong #EMAWpic.twitter.com/hsArKZtykQ	#SnyderStrong #EMAWpic
Pleased the Senate confirmed @RepTomPrice to be HHS Secretary. He will play a critical role in putting our health care system back on track.pic.twitter.com/IPiQUQahsC	
Congrats @SenOrrinHatch on this historic milestone! Very grateful for your advice & counsel throughout the years. http://www.cnn.com/2017/02/09/politics/orrin-hatch-senate-honor/ …pic.twitter.com/4OAdpPAAmg	
Congrats to @SenatorSessions on his confirmation as AG. His experience & deference for the rule of law will serve the American ppl well.	
Great to visit with @kstate Pres. Gen. Richard Myers today to catch up on the latest at KSU. Look forward to being there later this month.pic.twitter.com/0ULuYMcODi	
Happy Birthday to our country's 40th President, Ronald Reagan!pic.twitter.com/EP544Iwk1R	
Inspirational story abt Wichita's Ryan Schraeder, starting right tackle for @AtlantaFalcons. You make Kansas proud!http://www.kansas.com/sports/nfl/article130850489.html …	
Proud 4 of my staff received Nat. Assc. of Wheat Growers “Friend of Wheat” award: Will Stafford, Janae Brady,James Glueck & Wayne Stoskopfpic.twitter.com/MIk0VBIxF3	
Thank you National Association of Wheat Growers. It is an honor to be named the ‘Wheat Leader of the Year’.pic.twitter.com/RYREvsrijE	
Glad to vote to confirm Rex Tillerson as our next Secretary of the @StateDept. Passed the Senate with bipartisan support.	
Proud to vote to report nominees Steven Mnuchin & @RepTomPrice out of @GOPSenFinance. I hope for a swift confirmation before the full Senate	
I believe that is exactly the type of justice we need. I look forward to meeting Judge Gorsuch and hope for a swift confirmation.pic.twitter.com/eavpXMzBnI	
. @POTUS has selected a person who he believes will carry on in the tradition of Justice Scalia & uphold the values of the Constitution.	
The American people voted in November knowing the responsibility of the next president to fill the Supreme Court vacancy.	
My full statement on Judge Neil Gorsuch's nomination to #SCOTUS:pic.twitter.com/8ElFj1tLMy	#SCOTUS
I enjoyed meeting with @KASBTopeka today to discuss returning education decisions to the local level through #ESSA & my support for IDEA.pic.twitter.com/bmbpT1AGYP	#ESSA
Democrats should show up to the Finance Committee and vote up or down on Price and Mnuchin. Enough with the juvenile stunts. @GOPSenFinance	
I always appreciate hearing the thoughts & concerns of Kansans. The phones are busy & you can also reach me here: https://www.facebook.com/SenPatRoberts/posts/1391238834254511 …pic.twitter.com/YUacwNF9Fj	
NEWS RELEASE: Roberts Statement on President Trump’s Executive Order on Immigration http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=C20BCAB5-84EB-49F1-AC2A-DAA2B7940A0A …	
Happy Birthday, Kansas! #KansasDaypic.twitter.com/2B5GTcn0AY	#KansasDaypic
Great to see so many Kansans in Washington marching for life! #MarchforLife2017pic.twitter.com/xU2xz9Yrz4	#MarchforLife2017pic
I'm especially pleased to welcome @FrankLuntz to the Eisenhower Memorial Commision Advisory Cmte! @IStillLikeIke http://www.eisenhowermemorial.org/sites/default/files/public/press/Frank%20Luntz%20Joins%20Eisenhower%20Memorial%20Advisory%20Committee_FINAL.pdf …	
Speaking with Kansans about fixing the problems w/ #Obamacare. The lines are busy, but I always appreciate hearing your thoughts & concerns.pic.twitter.com/tY9Pvao1PC	#Obamacare
#Obamacare is not working. The prices are unaffordable & markets nearly nonexistent - with few to no options in several state and counties.	#Obamacare
Proud the Senate confirmed Mike Pompeo as Director of the @CIA. Read my full statement here: http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=65D0A12B-8FE4-48F9-9BF6-3EE9670F90B8 …pic.twitter.com/aIS3o6hgYW	
.@RepMikePompeo will be a strong leader who will guide the mission of our intel gathering services & ensure the safety of the Americans ppl.	
Congrats to fellow Kansan & new @FCC Chairman @AjitPaiFCC. I Iook forward to working w/Chairman Pai on improving rural access to broadband.pic.twitter.com/25QRcWOdB7	
Sad to hear news of death of @Royals pitcher Jordano Ventura. A young ace gone too soon. Will miss watching him play. #RIPVentura #RipAcepic.twitter.com/qlm17Oo1KX	#RIPVentura #RipAcepic
Our country is in better hands with fellow Marines Mattis at @DeptofDefense & Kelly at @DHSgov. Read my stmt here: http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=935D001E-FCE2-43FA-96A0-923E8C7FCBBE&ContentType_id=AE7A6475-A01F-4DA5-AA94-0A98973DE620&Group_id=d8ddb455-1e23-48dd-addd-949f9b6a4c1f …	
Proud to vote and confirm Gen. Kelly as Secretary of @DHSgov and Gen. Mattis as Secretary @DeptofDefense. http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=935D001E-FCE2-43FA-96A0-923E8C7FCBBE&ContentType_id=AE7A6475-A01F-4DA5-AA94-0A98973DE620&Group_id=d8ddb455-1e23-48dd-addd-949f9b6a4c1f …pic.twitter.com/NUi1DLmFOU	
Thankful for the police and armed forces coming together in Washington to keep everyone safe during the #Inauguration .pic.twitter.com/9qhuKWoEtO	#Inauguration
Congratulations President Trump and Vice President Pence! http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=9AB9560E-2381-4D11-96D8-13DBFC2BB3F2&ContentType_id=AE7A6475-A01F-4DA5-AA94-0A98973DE620&Group_id=d8ddb455-1e23-48dd-addd-949f9b6a4c1f …	
As I've said, not on my watch.https://twitter.com/thehill/status/822173551474118657 …	
#TBT to when President Eisenhower gave his #Inauguration speech on Jan 20, 1953. @istillikeike https://www.youtube.com/watch?v=SwenOlpbvTA …pic.twitter.com/BoLS32NhLO	#TBT #Inauguration
I sat down today with USDA Secretary nominee, Governor Sonny Perdue. We had a good talk about Farm Bill and the farm economy.pic.twitter.com/wUNkixNTY8	
Speaking soon at @GOPSenFinance hearing on the nomination of Steven Mnuchin to be Treasury Sec. Watch live here: https://www.finance.senate.gov/hearings/hearing-to-consider-the-anticipated-nomination-of-steven-terner-mnuchin-to-be-secretary-of-the-treasury …	
BREAKING: Read my statement on the nomination of former Gov. Sonny Perdue to be Agriculture Secretary http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=C2AD3AA8-8749-485C-98B5-3A7A9F93872F …	
Spoke with @RepTomPrice about transitioning away from #Obamacare & more effective nutrition programs during his @GOPHELP hearing. Watch herepic.twitter.com/l3G7nMH75u	#Obamacare
NEWS RELEASE: @BetsyDeVos' Leadership Will Improve Education, Free from Federal Interference http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=DA6AA65E-D0F4-4DF0-A1EB-67E19DC770A3 …	
SPEAKING NOW w/ @BetsyDeVos on #highered & returning education decisions back to the local level at @GOPHELP hearing http://www.help.senate.gov/hearings/nomination-of-betsy-devos-to-serve-as-secretary-of-education …	#highered
Honored to meet w/ members of @FortRiley's CG's Mounted Color Guard who are participating in the inaugural parade. Don't miss them Friday!pic.twitter.com/L7ERYPgybd	
A special thank you to Nick Brandau from Topeka who was awarded a Silver Star for his heroic actions in Afghanistan:http://cjonline.com/news/local/2017-01-16/former-topeka-resident-washburn-rural-grad-receives-silver-star-award-valor …	
Today, we honor the life and legacy of Dr. Martin Luther King, Jr. May we all be inspired by his commitment to equality & peaceful change.pic.twitter.com/ENhvCw7tUD	
NEWS RELEASE: Pompeo Has Experience, Knowledge & Judgement to Lead Central Intelligence Agency http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=8B4A555D-3C0D-4831-BAE4-A47A93824739 …	
.@RepMikePompeo has the experience, the knowledge, the judgment, and the skills necessary to lead @CIA.	
As former Chairman of Senate Intel, I’m proud to introduce my friend & Kansas colleague @RepMikePompeo to be the next Director of the CIA.pic.twitter.com/WfS1tAVvZZ	
No worries, just a little power outage in the hearing room. Should be back live shortly for Pompeo's hearing.pic.twitter.com/kCBMg6Tvi8	
I'm honored to join @SenatorDole to introduce @RepMikePompeo for his CIA Director confirmation hearing. TUNE IN NOW: https://www.intelligence.senate.gov/hearings/open-hearing-nomination-mike-pompeo-be-director-central-intelligence-agency-cia …pic.twitter.com/TLMYTy9zRM	
Marshall will be key to the consideration of the Farm Bill. I'm glad to have him in the House riding shotgun for Kansas’ farmers & ranchers.	
I'm pleased to have a Kansan on the House Ag Cmte representing the Big First, one of the nation’s largest #agriculture producing districts.pic.twitter.com/kJ9bAX3V8C	#agriculture
NEWS RELEASE: Rep. Roger Marshall Key Addition to House Agriculture Committee @HouseAgNews http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=018CE44E-3714-4C60-A958-5AFDEB5ECADD …	
Kansans can be proud @RepMikePompeo has been named to lead @CIA. There are few positions in gov't w/ greater importance than CIA Director.	
.@SenatorSessions has a proven record & legal career and a life dedicated to public service. He will serve the American people well as AG.	
.@SenatorSessions is a friend of 18 yrs. His experience & deference for the rule of law make him a great selection for AG. #SessionsHearing	#SessionsHearing
The burdensome, costly regs from the Obama Administration hurt jobs, stifle growth & make life more difficult on hard-working Americans.	
Thank you to all of the brave men and women who keep our communities safe and secure every day. #LawEnforcementAppreciationDaypic.twitter.com/xnuznX4oki	#LawEnforcementAppreciationDaypic
NEWS RELEASE: Roberts Joins @SenJoniErnst @ChuckGrassley @SenatorFischer @SenSasse to Reintroduce Sarah's Law http://bit.ly/2hZqcYw 	
I am humbled to be chosen to lead @SenateAgGOP as we head into the #115thCongress. http://www.agriculture.senate.gov/newsroom/rep/press/release/roberts-again-tapped-to-lead-agriculture-committee-republican-membership-announced …pic.twitter.com/hkS9rL7WTt	#115thCongress
I'm honored to again serve as @SenateAgGOP Chair & serve on @GOPSenFinance, @GOPHELP, & Senate Rules & Ethics Cmtes. http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=4CFB1E0F-F179-47FD-A88B-BE832709CFFF …	
#Obamacare has not lived up to its promises. The cost of care for Kansans is still rising while access to quality care is diminishing.	#Obamacare
Thank you! Looking forward to continuing to work together. #115thCongresshttps://twitter.com/farmcredit/status/816713241141379072 …	#115thCongresshttps
Congratulations to the 40 outstanding Kansas students I nominated to our U.S. service academies! http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=2906FDF4-4791-472F-8640-CC2E83B94241&ContentType_id=AE7A6475-A01F-4DA5-AA94-0A98973DE620&Group_id=d8ddb455-1e23-48dd-addd-949f9b6a4c1f …pic.twitter.com/WL8GAI3sH9	
Was pleased to welcome and congratulate Big First Congressman Roger Marshall M.D.! The Kansas delegation is ready to get to work!pic.twitter.com/ibtHO3pIKh	
Proud to congratulate @JerryMoran on being sworn in for a second term in the Senate!pic.twitter.com/HYZMOIAKDy	
Happy New Year! Wishing you a blessed new year.pic.twitter.com/KAP2pY8cS2	
Congrats to the CG’s Mounted Color Guard out of Ft. Riley on being selected to participate in the inaugural parade! https://www.58pic2017.org/press-releases/presidential-inaugural-committee-announces-inaugural-parade-participant-lin …	
WWII Marine veteran and Kansan John O'Leary recently celebrated his 100th Birthday in Olathe. Happy Birthday and Semper Fi!https://twitter.com/USMC/status/814274749559762944 …	
Franki and I wish you and your family, a very Merry Christmas!pic.twitter.com/rWeaArKuLw	
The president's decision to abstain from today's UN vote was an abandonment of Israel & a damage to our relationship with a trusted ally.	
Merry Christmas and Happy Holidays to our men and women in uniform! Thank you for your service.pic.twitter.com/Wkvmq5IwlD	
A special holiday greeting to our troops. Thank you for your service and we wish you a happy and peaceful holiday season.pic.twitter.com/RSF7iwUqWt	
As former Chairman, the Senate Intel Cmte is the appropriate place to conduct a bipartisan, comprehensive investigation into Russian hacking	
Had a good meeting w/ Treas. Nominee Steven Mnuchin about tax reform, preventing politics at the IRS & importance of international tradepic.twitter.com/9D7a399K3R	
John Glenn was an American hero - veteran, senator & astronaut. I'm honored to have known him in the Senate. My prayers are with his family.pic.twitter.com/PoXQFqd1yh	
Congress has been clear & consistent. Again confirming it is against the law to transfer #GITMO detainees to the US. http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=20E12C8C-BFFC-4975-8D94-1FB30695A3BF …	#GITMO
NEWS RELEASE: Senate passes major medical innovation bill 94-5, bill now heads to president's desk. http://bit.ly/2gVcb1d  #CuresNow	#CuresNow
Just voted for 21st Century Cures to improve the health and lives of all Americans. #CuresNow	#CuresNow
We remember & honor those who fought & those lost in the attack that changed our nation forever 75 yrs ago today. #PearlHarborRemembranceDaypic.twitter.com/Yps2ydXS9o	#PearlHarborRemembranceDaypic
#CuresNow is a victory for every patient.pic.twitter.com/q1Ib3i7Z0V	#CuresNow
I appreciated the opportunity to meet with @BetsyDeVos and speak with her firsthand about education challenges in the U.S.pic.twitter.com/RVUPg3QXDj	
ICYMI: Watch my floor speech on why the Senate must pass #CuresNow to improve medical treatments & cures for nearly every patient.pic.twitter.com/Bd2tYo5BOr	#CuresNow
I urge my colleagues to advance research, advance the development treatments & help all patients by supporting 21st Century Cures. #CuresNow	#CuresNow
The 21st Century Cures Act is a true bipartisan victory for every patient and our health care system. #CuresNow	#CuresNow
Headed to the Senate floor to speak on why we must pass 21st Century Cures. #CuresNow Watch live here: http://floor.senate.gov/MediaPlayer.php?view_id=2&event_id=1142 …	#CuresNow
NEWS RELEASE: Senate unanimously votes to extend sanctions, hold #Iran accountable http://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=DDD262E7-CDEF-4B64-9E92-125D8487264C …	#Iran
Just voted to extend sanctions against #Iran to make clear that Iran’s aggression toward the U.S. & our allies will not be tolerated.	#Iran
Today is #GivingTuesday. During this holiday season, here are some ways you can help those in need around you. https://www.givingtuesday.org/whats-happening-near-me …	#GivingTuesday
Today is #SmallBusinessSaturday! As you do your holiday shopping, #Shopsmall to support local businesses and retailers.pic.twitter.com/6pBkjVMcs6	#SmallBusinessSaturday #Shopsmall
Franki and I wish you and your family a very happy Thanksgiving!pic.twitter.com/8t7Tp50Zfn	
The court's decision to block the #OvertimeRule is good news for job creators and hard working Americans.http://www.bizjournals.com/kansascity/news/2016/11/22/judge-blocks-overtime-rule.html …	#OvertimeRule
Congrats to my friend, and fellow @istilllikeike board member, @tomhanks on winning the #MedalofFreedom!pic.twitter.com/AbE8NI6v2M	#MedalofFreedom
For those in the Neodesha area: please follow the directions of our brave 1st responders. I pray for those injured & for everyone's safety.https://twitter.com/cwillistv/status/801083477433217026 …	
Talking about @RepMikePompeo's selection to be CIA Director with Peter Zampa. TUNE IN to @wibw & @KWCH12 tonight!pic.twitter.com/WUqeSCwnxU	
NEWS RELEASE: Senator Roberts Applauds Selection of @RepMikePompeo to be Director of Central Intelligence http://bit.ly/2f7x4l4 	
Since @RepMikePompeo began his service on the @HouseIntelComm, intelligence issues have become his passion. He is a good and wise selection.	
Kansans can be proud @RepMikePompeo will lead @CIA & be in a position to protect our nat'l security at a time of increasing global threats.	
. @SenDanSullivan Great day to wear our @USMC ties celebrating the Marines' 241st Birthday. Who wore it better, @SenJoniErnst? #SemperFipic.twitter.com/xQuMf3FIBL	#SemperFipic
It was great to meet with the @opchamber today to discuss regs, business issues, health care, and more. Thanks for coming in!pic.twitter.com/jOhstrN2Br	
Proud to join @SenFranken, @SenJohnBarrasso & @SenatorHeitkamp in introducing a bill to improve rural health care. http://bit.ly/2fJ3O5R 	
Today is National #RuralHealth Day. I'm proud to introduce legislation to strengthen our rural health care system: http://bit.ly/2fJ3O5R pic.twitter.com/upVWjfiD5j	#RuralHealth
It was a pleasure to join @USMC Commandant @GenRobertNeller today to celebrate the Marine Corps' 241st Birthday! #SemperFipic.twitter.com/hlHtJYmFPW	#SemperFipic
Are you or do you know someone interested in a spring internship in Washington, DC? My office is hiring! Apply today http://www.roberts.senate.gov/public/index.cfm?p=Internships …pic.twitter.com/yco9oC3X3I	
I look forward to working w Gen. Myers on ways we can continue to enhance educational opportunities for @KState students now & in the futurepic.twitter.com/Rt578OZHV6	
Congratulations, Mr. Speaker! @SpeakerRyan	
NEWS RELEASE: Senator Roberts Congratulates New @KState President General Richard Myers http://bit.ly/2f1gMxE 	
Congratulations to the 14th President of Kansas State University, Gen. Richard Myers! I cannot think of a better leader for @KState.pic.twitter.com/knFAXoCyVP	
Congratulations to the new @KState President and my good friend General Richard Myers. K-State is proud to have you.pic.twitter.com/kovMbmdZ2z	
On this #VeteransDay, we remember all who have served our nation and protected our freedoms. #SemperFipic.twitter.com/OrYwBmKk0J	#VeteransDay #SemperFipic
Happy 241st Birthday to the @USMC! So proud to be a Marine. #SemperFipic.twitter.com/eIaDAFd8hL	#SemperFipic
