#TaxReform is the key to economic growth and vibrancy for future generations.pic.twitter.com/Ut0Me5saew	#TaxReform
I’m so glad @POTUS just signed our bipartisan bill into law!	
Good to be home today to participate in @WVNationalGuard's ribbon cutting for the new entrance to the Joint Forces Headquarters.pic.twitter.com/hMYjwWgiSl	
I’m proud to support Nat’l #DrugCourtMonth & even prouder of all the #WV graduates on this tremendous accomplishment!	#DrugCourtMonth #WV
Thanks to the work of Mayor McCourt and many others, Baker's Island is back and ready for the Woodchopping Festival!pic.twitter.com/wiOr57Cn2O	
My staff attended the EcoCar Ride & Drive event @ENERGY today w/ @WVUEcoCAR3 Team. Good luck to @WestVirginiaU tonight in the competition!pic.twitter.com/ZfIy8al0B0	
As the daughter of a veteran, I always treasure the opportunity to personally thank our heroes for selfless service http://bit.ly/2qhEJE1 	
Welcomed a group of WV #veterans in town for the Always Free Honor Flight. Grateful for their service to our country.pic.twitter.com/lccm7Yb4zG	#veterans
ICYMI: Chaired @EPWGOP hearing on air quality standards. Watch my opening statement here:https://www.youtube.com/watch?v=0FNxyDkc7cE …	
It is essential that we remain fully committed to fighting the drug epidemic. We need to be doing more—not less. http://bit.ly/2qL7mMg 	
Federal anti-drug programs play an important role in combatting the opioid epidemic. Eliminating them would be unacceptable.	
Thankful for the opportunity to stand w/ #veterans at the much anticipated Greenbrier CBOC opening today. Exciting day for our vets!pic.twitter.com/DnihEJILxg	#veterans
Honored some of #WV’s future leaders yesterday. Congrats to all students heading to a U.S. Service Academy this fall. We are so proud!pic.twitter.com/9ahR7bLTgl	#WV
Received an update last week on the great work happening at Toyota’s WV Plant located in Buffalopic.twitter.com/7iuxzXUI3B	
Honored to receive @OppFinance #CDFI Champ Award. Let’s keep working together to help create jobs and economic opportunity in #rural WV.pic.twitter.com/AdsDMEtIBs	#CDFI #rural
Always great hearing about WVians making a difference. Natalie Spaid stopped by this wk to discuss how her non-profit benefits #veterans.pic.twitter.com/eMx54TScEe	#veterans
Pausing to remember and honor fallen WV miner Luches Rossner. My thoughts go out to his family and friends during this difficult time.	
Had the opportunity to thank @AppServProject for their volunteer efforts in Greenbrier County following #wvflood.pic.twitter.com/TVLYIweqhj	#wvflood
Trying to rename the Huntington VA after West Virginia’s very own @WoodyWilliams45. Learn more: http://bit.ly/2qyBKtQ pic.twitter.com/P1qEr42X0W	
WVians rely on roads & bridges to access hard-to-reach places and transport goods across the nation. #TimetoBuildpic.twitter.com/5RTE9AUUXv	#TimetoBuildpic
I’m working to expand access to substance abuse treatment for Medicaid beneficiaries in WV & across America. MORE: http://bit.ly/2rsHAu4 	
Improving our #infrastructure can bring new jobs & opportunities to #WV. #TimeToBuild	#infrastructure #WV #TimeToBuild
Had a blast running in the @ACLINews #CapChallenge w/ my staff. Great showing by Team Capito!pic.twitter.com/lhN2OIrh5I	#CapChallenge
Great meeting w @NASCAR’s @KyleBusch to hear how he & @SamanthaBusch are helping couples through IVF & their work with children and familiespic.twitter.com/WC2WNPwwzN	
An ethane storage hub in Appalachia would be a vital #infrastructure project & enhance our energy potential. MORE: http://bit.ly/2pX6Jvy 	#infrastructure
During #PoliceWeek, we remember First Sgt. Joe Portaro who died during a fitness run at the WV Police Academy in 2016 after 17yrs of service	#PoliceWeek
Good conversation yesterday w/ former U.S. Attorney @IhlenfeldWV & David Grubb regarding substance abuse education & treatment resources.pic.twitter.com/0l6xJ6Zh4g	
Wishing my grandson Charlie a very happy birthday today! pic.twitter.com/uLfB91Ell5	
We need everyone working together to end the drug epidemic.https://www.youtube.com/watch?v=sus56SKFwec&feature=youtu.be …	
Wishing all the wonderful, hard-working mothers a Happy Mother’s Day today! #HappyMothersDay	#HappyMothersDay
. @wvstatejournal has the details on my new bill to utilize our #energy resources & improve #infrastructure: http://bit.ly/2qdCVwC 	#energy #infrastructure
Registered nurses make up more than 3M of health care professionals. Proud to support nurses by intro'ing the Nat’l Nurse Act. #NursesWeek	#NursesWeek
Met the team at Cenergy in Milton, WV & took a closer look at how this oil & gas service biz is helping grow WV’s economy.pic.twitter.com/gukmvGcLmq	
Sat down w/ the leadership team of @FiscalService located in WV’s own @ParkersburgCity. Thanks for visiting this wk!pic.twitter.com/yHd6fok5B5	
Securing permanent health care for miners was only half the battle, now we must work to secure pensions http://bit.ly/2q81vk3 	
I’ll be speaking w/ @HoppyKercheval on @WVMetroNews about my efforts to create a #drugfreeWV & more. Listen at 11:30 http://bit.ly/1m9vBc9 	#drugfreeWV
The #PurpleHeart recognizes & honors sacrifices of America’s war heroes. More on my efforts to protect these medals: http://bit.ly/2r2wE73 	#PurpleHeart
If funding cuts are proposed, I will lead a bipartisan group of my colleagues in the Senate to reject them.	
We cannot drastically cut important programs that are helping communities fight back.	
We are in the grips of an opioid epidemic that is claiming 91 lives/day.	
Miss my op-ed over the weekend? Read it here and find out why #broadband is the key to economic growth in #WV: http://bit.ly/2pgl377 	#broadband #WV
Belington-natives Heather & River Johnson were in D.C. last wk to urge members of Congress to #ThinkBabies. Great to meet you both!pic.twitter.com/w2Yyj51SCX	#ThinkBabies
High fives all around today during my West Virginia Girls Rise Up program at Geary Elementary School!pic.twitter.com/8seQwkYY5S	
Good visit last week w/ The WV Beer & Wine Association talking about federal tax and funding issues for distributors.pic.twitter.com/XfNjdPhvDd	
Updated the WV members of the Alliance for Childhood Cancer about the #STARAct & heard about their advocacy to help young cancer victims.	#STARAct
Many thanks to first responders and local law enforcement, fire fighters and others who have been working diligently throughout the morning.	
Took the anti-bullying pledge with Miss Northern West Virginia’s Outstanding Teen last week. Thanks for stopping by #WVWednesday!pic.twitter.com/GtcSCiwLxS	#WVWednesday
Was proud to vote for gov funding bill that provides critical resources to help WV in important ways. My statement: http://bit.ly/2qEAxyQ 	
#tbt to when my grandson Charlie came to work w/ me & we met Olympic gymnast & #DWTS contestant @SimoneBiles. What a day! [photo: @rollcall]pic.twitter.com/YwyVADHIQL	#tbt #DWTS
Today I introduced the #GOAct to help expand #broadband & better connect low-income, rural communities. Learn more: http://bit.ly/2oYIMs4 	#GOAct #broadband
With my help, we’ve reached an agreement on a permanent fix for miners’ health care. Details here: http://bit.ly/2pASkZz 	
So proud of @Webcohigh's Tyler Ray who represented WV in @PoetryOutLoud. Great to chat w/ him during #WVWednesday last wk. #WVPOL17 #POL17pic.twitter.com/kgCUtxrl4T	#WVWednesday #WVPOL17 #POL17pic
Lucky to have served w/ @RosLehtinen in Congress. She is an inspiration, a good friend & a true leader. You’ll be missed Ileana!	
It was a true honor to present WV veteran Thomas Taylor with war medals he lost during #wvflood. Thank you for your service.pic.twitter.com/cXWqH5WRvo	#wvflood
Thank you to my friend @BethVorhees for your 32 years of hard work & professionalism at @wvpublic. You will be missed!	
Glad the Senate confirmed Alex Acosta as @USDOL sec. Now let’s get to work creating jobs, opportunity & safe workplaces for all Americans.	
Had fun showing my grandson Charlie around the Senate today. Wish he could come to work with me every day!pic.twitter.com/yHMTtuEiHV	
Great news for WV that @WVGovernor signed #wvlegis #broadband bill into law. This is a resource we must have to create economic opportunity.	#wvlegis #broadband
Joined @MineWorkers retirees at the @uscapitol today to urge Congress to keep the healthcare promise made to these hardworking men & women.pic.twitter.com/c7sIcmPE89	
Was happy to join @WhiteHouse mtg on fighting country's opioid epidemic. Looking forward to working w/ @GovChristie on this critical effort.	
It’s critical that Congress pass a permanent health care extension for retirees like these @MineWorkers who worked hard to power Americapic.twitter.com/Una5TB3jMp	
Sat down w/ employees at Williamson Health & Wellness Center Monday to discuss healthcare and economic & community development in the area.pic.twitter.com/nAZu3KaM9Q	
Had the chance to meet with Mayor Nolletti & Logan city staff members while I was in town this week.pic.twitter.com/1gZdigatc2	
Thrilled to be in America’s Best Community @huntingtoncity last night for @ChamberAlerts annual dinner. Thanks for having me!pic.twitter.com/PvUddvkvmE	
Applauded @HHSGov funding to combat the opioid epidemic in WV. My full statement:pic.twitter.com/JdYQdmec4W	
Look who I ran into at @LaterGatorWhg today in @CityofWheeling! Good to see you @RepMcKinley!pic.twitter.com/S7dxlvqjJW	
Congratulations to @huntingtoncity for winning 1st place in @ABCommunities contest!http://bit.ly/2oMFuqm 	
Honored to be w/ advocates today at @fightalzwv's Reason to Hope Luncheon. Grateful for your hard work & dedication to #endalz.pic.twitter.com/dhdzu4CnR5	#endalz
Glad to hear about @EPAScottPruitt's #EPABack2Basics agenda to roll back harmful regs impacting WV’s coal industry:http://washex.am/2pB4LBv 	#EPABack2Basics
Had a great visit to southern #WV yesterday meeting w/ medical professionals, small biz owners & community leaders like Mayor Howell.pic.twitter.com/BJS5t3iwty	#WV
Asked Congressional leadership to include a permanent solution for miners’ benefits in funding bill. MORE: http://bit.ly/2puOy1l 	
Encouraged by @SecretaryPerry's decision to study #energy grid reliability & the importance of fuel diversity. MORE: http://bit.ly/2oFNQQt 	#energy
Wishing you and your family a happy and blessed #Easter!	#Easter
Congratulations to Jan Rader who was sworn in last night as @huntingtoncity's newest fire chief. She is the 1st female fire chief in #WV!pic.twitter.com/sLnPgm6wdM	#WV
#tbt to #Easter fun with Dad, Lucy and neighborhood friends in Glen Dale. #throwbackpic.twitter.com/BDW7VZFgeO	#tbt #Easter #throwbackpic
Always glad to see @wvusga leaders and hear about their work to improve student life at @WestVirginiaU.pic.twitter.com/Qa8YBQRJsH	
Caught up w/ @WVSOM students from #WV & learned more about their graduate medical education training.pic.twitter.com/0l5lAwn8LL	#WV
. @WVCRNAs members stopped by my office recently to share how they are promoting high quality patient care.pic.twitter.com/rUGy3K0aYG	
Glad a member of my staff could lend a helping hand to @AmeriCorps volunteers as they cleaned up the William & Mary Queen store in Crum, WV.pic.twitter.com/WsyVM2m8Z4	
Proud to cast my vote today in support of Judge Neil Gorsuch, our newest #SCOTUS justice. My full statement:pic.twitter.com/KrGcZsU0Ku	#SCOTUS
My statement regarding @POTUS' military action in #Syria:pic.twitter.com/7VYDWg4cXl	#Syria
Had a productive conversation w WVian Dr. Carol Smith & others about treating addiction & how counselors can help curb this epidemic.pic.twitter.com/XGnCsY95oF	
Thinking of the 29 miners we lost at UBB 7 yrs ago. I will continue efforts to protect our miners who put their lives at risk to power WV.	
Inspiring tour yesterday of @NIH to see and learn of the life changing research they perform every day.pic.twitter.com/Hmq0TTuRNX	
For the good of the nation & for the good of the Senate, there should be no filibuster of Judge Gorsuch.	
I hope my Dem colleagues will recognize the need to invoke cloture on Judge Gorsuch’s nomination.	
Judge Gorsuch is a mainstream judge who has earned the respect of his judicial colleagues.	
The Senate has a very clear history of rejecting the use of the filibuster against #SCOTUS nominations.	#SCOTUS
A filibuster of a nominee like Judge Gorsuch would be a tremendous mistake & would harm the Senate as an institution.	
It’s clear from our mtg, a thorough examination of his record & watching last wks hearing, that Judge Gorsuch will rule fairly.	
Judge Scalia left behind a legacy of faithfully applying the law & Judge Gorsuch is a worthy successor.	
Speaking on the @SenateFloor shortly about why my colleagues should support #SCOTUS nominee Judge Gorsuch. WATCH: http://bit.ly/2k7oZ3L 	#SCOTUS
Had a great time celebrating Charlie's birthday tonight with part of our family. Happy birthday Charlie! pic.twitter.com/20jPxSmo90	
Fun catching up with Miss Northern West Virginia in between meetings on Wednesday. Keep being a role model for WV’s girls!pic.twitter.com/kuWvv2OkWf	
Stopped by Chick-fil-A this afternoon & met Garrett Green, an 8th grader at Hurricane Middle School. Great to meet him!pic.twitter.com/KUGXCvGzuj	
Enjoyed meeting Tearrianna from Ranson, WV & hearing how @AAOS1 is working to advance musculoskeletal researchpic.twitter.com/0IzqLaINnw	
The #CleanPowerPlan was disastrous. @POTUS’ Energy Independence Executive Order ends the assault on vital coal jobs:https://www.youtube.com/watch?v=qbcvqLS8Qls&feature=youtu.be …	#CleanPowerPlan
My resolution w @Sen_JoeManchin congratulating the unstoppable @WVURifle team on their Nat’l Champ passed last night http://bit.ly/2mVN4Qe 	
Enjoyed having lunch with our fantastic interns Emily & Nick today. They have certainly worked hard this semester.pic.twitter.com/NLGeK2K16E	
Thank you @fightalzwv members who shared your #Alzheimers stories. I’m committed to working together to #endalzpic.twitter.com/kGKto0Rrvi	#Alzheimers #endalzpic
Discussed #broadband #infrastructure & closing the digital divide in rural America at @AmericanCable's #Summit24 today.pic.twitter.com/8XuRWP8hhi	#broadband #infrastructure #Summit24
Take a moment today to honor our #VietnamVeterans for their loyal service to our country. #VietnamVeteransDay	#VietnamVeterans #VietnamVeteransDay
Today marks the start of a new #energy revolution – one that celebrates American production on American soil, including both coal & nat gas	#energy
. @POTUS listened to WV miners & others who struggled. He is making good on his promise and putting them back to work.	
. @POTUS' action today is a refreshing change & a promise kept to roll back the #CPP - 1 of the most harmful acts of overreach by Obama admin	#CPP
Unfortunately President Obama vetoed our measures to protect affordable, reliable energy & jobs from the #CleanPowerPlan's overreach	#CleanPowerPlan
This Executive Order shows @POTUS is serious about cutting anti-coal regs & reducing unnecessary obstacles for jobs & energy production.	
. @WV_coal1 president Bill Raney here as well. This is a positive day for West Virginia's #coal jobs.pic.twitter.com/yPUsbEz5kq	#coal
Glad to have coal miners in the house for @POTUS' Energy Independence Executive Order signing at the @EPA.pic.twitter.com/sfZhFK9ogJ	
Intro’d bipartisan, bicameral #RECLAIMAct2017 with @SenateMajLdr to help revitalize #coal communities. MORE: http://bit.ly/2nbyfEX 	#RECLAIMAct2017 #coal
We need better connectivity to keep up with the jobs of tomorrow. @WVVA has more:https://www.youtube.com/watch?v=WAwp9ykYoks&feature=youtu.be …	
Proud to join @SenatorBaldwin to intro a bill that supports palliative care & hospice workforce: http://bit.ly/2mULxos  via @wtaptelevision	
#SCOTUS Nominee Judge Gorsuch is a worthy successor to Justice Scalia:https://www.youtube.com/watch?v=fDk2S0Rihx0&feature=youtu.be …	#SCOTUS
Congratulations to the @fsufalcons! Can’t wait to cheer them on tomorrow!https://twitter.com/fsufalcons/status/845077943365877760 …	
Can’t wait to watch @WVUhoops take on @ZagMBB in the #Sweet16 tonight. Let’s go #Mountaineers! #PressVirginia	#Sweet16 #Mountaineers #PressVirginia
I’m working hard to ensure a long-term solution is reached for @MineWorkers retirees like these WVians who stopped by #WVWednesday yesterdaypic.twitter.com/JX9ccerTOL	#WVWednesday
Intro’d a bill to halt the flow of illicit fentanyl into our country & bring us closer to creating a #drugfreeWV http://bit.ly/2nWb7em 	#drugfreeWV
Teamed up w/ @SenatorBaldwin to intro a bill strengthening palliative care & hospice workforce training & education: http://bit.ly/2mRkESx 	
Judge Gorsuch is a mainstream judge who recognizes the value of judicial restraint & upholding the law over personal beliefs #ConfirmGorsuchpic.twitter.com/OqAivVuUGF	#ConfirmGorsuchpic
On #NationalAgDay, enjoyed hearing how #WV @NationalFFA members help prepare WVians for careers in the science, biz & tech of agriculture.pic.twitter.com/dVvekY9JZb	#NationalAgDay #WV
Proud of these #STEM scholars from Pineville Middle School for being named #SamsungSolvePVMS national finalists!https://www.youtube.com/watch?v=OMfoigDkCA8 …	#STEM #SamsungSolvePVMS
Good editorial by @DM_opinion on why #SCOTUS nominee Judge Neil Gorsuch should be confirmed in the Senate: http://bit.ly/2nWRVMO 	#SCOTUS
Outlined Judge Neil Gorsuch’s #SCOTUS qualifications in @IntelligencerWV to kick off today's @senjudiciary hearing: http://bit.ly/2nDmjQb pic.twitter.com/eqObFePBKu	#SCOTUS
#STEM careers have the power to transform our economy, especially in economically distressed communities:https://www.youtube.com/watch?v=FtpGVLVy6gI&feature=youtu.be …	#STEM
Rooting for @WVUWBB in their #ncaaW second round game vs. @umdwbb! Let’s go #Mountaineers! #HailWV	#ncaaW #Mountaineers #HailWV
Honored to be a part of @WVStateU's Inaugural ceremonies today for the newest President, Dr. @JenkinsWVSU11. Congrats!pic.twitter.com/NvaI28K5o0	
Check out my weekly video update for a quick recap before the weekend:https://www.youtube.com/watch?v=EJwYP4twPSY&feature=youtu.be …	
In Ripley today to catch up with Mayor Rader about the progress being made on #infrastructure projects.pic.twitter.com/YHUeWbXUGV	#infrastructure
Good luck to @WVUhoops as they kick off #MarchMadness this afternoon. Let’s go #Mountaineers! #PressVirginia	#MarchMadness #Mountaineers #PressVirginia
Intro’d a bill to ensure Nat'l Guard & Reserve Troops receive the same benefits as their active duty counterparts: http://bit.ly/2mSCxDM 	
#STEM education holds such promise & possibility for WV. Learn more about today’s hearing w/ @WVCTCS's Dr. Tucker: http://bit.ly/2nbg4m4 pic.twitter.com/N6h8a34OhQ	#STEM
Intro’d a #broadband bill today to measure the economic impact of broadband on U.S. economy. Learn more here: http://bit.ly/2m1my7k 	#broadband
Plsed to have @WVCTCS's Dr. Tucker join today’s Appropriations subcommittee hearing on #STEM education. WATCH LIVE: http://bit.ly/2nsq3Ro 	#STEM
Thank you to the WV pastors who braved the snowy weather to visit my office and pray with me today.pic.twitter.com/17bxhWXsZn	
I intro’d a resolution designating March 21 as National Rosie the Riveter Day to recognize the Rosies who supported the WWII effort at home	
Proud of Glen Dale 4th graders Ella, Averey & Emaleigh for showcasing strong women in their Rosie the Riveter school project.pic.twitter.com/ubqc40rdYg	
Wishing @WVUhoops & @HerdMBB good luck in their conference championship games tonight. Big night for WV! #ChampionshipSaturday	#ChampionshipSaturday
Another National Championship in the books for @WVURifle! Congrats on your 19th title! http://bit.ly/2mUeKUD  #HailWV	#HailWV
My staff participated in the annual wreath laying ceremony to honor the life of WV WWI #veteran Frank Buckles. Grateful for his service.pic.twitter.com/wZNdmMHQPv	#veteran
Heard about the great work being done at @NASAIVV Center in Fairmont & the exciting times ahead for @NASA!pic.twitter.com/joNPPB9Poz	
My prayers are with the families of those impacted. I will keep fighting on their behalf to grow jobs in WV.	
Very disappointed to learn that Mohawk Industries is closing its plant in Holden, putting 111 people out of work.	
Shooting sports are important to WV's economy & our proud hunting heritage. That’s why I reintro'd this bill today: http://bit.ly/2mqKuQa 	
WV’s @SenateYouth delegates Antonella & Joseph are 2 shining examples of what the future holds for our state: http://bit.ly/2lIyVoZ  #USSYPpic.twitter.com/oDlwHLIJwp	#USSYPpic
Caught up on the happenings at @marshallu w/ @MarshalluPres Dr. Gilbert. Great to see you!pic.twitter.com/ASmxAAggiP	
It was an honor to join @FLOTUS & other female leaders at the White House today to celebrate #InternationalWomensDay http://bit.ly/2mGEWBW 	#InternationalWomensDay
New funding headed to southern WV to provide economic recovery support in central #Appalachia. MORE: http://bit.ly/2miFqfe 	#Appalachia
WV #veteran Preston Brown won 1st & 2nd place awards at last week’s Creative Arts Festival at the @MartinsburgVAMC. Very impressive!pic.twitter.com/LBijxYPWby	#veteran
Thanks for having me! Enjoyed discussing how the tech industry can spur economic growth & create jobs.https://twitter.com/ITI_TechTweets/status/839154150189514753 …	
Congrats to @CoachMikeCarey & @WVUWBB for winning first @Big12Conference tournament championship! #HailWV #Big12WBB	#HailWV #Big12WBB
Spoke at my Church in Charleston yesterday about WVians struggling w addiction & legislation like #CARA that seeks to end the drug epidemic.pic.twitter.com/MLW8hjNqu8	#CARA
. @POTUS understands the frustrations WVians feel. Here’s my takeaway from his first #jointaddress:https://www.youtube.com/watch?v=E2mqRq4xxJs&feature=youtu.be …	#jointaddress
Ensuring quality healthcare for kids is important to me & I was glad to have the chance to discuss this priority w WV’s Dr. Phillips.pic.twitter.com/Pwt8NIubGF	
Designated March 21 National Rosie the Riveter Day to recognize the vital contributions of women during WWII: http://bit.ly/2lDUFNT 	
Always good to see Lt. Col. Dodrill & the WV Wing Cadets. Enjoyed hearing about how they’ve helped w/ #wvflood relief efforts. Thank you!pic.twitter.com/LobPJCDfqk	#wvflood
Good chatting w/ this group from Adventures on the Gorge & America Outdoors Assoc. about enhancing WV’s endless recreation opportunities.pic.twitter.com/RlZMlR2ky4	
Joined @EPWGOP chairman @SenJohnBarrasso & others to intro a bill that promotes innovation in the nuclear sector: http://bit.ly/2mfmv6P 	
I will continue fighting for these #WV @MineWorkers retirees until Congress fulfills the promise that was made to our miners.pic.twitter.com/7Zk8S8xc0X	#WV
. @GovernorPerry will be a strong partner w/ #WV as we seek to strengthen our #energy sector & protect jobs. My full statement:pic.twitter.com/W5004xg9oT	#WV #energy
Voted to confirm Dr. Carson as @HUDgov sec. He will listen to the needs of rural America & work to make housing affordable & accessible.	
Had a productive mtg w/ WV health care providers in my Charleston office last wk about providing accessible, affordable care to WVianspic.twitter.com/apClfhojmZ	
WV’s miners worked hard in dangerous situations to power this country. I am fighting to protect their hard-earned health benefits.	
Just voted for @RepRyanZinke to lead @Interior.pic.twitter.com/MZSiZhEqZl	
#Broadband is a resource our communities simply must have. Glad #WV #Broadband Day at the state Capitol helped elevate this critical issue.pic.twitter.com/0u8MIkqd8s	#Broadband #WV #Broadband
Glad to hear support for WV priorities like job growth, reg reform, infrastructure & fighting the drug epidemic in @POTUS’ #jointaddresspic.twitter.com/7TjjjUUTeC	#jointaddresspic
My thoughts and prayers are with the friends and family of Jason Matthews who lost his life while working at a McDowell County mine.	
From veteran-owned businesses to a strong national defense, had a wide-ranging discussion with West Virginia @AmericanLegion members today.pic.twitter.com/e6I9zdRPfy	
Read @lizbeavers1's report on my #WVGirlsRiseUp event encouraging #girlpower through education, fitness, confidence: http://bit.ly/2mmzvbL 	#WVGirlsRiseUp #girlpower
My statement on tonight’s vote to confirm Wilbur Ross as @CommerceGov secretary:pic.twitter.com/YHmOsiVOf8	
Community pharmacies are important to our small towns. @SenatorTester & I are working to make them more accessible: http://bit.ly/2kWJRKl 	
These Keyser Middle School students are members of their Local School Improvement Council. Great to have them as tour guides!pic.twitter.com/Yi6ni1odit	
Sat down w/ @WVaChamber's Steve Roberts to discuss job creation, education and ways we can encourage prosperity.pic.twitter.com/IwpAihYjCy	
Joined @Sen_JoeManchin to announce more financial assistance in Nicholas Co. to help w/ #wvflood recovery efforts: http://bit.ly/2lAFS82 	#wvflood
Covered coal, education & the budget crisis w/ @DanThorn_ on @WVTonight. Check it out here:https://www.youtube.com/watch?v=jHaQZT33x30&feature=youtu.be …	
Always impressed by the driven girls I meet while visiting local schools for my WV Girls Rise Up program. Thx for having me, Keyser Middle!pic.twitter.com/uEpFbx47Ne	
Congratulations to Tarannom Rajaee, this year’s WV Doodle 4 Google winner! Your Life on Mars doodle is out of this world! #D4G #WestVirginiapic.twitter.com/3g5QNafKh2	#D4G #WestVirginiapic
ICYMI: Stood with WV coal miners to watch @POTUS sign a measure I intro’d to roll back an Obama-era anti-coal reg: http://bit.ly/2m9mUFr 	
Had a productive meeting today w/ @WVGovernor Jim Justice about ways we can improve #WV together.pic.twitter.com/xLeUghRR5o	#WV
Proud of @Fairmont_Hoops for taking the #1 spot for 1st time since 1974 & since joining @NCAA. Congratulations! http://bit.ly/2kM0Vrf 	#1
Inspired by the flood recovery efforts taking place in Richwood-glad to join Mayor Baber & other groups aiding recovery there today.pic.twitter.com/IG7gKndHNb	
Today I visited the Cabin Creek Health Clinic’s Pulmonary Deptartment that provides needed services for WV minerspic.twitter.com/GGc4oHcJtU	
Happy #PresidentsDay! Take a moment today to honor some of our nation’s great presidents who have served our nation.	#PresidentsDay
Informative meeting w/ WVians this week about the research happening at @NIH for migraine & headache disorders.pic.twitter.com/GhK5mgj7HT	
Read about my visit to the Oval Office in this week's newsletter: http://bit.ly/2kHyOof pic.twitter.com/2YaGcA4iu7	
Looking forward to working with @POTUS’ cabinet members to strengthen WV:https://www.youtube.com/watch?v=6KbgaFDphG4&feature=youtu.be …	
Have a minute? Watch my weekly West Virginia video message:https://www.youtube.com/watch?v=eL7J0z4oItU&feature=youtu.be …	
My statement on @AGScottPruitt's confirmation as @EPA administrator: http://bit.ly/2l2pn5V pic.twitter.com/W2wDGo3pZJ	
Can’t think of a better nominee for @usairforce secretary than my friend & former colleague @HeatherAnWilson. Glad to meet with her today.pic.twitter.com/XvoV2gB9dm	
ICYMI: I spoke at the White House today about my measure that @POTUS signed to protect WV coal jobs:https://www.youtube.com/watch?v=LSH7cfLOE40&feature=youtu.be …	
HAPPENING SOON: Watch me join @POTUS at the White House to sign my CRA overturning an Obama-era anti-coal rule:http://bit.ly/2lTkgn6 	
. @AGScottPruitt is committed to returning @EPA to its core mission of protecting clean air, water & land, without undercutting the economy.	
The loss of good-paying coal jobs means less commercial activity & less tax revenue to support education, public works and law enforcement.	
Learn about my bill to designate the Appalachian Forest Heritage Area & help more people enjoy WV's natural beauty: http://bit.ly/2lS2K1T 	
Great to see #WV @MineWorkers & discuss protecting the healthcare benefits of retired coal miners: http://bit.ly/2lMMHpS pic.twitter.com/sAIgvElTvN	#WV
Just voted to protect the #SecondAmendment rights of law-abiding Americans: http://bit.ly/2lQFKQX  #2A	#SecondAmendment #2A
Wonderful to see #WWII Medal of Honor recipient, proud West Virginian, and my dear friend @WoodyWilliams45 in Washington today.pic.twitter.com/Aa93SNahjE	#WWII
Voted tonight to confirm Steven Mnuchin for Secretary of the @USTreasury. Full statement:pic.twitter.com/JV98FIcmGN	
I am glad Century Aluminum will fulfill commitments made to its Ravenswood retirees & applaud all who fought for their hard-earned benefits.	
Met with WV @CADCA members this week in the Senate to talk about creating a #drugfreeWV.pic.twitter.com/qa5glF0xla	#drugfreeWV
My full statement on my vote to confirm @RepTomPrice to lead @HHSGov:pic.twitter.com/2tNlviOFbF	
#Tbt #Trivia: Found this photo of my parents at the Sadie Hawkins Dance at @WestVirginiaU years ago. Can anyone identify the others?pic.twitter.com/3mu5xpWX6n	#Tbt #Trivia
Encouraged by my meeting with @POTUS at the White House today. We discussed #SCOTUS, #broadband, #opioidepidemic & other critical issues.pic.twitter.com/IUXzwsGWan	#SCOTUS #broadband #opioidepidemic
My statement on tonight’s vote to confirm @SenatorSessions as Attorney General:pic.twitter.com/iL8w9JspZu	
Enjoyed hearing from West Virginians during my constituent coffee this morning.pic.twitter.com/K0dYLibnEU	
In honor of @huntingtoncity native, Feb 1 is now Carter G. Woodson Day in WV. Glad my staff was on hand to celebrate the dedication last wk.pic.twitter.com/wj793DqbiJ	
Happy birthday to our very own @WestVirginiaU! Here’s to 150 more years of #Mountaineer pride! #WVU150pic.twitter.com/kXMGN9HRl9	#Mountaineer #WVU150pic
I’ll be talking about today’s votes in the Senate with @TeamCavuto at noon. Tune in to @FoxBusiness now.pic.twitter.com/S03diD6or8	
Met with the Islamic Association of West Virginia & Rabbi Victor Urecki today in Charleston. Appreciate the opportunity to talk with them.pic.twitter.com/mr2t2qAd3s	
The #PatientFreedomAct provides much-needed healthcare choices.https://www.youtube.com/watch?v=IHZ11IWAxhY&feature=youtu.be …	#PatientFreedomAct
My op-ed in today’s @gazette_opinion explains how we’re going to replace #Obamacare:http://bit.ly/2kCxhUo 	#Obamacare
. @POTUS’ Supreme Court nominee Judge Gorsuch is an excellent choice. Here’s why:https://www.youtube.com/watch?v=wuKzACzgVew&feature=youtu.be …	
Talked #jobs & #broadband w/ @SBAgov nominee @Linda_McMahon. She'll be great advocate for WV's small businesses: http://bit.ly/2kaLVkI pic.twitter.com/cPZFA5t9Ws	#jobs #broadband
It’s National #WearRedDay! Join me and @nih_nhlbi in raising awareness to prevent heart disease. #HeartMonthpic.twitter.com/7ioBLp7rEW	#WearRedDay #HeartMonthpic
#CapitoConnect Update: Encouraged @AjitPaiFCC will move forward with Phase II of Mobility Fund to expand rural #broadband access.	#CapitoConnect #broadband
Honored to meet #SCOTUS nominee Judge Neil Gorsuch today. I'll be voting to confirm Judge Gorsuch & I urge my colleagues to do the same.pic.twitter.com/MTLfNhbQCZ	#SCOTUS
Glad the House voted to block Obama’s harmful Stream Rule today. Tx @RepMcKinley, @RepEvanJenkins & @RepAlexMooney for leading these efforts	
. @POTUS has appointed a very mainstream, well-respected gentleman of the court and I look forward to supporting him.pic.twitter.com/Vd0BkBTvrS	
Rex Tillerson is the right person to serve as our nation’s top diplomat. Pleased to vote for his confirmation today.pic.twitter.com/DP4AYMQ7QW	
