#BeatWisconsinpic.twitter.com/oP2IQFxcm1	#BeatWisconsinpic
Wednesday mornings at the #NEBreakfast are the best. If you’re visiting Capitol Hill, stop by & say hello.pic.twitter.com/4HcnNixT1a	#NEBreakfast
I’m continuing to pay tribute on the #Senate floor to #NEHeroes who gave their lives in Afghanistan & Iraq #Service	#Senate #NEHeroes #Service
Joining @amyklobuchar & @Gardner_LM for a bipartisan discussion on #infrastructure. #strongcommunities #POLITICOInfrastructurepic.twitter.com/OBVPA8gxBA	#infrastructure #strongcommunities #POLITICOInfrastructurepic
Congratulations, Secretary Perdue. #AGsecpic.twitter.com/6k5XJ6SgEy	#AGsecpic
"What is done cannot be undone, but at least you can stop it from happening again." - Anne Frank #NeverAgain #HolocaustRemembranceDaypic.twitter.com/SlLK0RoMVQ	#NeverAgain #HolocaustRemembranceDaypic
. @DanielPMalloy with @ozy covers my efforts to make life easier for families: http://goo.gl/bMAhmO  #EqualPay #PaidLeave	#EqualPay #PaidLeave
Honored to speak at the inaugural ceremony for the Lancaster County Veterans Court this afternoon in Lincoln. #NEvetspic.twitter.com/2qvjjwSUof	#NEvetspic
Thanks to the folks at the Sarpy County Chamber for letting me attend today's lunch and give an update on my work in the Senate.pic.twitter.com/ROpRnVxVzd	
Speaking today with members of the @SarpyCounty Chamber. I gave an update on legislative business in the U.S. Senate.pic.twitter.com/e1jl13934I	
Proud to take part in a welcome home ceremony for members of the G-Company in #LNK today. #ProudNebraskanpic.twitter.com/QFCio2G27h	#LNK #ProudNebraskanpic
Terrible news of Nebraskans being struck by a truck outside of LNK Planned Parenthood. My prayers are w all those impacted.	
I was honored to speak at today's @NENationalGuard departure ceremony for the 641st in LNK. #ProudNebraskanpic.twitter.com/Jx9HcThrnW	#ProudNebraskanpic
Privileged to join the 52nd Annual Greater Omaha Leadership Prayer Breakfast to share a scripture passage this morning. #GoodFridaypic.twitter.com/sY9TFu9sEk	#GoodFridaypic
Great time eating lunch w the Lincoln firefighters. Thanks to @IAFFLocal644 for hosting my mom and me today!pic.twitter.com/70su2ZMsOu	
More on my work w/ @AmyKlobuchar & 54 other sens. in @theHill: “Senators press FCC on rural broadband affordability”http://goo.gl/Yk3yNe 	
Happy #NationalPetDay from Fred Fischer. #FunWithFredpic.twitter.com/tILySNYghH	#NationalPetDay #FunWithFredpic
Led bipartisan letter w @amyklobuchar & 54 senators urging @FCC to continue advancing broadband in rural areas More: http://goo.gl/rGwWzJ 	
Loved stopping by @Runza in Beatrice for lunch and visiting with their wonderful team! #Delicious #NEtraditionpic.twitter.com/byTj0wEny7	#Delicious #NEtraditionpic
Kicking off a great day in NE with an Economic Development Roundtable in Plattsmouth. #Jobs #OnTheRoadinNEpic.twitter.com/WEvFOU1Y78	#Jobs #OnTheRoadinNEpic
Wishing my friends and neighbors across Nebraska a joyous Passover celebration.	
I was proud to support Justice Gorsuch and I think he will do an exceptional job for the American people. My column: http://goo.gl/Cu4FSb 	
Congratulations, Justice Neil Gorsuch #SCOTUSpic.twitter.com/po4InTkBlq	#SCOTUSpic
Congrats to Robert Carper of Blue Hill, NE on his gold/silver medals in cross-country skiing at the @SpecialOlympicshttps://goo.gl/CDB9lN 	
The Senate just confirmed Judge Neil Gorsuch to #SCOTUS. My full statement:pic.twitter.com/XHCFi3SHXP	#SCOTUS
My full statement on U.S. air strikes in Syria:pic.twitter.com/5GR2zBshke	
Great meeting with the Nebraska Association of Nurse Anesthetists today in my Senate office.pic.twitter.com/v56W6ZFmQa	
My floor speech today on why the Senate should #ConfirmGorsuchpic.twitter.com/BAFG4oMfWv	#ConfirmGorsuchpic
Glad to spend some time today with folks from @DSAmidlands. #DownSyndromeAwarenessMonthpic.twitter.com/G4to0kkqtB	#DownSyndromeAwarenessMonthpic
This month, wear blue in support of the autism community. #AutismAwarenessMonthpic.twitter.com/KPjhfPNPoI	#AutismAwarenessMonthpic
Enjoyed seeing friendly faces at today’s #NEbreakfast, including students from Clearwater-Orchard Schools and NE Regional Programs.pic.twitter.com/yuE8PAWrhA	#NEbreakfast
Chairing @SenateCommerce Surface Transportation Subcommittee hearing on freight policy. #Infrastructure TUNE IN: http://goo.gl/tQ0L6E 	#Infrastructure
My #WorkplaceAdvancementAct would provide women with the confidence they need to negotiate the wages they deserve. #EqualPayDaypic.twitter.com/YYPPq3fQw2	#WorkplaceAdvancementAct #EqualPayDaypic
#EqualPayDay is a meaningful reminder of the need for progress so every woman, just like every man, can support herself & her family.pic.twitter.com/rrBfg5Hlp7	#EqualPayDay
Great news for #NE: “ @facebook to build massive data center south of Papillion” @OWHNews w/ more: https://goo.gl/LWuQcw  #SiliconPrairie	#NE #SiliconPrairie
Let’s come together so we can look families in the eye and say: we heard you and we are taking action. #EqualPay #Bipartisan #Empowered	#EqualPay #Bipartisan #Empowered
I’ve reintro’d the #WorkplaceAdvancementAct based on a simple idea: equal pay through empowerment #KnowledgeIsPowerpic.twitter.com/4ifgWsmas9	#WorkplaceAdvancementAct #KnowledgeIsPowerpic
Headed to the #SenateFloor to deliver remarks in advance of #EqualPayDay tomorrow. Watch: http://goo.gl/qUTdZz 	#SenateFloor #EqualPayDay
I will vote in support of Judge Neil Gorsuch. More in my @JournalStarNews op-ed. #ConfirmGorsuch #SCOTUShttps://goo.gl/LMd5CN 	#ConfirmGorsuch #SCOTUShttps
Honored to received 2017 Distinguished Community Health Advocate Award from @HCANebraska- they provide care to low-income NE families.pic.twitter.com/ACzJi0vore	
There are thousands of innovators inventors, programmers & restless dreamers who love to solve tech problems. #IoT	#IoT
Joining my colleague, @CoryBooker, for #bipartisan discussion w/ @AEI on the “Internet of Things” #IoT	#bipartisan #IoT
Q & A with students from @BC_Cardinals & @DiscovererWay. They are participating in @CloseUp_DC. #NEstudentspic.twitter.com/gQsE2iM4zD	#NEstudentspic
Asking questions of Deputy Transportation Sec. nominee Jeffrey Rosen in @SenateCommerce. Watch our exchange: http://www.commerce.senate.gov/public/index.cfm/hearings?ID=C3F21EAE-E078-4039-8FA9-24080D11E294 …	
Nebraskans rely on this program for critical phone & broadband service. http://goo.gl/8GaF1Y  (2/2)	
Productive conversation today with @alzassociation members about finding a cure for this heartbreaking disease #ENDALZ #alzforumpic.twitter.com/kPAm1LXDYA	#ENDALZ #alzforumpic
Another great Wednesday morning at the #NEbreakfast. I was delighted to welcome @4H students visiting from Lexington.pic.twitter.com/dZ5VGkNIfr	#NEbreakfast
My statement on the White House’s potential legislative strategy to tackle tax reform and infrastructure concurrently:pic.twitter.com/I08fkVZ9ZX	
I enjoyed meeting w Deputy @USDOT Sec nom Jeffrey Rosen today. Great conversation about improving our nation’s roads & infrastructure.pic.twitter.com/DHJYYwFfLA	
Skyping into the @HumanitiesNe #NECapitolForum from Capitol Hill w/ @RepAdrianSmith & @RepDonBacon. Good questions from these #NEstudents!pic.twitter.com/dkSJnJQNTp	#NECapitolForum #NEstudents
Love this @OWHnews story on the history of the @Runza. We treasure this Nebraska food classic. #ProudNebraskanhttp://www.omaha.com/living/the-better-half/runza-the-story-of-one-of-nebraska-s-most-treasured/article_6e0b5a51-b017-5a23-b5cd-92f2c06a5d88.html …	#ProudNebraskanhttp
Today in @OWHopinion: "Senate should vote to confirm" Judge Neil #Gorsuch. #SCOTUShttp://www.omaha.com/opinion/editorial-senate-should-vote-to-confirm/article_2f570c71-5f37-5fd9-a2bc-ea3247b32a60.html …	#Gorsuch #SCOTUShttp
The menu for today’s Senate lunch #TheGoodLife #Deliciouspic.twitter.com/cWFnITh78A	#TheGoodLife #Deliciouspic
Bruce & I love hosting friends for dinner after a day of hard work on the ranch. Today, I brought this #Nebraska tradition to the Senatepic.twitter.com/cy3A0BBu6n	#Nebraska
Fred sits in on a staff meeting. Happy #NationalPuppyDay #FunWithFredpic.twitter.com/9zKBmTyFff	#NationalPuppyDay #FunWithFredpic
Today I met with the Nebraska Soybean Association. Great conversation about trade, crop insurance, reducing regs & other #NEAg issues.pic.twitter.com/5wDnLiVVSJ	#NEAg
I had a great time speaking with Nebraska @CloseUp_DC students from @DOHS_Griffins @wahoopublic @NeumannCavs & High Plains High School.pic.twitter.com/gLrGn0qFGl	
Full house this morning at the #NebraskaBreakfast. I enjoyed introducing my family members, Bruce and Fred. #FunWithFredpic.twitter.com/U4iOUujkya	#NebraskaBreakfast #FunWithFredpic
Wonderful to meet with these young Nebraska women representing @NationalFFA & @4H at @AgFutureAmerica. #FeedtheWorld #AgDaypic.twitter.com/U8swidvux0	#FeedtheWorld #AgDaypic
This week, we recognize NE’s economic engine & thank the families who work hard, every single day, to #FeedTheWorld. #NEag #NationalAgWeekpic.twitter.com/GhbF4RnTjm	#FeedTheWorld #NEag #NationalAgWeekpic
Happy #FirstDayOfSpring! Hope you are enjoying the beautiful weather across Nebraska today.pic.twitter.com/Tfe7M5FwPO	#FirstDayOfSpring
Honored to present Roger Piasecki of Kearney with a WWII Medal & Lapel Pin for his father Walter's military service #GreatestGenerationpic.twitter.com/xtiCdwUBML	#GreatestGenerationpic
Welcoming constituents as they arrive at my Holdrege #ListeningSession. Looking forward to answering their questions. #HearingFromYoupic.twitter.com/ynIs8FVkFb	#ListeningSession #HearingFromYoupic
Loved speaking to students from Kearney Catholic, Logan Views HS & @OmahaPubSchool about my work in the U.S. Senate this morning #NEstudentspic.twitter.com/xBmxyagPn4	#NEstudentspic
Tomorrow my staff will host local office hours in Thomas, Hooker & Grant counties to answer your Q's about the federal gov't #HearingFromYoupic.twitter.com/r8CX7IVZQd	#HearingFromYoupic
Attended unveiling of @usmint’s @BoysTown coin. Proud of my legislation to make this happen/honor this fantastic NE organization.pic.twitter.com/GWBTUv73tW	
Today I joined folks from @NHF_Hemophilia in recognizing national Bleeding Disorders Awareness Month #RedTieChallengepic.twitter.com/mhJS6zFZKm	#RedTieChallengepic
Proud to welcome Jacob of Omaha & Matthew of Alda to the Senate today & congratulate them on being NE’s delegates to @SenateYouth programpic.twitter.com/0WyvPqTbZo	
Reintro'd bill w @SenCoryGardner that would provide Americans w ability to see how taxpayer $ are being spent. More: https://goo.gl/OKNe4X 	
Today we celebrate the positive story of women around the world & recommit to empowering them to live their dreams. #InternationalWomensDaypic.twitter.com/Ud1pKEq9LH	#InternationalWomensDaypic
Special visit today w/ NE firefighters/members of #IAFF. Thanks for all you do to keep our families & communities safe. #ProudNebraskanpic.twitter.com/BmhZYxnpN7	#IAFF #ProudNebraskanpic
Joined my colleagues in letter urging admin to address threats to #JCCs & other religious institutions. Full letter: https://goo.gl/VXR2qQ 	#JCCs
This morning, I joined @MaggieLake on @CNNMoney to talk about my #PaidLeave bill. #StrongFamilies Full Video:pic.twitter.com/G9XxGySZdr	#PaidLeave #StrongFamilies
Honored to read letter from @POTUS & Senate-passed resolution commemorating NE's 150th bday @ tonight's Statehood Dinner. #NE150 @NE150pic.twitter.com/tBO0sBJz6h	#NE150
Good to meet with the folks from @AAR_FreightRail for #RailDay2017 today. #USAInfrastucturepic.twitter.com/VXDKzpIHEN	#RailDay2017 #USAInfrastucturepic
Looking forward to delivering the keynote address today at @aashtospeaks luncheon. #Transportation #StrongInfrastructure	#Transportation #StrongInfrastructure
Happy birthday to @Action3News anchor @CraigNigrelli, who also shares a bday with our great state. Thx for all you do to keep NE informed!	
Congrats to the people of NE as we celebrate our rich history, exciting present & bright future. My #NE150 speech:http://goo.gl/K8LpE7 	#NE150
Headed to the #SenateFloor to celebrate Nebraska’s 150th birthday & honor this historic milestone. @NE150 Watch: http://goo.gl/TGBo8g 	#SenateFloor
Happy Birthday, @SenatorStrange! #HBDtoUs #BirthdayTwinspic.twitter.com/3GbeM4x4fk	#HBDtoUs #BirthdayTwinspic
#TheGoodLife Is… Tradition, Beautiful, Innovative, and Historic. #HBDNebraska @NE150pic.twitter.com/qlh4kRp5QU	#TheGoodLife #HBDNebraska
My statement on @POTUS' #JointAddress:pic.twitter.com/J0y1MnQWhh	#JointAddress
Pleased to stand behind @POTUS today as he signed an executive order that will roll back #WOTUS. My statement: http://goo.gl/keAK0T pic.twitter.com/kfgbGlPLTb	#WOTUS
Enjoyed meeting w/ #PDAdvocates for @MichaelJFoxOrg to speak about research for a #Parkinsons cure.pic.twitter.com/dXZ85HPKz6	#PDAdvocates #Parkinsons
Deeply concerned by bomb threats against Jewish community centers, day schools & cemeteries.These horrible acts have no place in our country	
March 1st is Nebraska’s 150th birthday. In this week’s column I talk about this momentous milestone http://goo.gl/01NYkR  #ILoveNebraska	#ILoveNebraska
The #DeathTax hits NE’s small family businesses hard. I’m backing legislation to repeal it. More in my column: http://goo.gl/lhfLXr 	#DeathTax
. @Kyle_Feldscher covers my #BuildUSAInfrastructure Act in today’s @DCexaminer. Read here:https://goo.gl/NDdLme 	#BuildUSAInfrastructure
Productive meeting today with members of the @LincolnChamber board. I gave an update on legislative business in the US Senate.pic.twitter.com/7dZHwh7Phe	
In #LNK visiting w/ folks at @AARPNE. We had a productive discussion about a variety of health care issuespic.twitter.com/XojGYxFtMI	#LNK
#Senate just voted to confirm Scott Pruitt as EPA administrator. My full statement:pic.twitter.com/KpSfSTi5JN	#Senate
I had a great conversation with Secretary of the Air Force nominee Heather Wilson during our meeting this morning.pic.twitter.com/Sd02ZTnO2K	
Intro’d Judgment Fund Transparency & Terrorism Financing Prevention Act w @SenatorLankford @SenTedCruz @jiminhofe http://goo.gl/b7jLUR 	
Welcomed Kimberly Grosse, a grad of @BoysTown, to the #NebraskaBreakfast. Kimberly is in DC to testify at a congressional hearing this AMpic.twitter.com/yEfQRlAfao	#NebraskaBreakfast
Wonderful to meet w/ @SONebraska reps & hear from John Sherbert of Minden, NE, a #SpecialOlympics athlete w/ an inspiring story. #SOHillDaypic.twitter.com/SgfSNZuw1e	#SpecialOlympics #SOHillDaypic
My statement on Russia deploying illegal cruise missile system:pic.twitter.com/W4O74nhjXo	
My Q&A with @cosmopolitan about my proposals for women in the workplace: http://goo.gl/nnWoaY  #equalpay #paidleave	#equalpay #paidleave
Fred is wishing all Nebraskans calling my office a Happy #ValentinesDay #FunWithFredpic.twitter.com/kdqeSsHChB	#ValentinesDay #FunWithFredpic
As a proud #NebraskaLEAD alum, it was great talking with members of #LEAD36 today during their trip to the Senate. #NEagpic.twitter.com/ynQDGABvS9	#NebraskaLEAD #LEAD36 #NEagpic
Video chatting with students from Stuart High School during their civics class today. #NEStudentspic.twitter.com/OpXeBsCclb	#NEStudentspic
Thanks to @GovRicketts & Lt Gov Foley who are launching a new initiative to prevent opioid abuse in NE #StrongCommunities #StrongFamilies	#StrongCommunities #StrongFamilies
Glad @POTUS & @JustinTrudeau will host roundtable on women in the workforce. Let's focus on solutions to make life easier for #families.	#families
Proud to call Valentine, NE home & see this wonderful tradition continue. #CupidsMailBox #ValentinesDay https://goo.gl/2NTrVU pic.twitter.com/WtjskymDPX	#CupidsMailBox #ValentinesDay
TUNE IN: I’ll be on @FOXnews with @HeatherNauert soon to discuss my work on #EqualPay & #PaidLeave.	#EqualPay #PaidLeave
With my #equalpay bill, more women could lead the lives they choose, support their families & reach their goals. #WorkplaceAdvancementActpic.twitter.com/xJ6EajR8qQ	#equalpay #WorkplaceAdvancementActpic
Introduced Fred to Judge Neil Gorsuch today. #SCOTUS #FunwithFredpic.twitter.com/pbJANobJxn	#SCOTUS #FunwithFredpic
I will continue to work to deliver the open and respectful confirmation process Judge Gorsuch deserves. https://goo.gl/oKXcK2  (3/3)pic.twitter.com/lbbVBMUgh2	
He is bright, honest, impartial, and a follower of the Constitution. (2/3)	
In my meeting with Judge Gorsuch, it was clear that he has the even-handed judicial temperament I’d hope to see in a #SCOTUS justice. (1/3)	#SCOTUS
My #EqualPay & #PaidLeave proposals seek to make life easier for families. Read more in @TheHill:https://goo.gl/QSqYuD 	#EqualPay #PaidLeave
Pleasure to sit down with members of the Nebraska Rural Water Association and hear about their work in rural NE.pic.twitter.com/5HpI3yndbQ	
Always a pleasure to meet with the great folks from the Nebraska Corn Growers Association. #FeedtheWorld #NEagpic.twitter.com/AlycBKLXDi	#FeedtheWorld #NEagpic
Check out my new op-ed about #SCOTUS nom Judge Neil Gorsuch in @DailyCallerhttp://goo.gl/Wt65af 	#SCOTUS
The admin's new #Iran sanctions are an important step in holding the number one state sponsor of terror accountable.	#Iran
Joined my colleagues in raising awareness of @NIH_NHLBI #WearRedDay. February is #HeartMonth #GoWearRedpic.twitter.com/6R3xs9Ls5I	#WearRedDay #HeartMonth #GoWearRedpic
My statement on Betsy DeVos:pic.twitter.com/LopDmk48Lo	
It's all hands on deck in my offices answering phones. If you are a Nebraskan who can't get through, try my website: http://goo.gl/PGYLcC 	
"Fischer introduces bill to fund infrastructure projects..." #BuildUSAInfrastructure Read @MortonOWH's full story:http://www.omaha.com/news/nation/fischer-introduces-bill-to-fund-infrastructure-projects-with-revenue-from/article_ed6ea575-deb8-55dc-aec2-521437b1d09c.html …	#BuildUSAInfrastructure
Just intro’d new bill offering solutions to pay for & build new transportation projects. #BuildUSAInfrastructure https://goo.gl/bfKsYy pic.twitter.com/35XLPxAKmo	#BuildUSAInfrastructure
Proud to receive the Friend of Farm Bureau award this AM. Thanks to the folks at @NRFarmBureau your commitment to #NEag. #Feedtheworldpic.twitter.com/29dESUsGXg	#NEag #Feedtheworldpic
I look forward to reviewing Judge Gorsuch’s record in great detail as part of the vigorous ‘advice and consent’ process #SCOTUSpic.twitter.com/WsIclYHc3a	#SCOTUSpic
The people spoke in the last election. The #Senate now has the responsibility to act on their wishes w/ a thorough confirmation process	#Senate
I’m encouraged to see @POTUS select #SCOTUS nom w/ a sharp intellect, steady judicial temperament& long history of upholding the rule of law	#SCOTUS
Discussed Nebraska agriculture priorities during my meeting with Gov. Sonny Perdue today. #NEAg #FeedtheWorldpic.twitter.com/HwHR8pQXMi	#NEAg #FeedtheWorldpic
I want to hear from all Nebraskans. If you're having trouble reaching my office by phone, please try my website: http://goo.gl/PGYLcC 	
Congrats to Elaine Chao on her confirmation as Sec. of Transportation. Looking forward to working w her to strengthen #infrastructure	#infrastructure
This troubling news is only further proof that the #IranDeal has not deterred Iran’s bad behavior.https://twitter.com/FoxNews/status/826098873378729985 …	#IranDeal
The horror of the Holocaust will never be forgotten. #HolocaustRemembranceDaypic.twitter.com/E63ebw4P6X	#HolocaustRemembranceDaypic
All life, at every stage, is sacred. #MarchForLife #ProLifeProWomanpic.twitter.com/56LxYAaBI0	#MarchForLife #ProLifeProWomanpic
. @March_for_Life is an important, peaceful rally that draws needed attention to pro-women, pro-life policies.	
Enjoyed greeting Nebraskans visiting our nation’s capital to participate in the annual #MarchForLife tomorrow. #ProudNebraskanpic.twitter.com/VJsE86GR3J	#MarchForLife #ProudNebraskanpic
It’s pretty simple: if you want a portrait, pay for it yourself #EgoAct http://goo.gl/pcQeDI 	#EgoAct
Happy to see the House passed 2 bills that I have led in the Senate: Kari's Law & Spoofing Prevention Act. @SenateCommerce to markup 2morrow	
I look forward to working with General Mattis to provide our military with the resources they need to keep American families safe.	
Experienced & honest, Gen. Mattis is exactly the type of leader our nation needs right now, given the many dangers we face around the world.	
I send my sincere congratulations to General Mattis on his confirmation for the position of Secretary of Defense.	
My full statement on #Inauguration2017pic.twitter.com/A67UrLQCJJ	#Inauguration2017pic
“Let us strive on to finish the work we are in, to bind up the nation's wounds, to care for him who shall have borne the battle...” #Lincolnpic.twitter.com/UzDUWTYXv9	#Lincolnpic
“… and will to the best of my ability, preserve, protect and defend the Constitution of the United States.” #PresidentTrump #Inauguration17	#PresidentTrump #Inauguration17
Ronald Reagan was the first president to be sworn in on the Western side of the Capitol because he wanted to face CA #Tradition	#Tradition
"Much has been given us, and much will rightfully be expected from us.” #TeddyRoosevelt #InaugurationQuotes	#TeddyRoosevelt #InaugurationQuotes
"This great nation will endure as it has endured, will revive and will prosper” #FDR #PresidentTrump #InaugurationQuotespic.twitter.com/09hq8mFaeC	#FDR #PresidentTrump #InaugurationQuotespic
Today I’m proud & humbled to witness history #inauguration #PresidentTrump #PeacefulTransitionOfPowerpic.twitter.com/aTsR6UxNXq	#inauguration #PresidentTrump #PeacefulTransitionOfPowerpic
Great view from the platform this morning. Looking forward to today’s ceremony #Inauguration2017pic.twitter.com/q4wCNSqgIo	#Inauguration2017pic
Powerful moment: Walking through the halls of the Capitol with my fellow senators on the way to #Inauguration2017	#Inauguration2017
“Intelligence, patriotism, Christianity and a firm reliance on Him who has never yet forsaken this favored land” #Lincoln #InaugurationQuotepic.twitter.com/TV87jSv9He	#Lincoln #InaugurationQuotepic
Inauguration day is here! Thankful to represent the great people of Nebraska. #Inauguration2017pic.twitter.com/s1uQWE1zeB	#Inauguration2017pic
Happy National Popcorn Day! Fun Fact: Nebraska is the largest producer of popcorn in the U.S. #ProudNebraskanpic.twitter.com/5vQjgu5enU	#ProudNebraskanpic
Great exchange w Sec. of Commerce nom Wilbur Ross at today’s @SenateCommerce hearing. We covered trade, NE ag & IoT. http://goo.gl/DzRrjo pic.twitter.com/phwO6U1Bg1	
In @SASCMajority, we just approved the nomination of General Mattis to be the next Secretary of Defense. #KeepingAmericaSafe	#KeepingAmericaSafe
In Scott Pruitt's @EPWmaj confirmation hearing, I highlighted the harmful EPA regulations Nebraskans have faced over the past 8 years. Watchpic.twitter.com/5z48Gc2C7s	
Congrats to @jacob_m_mcneill & @MattFredricks11 NE’s 55th annual @SenateYouth program delegates http://goo.gl/MsRUSV  #ProudNebraskan	#ProudNebraskan
This AM I’m participating in 2 confirmation hearings. Look fwd to hearing from AG Scott Pruitt in @EPWmaj & Wilbur Ross in @SenateCommerce	
Good conversation with @SBAgov nominee Linda McMahon today about encouraging our country's small businesses to grow & prosper.pic.twitter.com/LBd0WFG8lb	
“The time is always right to do what is right.” #MartinLutherKingJrDaypic.twitter.com/2mSPtIAx6t	#MartinLutherKingJrDaypic
Great photo from my staff of today's #WalkForLife event in LNK. Good to see such a great turn out for this important cause. #ProudNebraskanpic.twitter.com/ABUbsYGwP2	#WalkForLife #ProudNebraskanpic
In the #GOP address, I talk about the Senate’s 1st step to repeal #ObamaCare. Let’s put this law behind us & make life easier for families.pic.twitter.com/Gq4eDOcBvi	#GOP #ObamaCare
Some of my favorite places are on this #NETop50 list. So proud to represent such a beautiful state. #TheGoodLifehttp://goo.gl/kOVMpR 	#NETop50 #TheGoodLifehttp
General Mattis will bring “a mighty heart” to the job of #SecDef. Watch my interview with @KatyTurNBC on his confirmation hearing:pic.twitter.com/rRHtMezFwm	#SecDef
WOTUS would've hurt all Nebraskans. Today I intro’d resolution w/ @SenJoniErnst expressing need to vacate this rule: http://goo.gl/n8sMW0 	
Gen Mattis is the type of leader our nation needs. More about why I support his nom for #SecDef in my @IJReview opedhttp://goo.gl/tWEQfB 	#SecDef
The Senate has voted to put the tools in place to repeal #Obamacare. My full statement:pic.twitter.com/JY1fXqM1pH	#Obamacare
Take a look at my exchange with Sec. Elaine Chao during her @SenateCommerce confirmation hearing for Sec. of Transportation:pic.twitter.com/qE6LS7cLVl	
Honored to continue chairing the @SenateCommerce Surface Transportation Subcmte in the 115th Congress. My full statement:pic.twitter.com/61bHO5q0J1	
Glad to hear @DonJBacon will serve on @HASCRepublicans. Great news for NE & our nation. #KeepingAmericaSafe	#KeepingAmericaSafe
In my weekly column, I focus on my committee assignments for the 115th Congress. #WorkingforNE Read/watch for more: https://goo.gl/vePKSs pic.twitter.com/q24BeUv9jg	#WorkingforNE
My statement with @RepAdrianSmith on the VA’s decision to close a large part of the Hot Springs facility:pic.twitter.com/IIBn9SWb0w	
Proud to announce the nominations of 45 young Nebraskans to U.S. service academies. See the full list of names http://goo.gl/W0wmJu 	
Devastating news out of Ft. Lauderdale Airport. Praying for the victims and their loved ones. #FLL	#FLL
I was deeply impressed by General Mattis and his knowledge/understanding of the threats we face. I fully support his nomination to lead DoD.	
Today I had a great discussion with General Mattis about protecting U.S. national security and Nebraska's contributions to national defense.pic.twitter.com/HeBfq9ofsy	
Way to go @HuskerHoops! Awesome win against #Iowa last night. 3-0! #LockTheVault #NEBasketball #GBR	#Iowa #LockTheVault #NEBasketball #GBR
Saddened to hear about the passing of former Nebraska State Senator John Wightman. Read my full statement here:pic.twitter.com/0fGp19saZg	
Enjoyed meeting today with @GovernorPerry, President-elect Trump’s nominee for Energy Secretary.pic.twitter.com/YZw4ywSkTl	
Joined @SenJoniErnst & others to reintro #SarahsLaw today. Thru it, Congress can help keep our families safehttp://goo.gl/m0SCKY 	#SarahsLaw
The 115th Congress begins today. Read my op-ed in today’s @OWHNews on my goals for a brighter future #TheBestIsAheadhttps://goo.gl/xRpYO9 	#TheBestIsAheadhttps
Another great win for @HuskerHoops! #GBR #HuskerNation	#GBR #HuskerNation
An exciting new year filled with opportunity is before us. #HappyNewYear #2017pic.twitter.com/EU6BnJNbJ5	#HappyNewYear #2017pic
Way to go, @HuskerHoops! Congrats on the win against Indiana tonight. #GBR	#GBR
Our family wishes you a very Merry Christmas filled with love and joy. #ChristmasOnTheRanchpic.twitter.com/HA4leVRVws	#ChristmasOnTheRanchpic
To all who begin celebrating #Hannukah this evening, Bruce and I wish you a bright and festive holiday. #HappyHannukahpic.twitter.com/mKzXl565sc	#Hannukah #HappyHannukahpic
I just wanted to take a moment to wish you a #MerryChristmas. I hope you have a wonderful & joyful holiday.pic.twitter.com/dWjvvSQZXP	#MerryChristmas
I’m proud of the work accomplished for Nebraska in 2016. Check out my new booklet highlighting these achievements: https://goo.gl/54KVi6 pic.twitter.com/NZbmdNLZqT	
Read my column on the #CHIPINforVets Act in the @KearneyHub. This law will help meet the medical needs of our #vets https://goo.gl/wk41lL 	#CHIPINforVets #vets
. @NPtelegraph thanks for sharing. It's so important to remember all those serving & their families this holiday season. #NEheroes	#NEheroes
Excited to continue my work on transportation in the new year. Read more in today's @journalstarnews editorial:http://journalstar.com/news/opinion/editorial/editorial-sen-fischer-on-the-road-to-success/article_1deba50e-686f-53a0-b1ce-32f855d839e0.html …	
Great food/convo about north Omaha biz & growth with BC Clark, Jim Reiff of @NEfund1. Thx to Don Curry for delicious meal at @OmahaRocketspic.twitter.com/c1fe9dJ7Th	
In La Vista touring the @RNDC_USA warehouse. Fun fact: #RNDC is the 2nd largest wine & spirits distributor in the USpic.twitter.com/TMHCVpSerz	#RNDC
. @GarySadlemyer celebrates 40 years at @kfabnews today. Congrats & thanks for all you do to bring news to Nebraskanspic.twitter.com/GDg0klfUos	
Always ready. Always there. Happy 380th birthday to @USNationalGuard. #Service #AnsweringTheCall @NENationalGuardpic.twitter.com/fOd3Y7h2ng	#Service #AnsweringTheCall
I collaborated with the Omaha VA, members of the Omaha community, and my House colleague, @RepBradAshford, on this important bill.	
Proud to see #Senate pass #NDAA to provide our military with resources they need to keep our nation safe. #SupportOurTroopspic.twitter.com/F82SW901zt	#Senate #NDAA #SupportOurTroopspic
Disappointed that this good bill for our #vets is being blocked by @Sen_JoeManchin. #GetItDone #OmahaVA (2/2)	#vets #GetItDone #OmahaVA
My statement on the nomination of Scott Pruitt for @EPA administrator:pic.twitter.com/1hdH8OzkoE	
Happy to see 21st Century Cures is now headed to the president's desk. #CuresNow My full statement:pic.twitter.com/7xIgX4JCqR	#CuresNow
On #PearlHarborRemembranceDay, we remember the American lives lost in the attack 75 years ago and honor their memory. #PearlHarbor75pic.twitter.com/IJAXH4nMPI	#PearlHarborRemembranceDay #PearlHarbor75pic
As a member of @SenateCommerce, I appreciated my conversation w/ Sec. of Commerce nominee Wilbur Ross about his priorities & goals.pic.twitter.com/hy4SdZtQxF	
I look forward to working closely with Secretary Chao during the confirmation process. https://goo.gl/xZCMQo 	
Great visit with my friend Secretary Chao today. We had an exchange of ideas for addressing transportation & infrastructure challenges.pic.twitter.com/TtrURBoxzu	
