Religious freedom does not have to come at the expense of women's health.	
To me, the Golden Rule means we have an obligation to care for all of the living things that share this planet with us. #WorldEnvironmentDaypic.twitter.com/SPrYZE2ukH	#WorldEnvironmentDaypic
The EPA Administrator and his staff should be able to read and keep up with the latest science. #ClimateChangeIsRealhttps://www.technologyreview.com/s/608015/trump-misused-mit-research-in-reasons-for-ditching-climate-deal/ …	#ClimateChangeIsRealhttps
President Trump has decided to withdraw U.S. from the Paris Climate Agreement, abandoning economic opportunity and potential to create jobspic.twitter.com/rhQOOXwipX	
The Paris Agreement is a good deal for America. President Trump's decision to withdraw U.S. is a good deal for China http://time.com/4800747/china-climate-change-paris-agreement-trump/ …pic.twitter.com/Z3MWXRe0UD	
Scott Pruitt has long history of standing with industry over doctors. No surprise he’s been pushing President Trump to leave #ParisAgreementhttps://twitter.com/politico/status/870165280848314368 …	#ParisAgreementhttps
Withdrawal from #ParisAgreement means we'd stand with Assad instead of leading global efforts to #ActOnClimate and overcome global warmingpic.twitter.com/ROZLpJ2cdx	#ParisAgreement #ActOnClimate
Last year, one in 50 jobs created in the U.S. were in the solar industry. We should stay on a clean energy path and stay in #ParisAgreement.pic.twitter.com/yRgEMDk1TH	#ParisAgreement
#TBT to 2009 when Donald Trump urged President Obama to lead the world by example & #ActOnClimate. Will President Trump heed his own advice?pic.twitter.com/ypjAJi4GpB	#TBT #ActOnClimate
Climate change is bad for businesses. That's why American businesses are urging President Trump to keep the U.S. in the #ParisAgreement.pic.twitter.com/ddk32zHduN	#ParisAgreement
Withdrawing U.S. from #ParisAgreement would "cause serious diplomatic damage" & diminish America's global leadershiphttps://www.theatlantic.com/international/archive/2017/05/paris-agreement-trump/528621/?utm_source=atltw …	#ParisAgreement
#ClimateChangeIsReal and we must act now. The U.S. should lead the global fight against climate change, not withdraw from it #ParisAgreementpic.twitter.com/orL1uBARiA	#ClimateChangeIsReal #ParisAgreementpic
The House Republican health care bill isn’t about health care at all, it’s about politics.https://twitter.com/SenatorCarper/status/867515963788464128 …	
The first #CBOscore sunk the AHCA's chances of getting a vote. Now we know why House GOP rushed to pass this version—it’s just as bad.	#CBOscore
He's out of the country but I hope he gets our message. President Trump, stand with these 195 signers and stay in the #ParisAgreement.pic.twitter.com/c8nu5fA650	#ParisAgreement
The White House is ignoring questions they don't want to answer. That's not how it's done. cc: @SenateDemshttps://www.washingtonpost.com/news/powerpost/wp/2017/05/24/in-letter-to-trump-democrats-accuse-white-house-of-intentionally-withholding-information/?utm_term=.8d84af65bf31 …	
Communities can't ignore rising seas and the vestiges of climate change. President Trump, #ClimateChangeIsReal. Stay in the #ParisAgreement.pic.twitter.com/aJckqafaXZ	#ClimateChangeIsReal #ParisAgreement
Walking away from the historic #ParisAgreement will have real costs to our economypic.twitter.com/xNQABMzULW	#ParisAgreement
If President Trump withdraws the U.S. from the #ParisAgreement, he will cede global leadership and thousands of clean energy jobs to Chinapic.twitter.com/HVGWhJnmRx	#ParisAgreement
Pope Francis understands the moral obligation we have to be good stewards of our planet and #ActOnClimate for the generations to comepic.twitter.com/45g2BQNPrK	#ActOnClimate
I often say government's role is to create a nurturing environment for job creation and job growth. #TrumpBudget would do just the opposite.	#TrumpBudget
This recklessness flies in the face of President Trump's promise to ensure that all Americans have better, less expensive health insurance.https://twitter.com/SenatorCarper/status/866783154702602241 …	
The Trump Administration's continued assault on the ACA's insurance marketplaces is sowing confusion and fearhttps://www.nytimes.com/2017/05/20/us/politics/trump-death-spiral-affordable-care-act.html …	
If President Trump disclosed classified information to Russian officials, @ODNIgov must conduct an intelligence damage assessmentpic.twitter.com/V387VCbomN	
Very encouraged by the news. This appointment is a tremendous step toward giving Americans the truth they deserve.https://www.nytimes.com/2017/05/17/us/politics/robert-mueller-special-counsel-russia-investigation.html?smid=tw-nytimes&smtyp=cur …	
We asked Scott Pruitt how @EPA will curb harmful emissions without the #CleanPowerPlan. He sent us press releases. https://www.carper.senate.gov/public/index.cfm/pressreleases?ID=46008FA5-EE01-403D-ABC3-C3BE5D38EA21 …pic.twitter.com/nleAOYhOTQ	#CleanPowerPlan
We have a saying in the U.S. Navy: Loose lips sink ships.pic.twitter.com/3RecQEXoYV	
Aetna is pulling out of all ACA marketplaces in 2018, leaving Delaware with only one insurer in its individual health insurance market.pic.twitter.com/xIH9Mj7QgN	
Congress must appoint a special counsel to ensure that findings on Russia's influence in the 2016 election are not clouded by partisanship.	
Why did AG Sessions—who's recused himself from the investigation on Russia's interference in the '16 election—have any role in the decision?	
What changed since the president took office for him to lose confidence in FBI Director Comey’s ability to do the job?	
Shocked and deeply concerned by President Trump’s firing of FBI Director James Comey. This decision raises more questions than it answers.	
Scott Pruitt's aggressive denial and dismissal of scientific principles will not prevent the seas and temperatures from rising	
A message to President Trump from businessman Donald Trump in 2009. Let's continue to "lead the world by example" & stay in #ParisAgreementpic.twitter.com/OJTpQd66Hn	#ParisAgreementpic
The AHCA's $800+ billion cut to Medicaid would cause millions of people to lose Medicaid coverage. That's the truth.https://www.vox.com/2017/5/7/15572854/price-medicaid-ahca-gop …	
Before the ACA, more than 150,000 Delawareans could be denied health insurance due to preexisting conditions. We can't go back.pic.twitter.com/617HbGRq0n	
House GOP playing "Rocky" theme song to get amped for #Trumpcare vote. Lives are at stake. We are better than this.http://thehill.com/policy/healthcare/331907-gop-predicts-victory-on-obamacare-repeal-vote …	#Trumpcare
Impossible to "be optimistic about life" when #Trumpcare will cause 24 million people to lose their health insurancehttp://www.cnn.com/2017/05/02/politics/republican-health-care-bill/ …	#Trumpcare
Can House GOP explain why members of Congress are the only people entitled to protections for preexisting conditions under AHCA?	
What we don’t know is the damage AHCA will have on middle class families and our economy because House GOP plan to vote without a CBO score.	
We know that AHCA will kick more than 20 million Americans off their health insurance plans.	
Happening soon in the Senate: a vote on a CRA that will make it harder for Americans to save for retirement. I'm voting NO. #SaveRetirement	#SaveRetirement
Put lipstick on a pig & it’s still a pig. The Upton amendment doesn't change that people with preexisting conditions will suffer under AHCA.	
No amount of money changes the fact that #AHCA lets insurance companies decide who gets health care and for how muchhttps://www.nytimes.com/2017/05/02/us/politics/health-care-paul-ryan-fred-upton-congress.html …	#AHCA
Talk about conflict of interest. Administrator Pruitt owes us answers. https://www.carper.senate.gov/public/index.cfm/pressreleases?ID=06481CCF-A6C8-44D2-99C6-37ADCFBCB164 …https://twitter.com/SenatorCarper/status/859496487985840132 …	
Thank you for introducing this historic bill, @SenJeffMerkley. Proud to be a cosponsor. #EqualityForwardhttps://twitter.com/SenJeffMerkley/status/859426205908561920 …	#EqualityForwardhttps
On #WorldAsthmaDay, let’s all urge Administrator Pruitt to help make #CleanAir4Kids.https://twitter.com/SenatorCarper/status/859436336381661185 …	#WorldAsthmaDay #CleanAir4Kids
Well, this is welcome news!https://twitter.com/sahilkapur/status/859087277061963777 …	
Mr. President, please read your bill. It puts Americans with pre-existing conditions back at the mercy of insurance companies.https://twitter.com/FaceTheNation/status/858695550383919104 …	
Delawareans at the #climatemarch are speaking truth to power, loud and clear: the First State can't wait to #ActOnClimatepic.twitter.com/L1UGHxEWtd	#climatemarch #ActOnClimatepic
We stand to lose so much if we fail to act now on climate change. We won't back down. #climatemarchpic.twitter.com/I6E4P9a82g	#climatemarchpic
Happy to stand with Massachusetts Attorney General @maura_healey at the #climatemarchpic.twitter.com/HEKO3D0gDm	#climatemarchpic
Need a reason to join us at the #climatemarch today?https://twitter.com/senatorcarper/status/855080172114071553 …	#climatemarch
We should be working together to make sure that our children and grandchildren have clean air to breathe, air that's free from air pollutionpic.twitter.com/NfWMkm7xyu	
And #AHCA will hurt the oldest, sickest and most vulnerable among us the most. It breaks every single one of Trump’s promises on health care	#AHCA
After an unimpressive #Trump100Days, #Trumpcare aims to dazzle by jeopardizing the health care of >20 million peoplehttp://www.delawareonline.com/story/opinion/editorials/2017/04/25/editorial-100-unimpressive-days-trump/100895690/ …	#Trump100Days #Trumpcare
My heart is in Delaware, and it breaks for the loved ones of the Delaware State Police trooper who will not return home this evening.	
That's the point, Mr. President. The #AntiquitiesAct keeps our beautiful lands beautiful.pic.twitter.com/r6P5KuIugK	#AntiquitiesAct
Trump once said, "we need absolutely crystal clear and clean water." I agree. Rolling back the #CleanWaterRule won't help us on clean water.	#CleanWaterRule
Despite what some may say, the #CleanWaterRule was finalized after a massive public engagement efforthttps://twitter.com/senatorcarper/status/857248099709972480 …	#CleanWaterRule
Before issuing the #CleanWaterRule, @EPA: hosted hundreds of public meetings reviewed one million comments met with stakeholders	#CleanWaterRule
We're happy to pinch hit for this one. #VisitWilm and enjoyhttps://twitter.com/mattgelb/status/856942398483701760 …	#VisitWilm
Americans deserve to know that those at the highest levels of our government are following the rules and serving the public, not themselves	
. @CREWcrew analysis is clear: Trump is financially benefiting from the Trump Hotel’s Old Post Office Building leasehttp://money.cnn.com/2017/04/25/news/crew-senate-gsa-investigation-complaint/ …	
We can’t let politics get in the way of the truth. We can’t attack scientists for their earnest, nonpartisan work.	
There are no alternative facts when it comes to climate change. And there’s no alternative planet.https://www.washingtonpost.com/news/energy-environment/wp/2017/04/24/record-breaking-climate-events-all-over-the-world-are-being-shaped-by-global-warming-scientists-find/ …	
Yes, we have questions too. cc: @SenateDemshttps://twitter.com/EricLiptonNYT/status/856586957576708096 …	
Running up our nation's debt for a multi-billion dollar border wall is not a border security strategy. We need to be smarter, less wasteful.	
We #MarchForScience on #EarthDay to speak truth to power. We won't stand idly by and let science be silenced.https://twitter.com/senatorcarper/status/855080172114071553 …	#MarchForScience #EarthDay
On every #EarthDay, we renew our commitment to pass on a cleaner planet to our children than the one we inherited	#EarthDay
Kicking off the March for Science in Newark! #marchforscience #sciencenotsilencepic.twitter.com/DXLQDa6NGp	#marchforscience #sciencenotsilencepic
In countless communities like Odessa, #climatechange isn't just an environmental issue. It's a transportation issue. And it's a safety issuepic.twitter.com/FEgrYsjOVZ	#climatechange
Sea level rise is not just a problem for our beaches. In the lowest lying state, sea level rise hurts urban areas like South Wilmington, too	
On this day before #EarthDay, I'm traveling across Delaware to see the impacts #ClimateChange already has on our state. Follow along! #netDE	#EarthDay #ClimateChange #netDE
The @EPA must be #GuidedByScience—not taken “back to basics” by rolling back progress to protect public health and the environment	#GuidedByScience
#TBT to 1972 in Birmingham, Alabama. A nearby plant produces thick smog that envelopes the neighborhood. #EPABack2Basicspic.twitter.com/CRnOGenB3M	#TBT #EPABack2Basicspic
#TBT to this illegal dumping site off the NJ Turnpike in 1973. Under absurd budget cuts, will #EPABack2Basics have manpower to stop dumping?pic.twitter.com/Q3WfeQodtO	#TBT #EPABack2Basics
#TBT to Houston, Texas in 1972, where a factory burned discarded automobile batteries and polluted the air with toxic smoke. #EPABack2Basicspic.twitter.com/PvT4B6mgTq	#TBT #EPABack2Basicspic
#TBT to Lake Charles, Louisiana in 1972. Families swam in polluted waters as a nearby chemical plant emitted sulfur fumes. #EPABack2Basicspic.twitter.com/GMzUJx92gW	#TBT #EPABack2Basicspic
#TBT to 1972 in Tacoma, Washington. Children played outside as a smelter stack filled the air with arsenic and lead residue. #EPABack2Basicspic.twitter.com/cxFc6xGbQc	#TBT #EPABack2Basicspic
#TBT to the Baltimore Harbor in Maryland in 1973, when old tires and other trash littered the harbor. #EPABack2Basicspic.twitter.com/Fdu84zh0nN	#TBT #EPABack2Basicspic
In honor of #TBT, I’m sharing photos of what #EPABack2Basics looks like: America before @EPA's protections for environment and public health	#TBT #EPABack2Basics
Scott Pruitt’s plan to take #EPABack2Basics takes us back to when our air was filled with toxic smoke and our water was polluted with waste	#EPABack2Basics
For 30 years, we’ve worked hard to clean up our air. It’s senseless to actively undo that progresshttp://thehill.com/policy/energy-environment/329409-epa-considers-repealing-two-obama-air-pollution-rules …	
We can't allow @EPA to abdicate its basic duty to protect public health by letting industries write their own regulationshttps://twitter.com/EPWDems/status/854433001412993027 …	
It's #TaxDay! I'm offering some free tax advice to President Trump:pic.twitter.com/c1ClsmNGMv	#TaxDay
Over 11 million Americans depend on a healthy Chesapeake Bay. We're fighting together to protect it.pic.twitter.com/z2FcqvUojk	
Scott Pruitt is wrong. We can and have been protecting our environment, growing our economy and creating jobs.https://twitter.com/mmfa/status/852549576288595969 …	
Trump said he doesn't want people to get hurt. But this would create chaos in the health insurance marketplace and, ultimately, hurt people.https://twitter.com/WSJPolitics/status/852263968617922561 …	
Thank you to my friend @SenBillNelson for calling attention to impacts of sea level rise & why we must be #GuidedByScience on climate changehttps://twitter.com/MiamiHerald/status/851816612424503296 …	#GuidedByScience
Unlike my Republican colleagues last year, I upheld my constitutional duty to vote on Judge Gorsuch.	
Why I believe we must #StopGorsuch: https://www.carper.senate.gov/public/index.cfm/e-newsletter?ID=5233B71F-43DF-4753-AE1E-5EFC694155D9 …	#StopGorsuch
History will judge us. I fear history may judge us poorly if anyone other than Merrick Garland is confirmed. #StopGorsuch	#StopGorsuch
I oppose Judge Gorsuch's nomination. Anything else would be a stamp of approval for playing politics with SCOTUS nominees. #StopGorsuch	#StopGorsuch
A good man was treated badly. And so was our Constitution. I believe Judge Garland still deserves a hearing and a vote.	
Judge Garland, one of the most qualified judges in the country, waited 293 days for a hearing and a vote that ultimately never came	
The unprecedented obstruction Republicans mounted last year against Judge Garland was a shameful chapter for the United States Senate	
Any effort to suppress the truth is unacceptable. I want the facts from Scott Pruitt	
I'm deeply disturbed by reports that senior @EPA officials tried to deceive taxpayers on the costs of bad legislation for political purposeshttps://twitter.com/EPWDems/status/849397232394743810 …	
We don't have to choose between a strong economy and a healthy environmenthttp://delonline.us/2nCfwma 	
I've never heard of a "patient-centered" health plan that doesn't include coverage for essential services, like outpatient care and ER tripshttps://twitter.com/CNN/status/847471138166812678 …	
I #StandWithPP and other providers of these vital health care services. The #TitleX CRA is cruel and irresponsible.https://twitter.com/SenatorCarper/status/847500747973337088 …	#StandWithPP #TitleX
Well, I don't mind lending my words to a good cause!https://twitter.com/johnupton/status/847457415981277186 …	
Hours after @SenWarren and I sent this letter, Ivanka Trump announced she will change her employment status in the White House officehttps://twitter.com/ABCPolitics/status/847146703455207424 …	
Trump's attack on environmental protections is a bad deal for Delaware, the lowest-lying state in the nationhttp://www.delawareonline.com/story/news/local/2017/03/28/delaware-may-have-lost-again-trumps-energy-order/99739348/ …	
We stand together against Trump's executive order to abandon the #CleanPowerPlan and key #climatechange initiatives https://www.carper.senate.gov/public/index.cfm/pressreleases?ID=B51BB5B1-726C-4BDA-8940-CF09917996E4 …pic.twitter.com/ngSHQaao9L	#CleanPowerPlan #climatechange
Undoing the #CleanPowerPlan and other climate initiatives, including critical resiliency projects, is not just irresponsible—it’s irrational	#CleanPowerPlan
My father was a coal miner. I understand the plight of coal miners. The #CleanPowerPlan isn’t the coal industry’s problem—market forces are.https://twitter.com/thehill/status/846665930117664769 …	#CleanPowerPlan
Walking away from the #CleanPowerPlan will have real costs to our environment, our economy and our healthpic.twitter.com/kp0gmcUBvK	#CleanPowerPlan
A "bad deal" for our children and grandchildren is not addressing the greatest environmental threat of our time: #climatechangehttps://twitter.com/ABC/status/846000226351558660 …	#climatechangehttps
We can work together and improve the Affordable Care Act if Republicans give up on their unrealistic mission to repeal it.	
Trump said that health care is complicated. Well, so is governing. One way to make it easier is to reach across the aisle and work together.	
Trump promised better health coverage and greater access to health care for all Americans at a lower cost. #Trumpcare broke those promises.	#Trumpcare
Saying goodbye to #Trumpcare like...pic.twitter.com/pV5PCeNufB	#Trumpcare
The business of the President of the United States is the business of the people of the United States.https://twitter.com/thehill/status/845343721050853380 …	
Many Americans don’t remember a time before the @EPA. Today the agency's work is more critical than ever before. http://time.com/4696104/environmental-protection-agency-1970-history/ …	
While #TrumpCuts funding for vital programs, USSS asks for additional $60 million to pay for his trips to Mar-A-Lagohttps://www.washingtonpost.com/politics/secret-service-asked-for-60-million-extra-for-trump-era-travel-and-protection-documents-show/2017/03/22/0967e7b6-0a85-11e7-a15f-a58d4a988474_story.html?utm_term=.d8ed0e8b9acd …	#TrumpCuts
Republicans in the House are asking Americans to #PayMoreForLess care. Unconscionable.http://www.vox.com/2017/3/20/14988750/ahca-medicaid-obamacare-work-requirements-block-grant-ryan-trump …	#PayMoreForLess
I voted NO on H.J. Res 69, which allows cruel and inhumane hunting practices in Alaska's #WildlifeRefuges. We must protect precious wildlifepic.twitter.com/rbm1T8Gb6G	#WildlifeRefuges
I urge my Republican colleagues to heed his warnings about the devastating consequences of this billhttps://twitter.com/voxdotcom/status/843819427426680832 …	
We the people will not stand down to those who try to spread hate and sow fear in our communities. We stand togetherhttp://delonline.us/2nbzdUI 	
The #TrumpBudget puts vital programs on the chopping block and shows his disregard for the real concerns of familieshttp://www.delawareonline.com/story/news/2017/03/16/trump-budget-proposal-cuts-deep-delaware/99257830/ …	#TrumpBudget
Grateful to be delivering meals with volunteer Florence Mason today. @_MealsOnWheels does so much good for Delawareans. We must protect it.https://twitter.com/SenatorCarper/status/842787988987961344 …	
Just delivered #MealsOnWheels to Jack, a former Marine in Georgetown. He says he's grateful for the program's great meals and companionshippic.twitter.com/6Izb2FXny6	#MealsOnWheels
#FreeAdviceIn5Words: Don't eviscerate the EPA's budget.https://weather.com/science/environment/news/america-before-epa-photos-images …	#FreeAdviceIn5Words
To call the #TrumpCuts draconian would be an understatement—his budget blueprint isn't a serious policy proposal, it's a political statement	#TrumpCuts
Introduced this bill with 23 colleagues to ensure no hard-earned taxpayer dollars are wasted on an ineffective border wall. #NoBanNoWallpic.twitter.com/mSVuCXmtgL	#NoBanNoWallpic
Another victory in court for our Constitution and for our values as a nation #NoMuslimBanhttps://twitter.com/nytimes/status/842150485213749250 …	#NoMuslimBanhttps
I urge @EPA Administrator Pruitt to reject calls to roll back the Endangerment Finding, Carbon Pollutions Standards and the #CleanPowerPlanpic.twitter.com/dVSa7pHnLf	#CleanPowerPlanpic
Cutting $880 billion for the most vulnerable children, seniors and people with disabilities is a cruel choice that's beneath us as a country	
These changes to Medicaid are not "entitlement reform." Nothing in this bill would improve health outcomes or increase coverage in Medicaid.https://twitter.com/voxdotcom/status/841608597549268992 …	
Under the GOP health plan, insurers will be allowed to jack up prices for older enrollees, skyrocketing premiums for seniors. Unacceptable.	
These numbers speak for themselves.pic.twitter.com/TuMxaUELdd	
Expected a whole lot more from the folks promising for years that they would insure more Americans for lower costshttp://www.usatoday.com/story/news/politics/2017/03/13/cbo-obamacare-repeal-increase-uninsured-24-million-2026/99117332/ …	
. @USCBO what is #Trumpcare's effect on small businesses? How would it impact premiums for older workers in small business? #NoScoreNoVote	#Trumpcare #NoScoreNoVote
Either our nation's chief environmental officer is unaware of scientific facts, or he is intent upon misleading the public.https://twitter.com/SenatorCarper/status/839897345865170944 …	
I think 97% of the world’s scientists were surprised to learn this today! I know I was.pic.twitter.com/HmGWFBuQYC	
By using this app, White House staffers could be breaking federal records laws and endangering our national securityhttp://thehill.com/policy/cybersecurity/322963-wh-staffer-favorite-encrypted-chat-app-had-easy-to-target-security-flaws …	
Troubled by reports that White House press staff and NSC staff may be skirting federal recordkeeping requirements to prevent press leakshttps://twitter.com/SenatorCarper/status/839610240987455489 …	
Some questions for @USNatArchives about the administration’s compliance with federal records and transparency laws: https://www.carper.senate.gov/public/_cache/files/84255ca0-b7b5-4d94-8036-62cef5e275d6/2017-03-07-mccaskill-carper-letter-to-archivist-ferriero-press-.pdf …	
Federal conflict of interest laws prohibit federal officials from profiting off government work. We have some questions about Jared Kushner.pic.twitter.com/eRrVVxwTe6	
Grateful for the women on my team who help me serve Delaware & our nation. Wearing red to support #InternationalWomensDay #DayWithoutAWomanpic.twitter.com/GuULglDvUA	#InternationalWomensDay #DayWithoutAWomanpic
I will, Cora. We owe it to our children, grandchildren and future generations to speak up and be good stewards of the environmentpic.twitter.com/eJkWiYnMPP	
Americans will pay more for worse coverage under this bill, while millions of Americans lose coverage altogetherhttp://www.vox.com/2017/3/7/14844446/standard-poors-sp-ahca-obamacare-repeal-replace …	
This bill fails on almost every front—but does keep the many GOP campaign promises to cut taxes on wealthy Americanshttps://www.nytimes.com/2017/03/06/upshot/gop-health-bill-would-cut-funding-for-poor-and-taxes-on-rich.html …	
Trump promised better care and lower costs. Neither is true under #Trumpcare.	#Trumpcare
#Trumpcare defunds Planned Parenthood, reducing access to contraception and putting the health of women at risk. I #StandWithPP	#Trumpcare #StandWithPP
#Trumpcare makes insurance less affordable for more Americans, and hurts the most vulnerable Americans among ushttp://www.vox.com/2017/3/7/14837946/american-health-care-act-cancer-hiv-chronic-disease …	#Trumpcare
Trump has already taken four trips to Mar-a-Lago, and he's conducted official business in view of members and guestshttp://thehill.com/blogs/floor-action/senate/322539-senate-dems-want-white-house-mar-a-lago-visitor-records-made-public …	
Proud to cosponsor this bill—I hope others will join us and Congress acts soonhttps://twitter.com/KamalaHarris/status/838828259873800192 …	
Make no mistake, the redesigned #MuslimBan signed by Trump today is still fundamentally un-Americanhttp://nyti.ms/2lwGE9l 	#MuslimBan
This is non-sensical. Ethics training is a requirement for my staff, including interns. Why not White House staff?http://www.politico.com/story/2017/03/trump-ethics-white-house-235586 …	
The science on #climatechange is not up for debate—and it continues to be measured, documented and reported each dayhttp://www.reuters.com/article/us-antarctica-temperatures-idUSKBN1684I7 …	#climatechange
Proud to stand for #DCStatehood. It's a matter of fairness and equality for the 680,000+ people who live in D.C.pic.twitter.com/wuz0aRFYHB	#DCStatehood
With the stroke of his pen, Trump has allowed the EPA to abandon #cleanwater protections and create uncertaintyhttp://www.delawareonline.com/story/opinion/editorials/2017/02/28/editorial-clean-water-repeal-effort-misgided/98544490/ …	#cleanwater
Before we rush to repeal the #ACA we must consider the millions of Americans who rely on it every daypic.twitter.com/oQj6Rj9V8L	#ACA
The Clean Water Rule protects streams that supply drinking water to 117 million Americans. They deserve #cleanwater	#cleanwater
Reckless spending cuts to @EPA will do more harm than good and put people across the country at risk http://usat.ly/2mwexnI  via @usatoday	
The Oklahoma AG's request for more time to produce documents that they've failed to produce for 2+ years now is just more obstructionhttps://twitter.com/thehill/status/835208191893995525 …	
Trump’s decision to reverse guidance to #ProtectTransKids is a cruel & harmful step backward. It's just plain wrong.http://www.reuters.com/article/us-usa-trump-lgbt-idUSKBN161243 …	#ProtectTransKids
The Affordable Care Act has helped millions of American families gain access to affordable #health care. I will fight to protect their care.pic.twitter.com/VQCkkRYAiG	#health
The scientific consensus on climate change is overwhelming. We must do the right thing: rely on #science and #ActOnClimatepic.twitter.com/4KLZVxB8fI	#science #ActOnClimatepic
Global warming is a reality that we can't afford to ignore. The @EPA must be #GuidedByScience in its efforts to protect this planet.pic.twitter.com/lC3HuRMBp6	#GuidedByScience
A wise man once said, "the time is always right to do what is right." It's not too late for my colleagues to do right by the American peoplepic.twitter.com/XEVwq6jgqL	
My colleagues are making a mistake to move this nomination forward without reviewing these documents #PostponePruitthttp://www.nbcnews.com/news/us-news/scott-pruitt-president-trump-s-epa-nominee-ordered-release-thousands-n722161 …	#PostponePruitthttp
If the shoe were on the other foot, moving forward on this nomination would be unthinkable. #PostponePruitthttps://twitter.com/SenBobCasey/status/832621087326285825 …	#PostponePruitthttps
Thank you @SenJeffMerkley. Americans have a right to see what's in those emails. #holdthefloor #delaythevotehttps://twitter.com/SenJeffMerkley/status/832593420724076545 …	#holdthefloor #delaythevotehttps
Joanna, I share your concerns. Protections for the environment and public health must be #GuidedBySciencepic.twitter.com/dPr7VItTMa	#GuidedBySciencepic
From the @latimes: Why putting Pruitt in charge of the EPA poses an irreversible risk to the planet #RejectPruitt http://www.latimes.com/opinion/editorials/la-ed-trump-pruitt-epa-senate-20170204-story.html …pic.twitter.com/mCiYTJwhvh	#RejectPruitt
We must carefully review this new information before we cast a vote on Scott Pruitt's nomination #holdthefloorhttps://www.buzzfeed.com/dinograndoni/scott-pruitt-emails?utm_term=.gg9EE7xB75#.lpEvv8k584 …	#holdthefloorhttps #
In the halls of the @uscapitol, wise words from President Roosevelt as we #holdthefloor on the nomination of Scott Pruittpic.twitter.com/SRAwgYVu06	#holdthefloor
Sandy, I hear you and I share your concerns about climate change and the future of the EPA. That's why I urge my colleagues to #RejectPruittpic.twitter.com/617P5Qdcmu	#RejectPruittpic
There's no excuse for Scott #Pruitt's stonewalling. Now these documents will be available by Tuesday. #holdthefloor!http://www.usnews.com/news/politics/articles/2017-02-07/lawsuit-trump-cabinet-nominee-has-not-turned-over-records …	#Pruitt #holdthefloor
We'll be here to #holdthefloor all night, urging Republicans to delay the vote on Scott #Pruitt's nominationhttp://www.rollcall.com/news/politics/senate-democrats-plan-nighter-epa-nominee …	#holdthefloor #Pruitt
Scott #Pruitt is not an advocate for states' rights, he is a self-proclaimed advocate against the @EPA http://www.denverpost.com/2016/12/08/scott-pruitt-is-too-extreme-for-epa-post/ … #RejectPruittpic.twitter.com/y1LjlLqfJs	#Pruitt #RejectPruittpic
It would be wholly irresponsible for the Senate to vote on Scott #Pruitt knowing that we don’t have the full picturehttps://www.washingtonpost.com/news/energy-environment/wp/2017/02/16/on-eve-of-confirmation-vote-judge-orders-epa-nominee-to-release-thousands-of-emails/?utm_medium=twitter&utm_source=dlvr.it&utm_term=.c739e69e279a …	#Pruitt
My Republican colleagues insisted on forcing #Pruitt through the Senate without complete info. Today’s ruling should finally give them pause	#Pruitt
When @EPWDems requested pertinent public documents from Scott Pruitt, we were told to wait our turn at the back of a two-year long line	
Climate change is an urgent threat to our public health and economy. Scott Pruitt will roll back progress to #ActOnClimate. #RejectPruittpic.twitter.com/WEFDtKSPKq	#ActOnClimate #RejectPruittpic
I agree with my colleague, @SenFranken: Scott Pruitt would be a step backward, not a step forward, for environmental progresshttps://twitter.com/SenFranken/status/832332447677288452 …	
The @EPA's mission is to protect the environment and public health. Scott Pruitt's mission is to dismantle the EPA. We must #RejectPruittpic.twitter.com/x9xGJ0Z4og	#RejectPruittpic
For the Earth's future, "the choice of someone so openly hostile to the EPA's mission is unacceptable" #RejectPruitthttp://www.usatoday.com/story/opinion/2017/01/31/scott-pruitt-epa-environment-editorials-debates/96949070/ …	#RejectPruitthttp
Thank you @SenatorHassan. I agree with you that we should be building on progress made to #ActOnClimate, not rolling it backhttps://twitter.com/SenatorHassan/status/832312111221071876 …	#ActOnClimate
It is unfathomable that the Senate is considering an EPA Administrator who is so disdainful of the @EPA itself #RejectPruittpic.twitter.com/YMZP5F2Phj	#RejectPruittpic
Thank you @SenatorShaheen for urging bipartisan cooperation to #RejectPruitt and protect our environment and public health	#RejectPruitt
We need answers. We need the truth. We're going to #holdthefloor on Scott Pruitt’s nomination. Ready, @SenateDems?	#holdthefloor
Republicans are forcing through Scott Pruitt’s nomination while he refuses to answer @EPWDems' questions. We object! Americans object!	
Heading to the floor to vote against the #Mulvaney nom for OMB. Won't see this side of the Senate subway for the next 30 hrs. #holdthefloorpic.twitter.com/JCVUBWBXaM	#Mulvaney #holdthefloorpic
The Senate must #RejectPruitt until we know the whole truth about his ties to polluters as Oklahoma's Attorney Generalpic.twitter.com/CLDE5AimAK	#RejectPruitt
I remind my colleagues: the #EndangeredSpeciesAct's value is not just the inherent value of the animals and plants we share this planet withpic.twitter.com/MSFCfr64an	#EndangeredSpeciesAct
Once again, #ThankYouSallyYates. Despite pushback, #ShePersisted.https://www.washingtonpost.com/world/national-security/justice-department-warned-white-house-that-flynn-could-be-vulnerable-to-russian-blackmail-officials-say/2017/02/13/fc5dab88-f228-11e6-8d72-263470bf0401_story.html?utm_term=.eaa3562f9378 …	#ThankYouSallyYates #ShePersisted
Conway's comments made clear that she doesn't understand her ethical obligations—or doesn't take them seriouslyhttp://blogs.wsj.com/washwire/2017/02/14/ethics-office-calls-for-white-house-probe-into-kellyanne-conways-ivanka-trump-remarks/?mod=e2tw …	
Congress must fully investigate what the White House knew about General Michael Flynn’s contact with Russia and when they knew it	
